seed,method_id,model_label,threshold_mode,val_f1,val_pr_auc,test_f1,test_precision,test_recall,test_pr_auc,test_roc_auc,test_balanced_accuracy,source_dir
7,ensemble_lgbm_w0p500_per_category,Ensemble LGBM(0.50) + XGB(0.50),per_category,0.3771682592057927,0.3177186786565136,0.3814181494456198,0.3003295522822861,0.5224897054165347,0.3328237284785547,0.7681529744617964,0.6722993846960463,data\processed\model_results\seed_stability_onehot\seed_007
42,ensemble_lgbm_w0p500_per_category,Ensemble LGBM(0.50) + XGB(0.50),per_category,0.3792030426138819,0.3205367438529244,0.3839679804324865,0.2958115631691649,0.546974976243269,0.3326407246612176,0.7682343108577242,0.6783412053700374,data\processed\model_results\seed_stability_onehot\seed_042
123,ensemble_lgbm_w0p500_per_category,Ensemble LGBM(0.50) + XGB(0.50),per_category,0.3778032561339142,0.3183259462880478,0.3797931601561143,0.2993409642733264,0.5193854925562242,0.3284674829199117,0.7670065341384732,0.6708583790898888,data\processed\model_results\seed_stability_onehot\seed_123
