metric,n_seeds,mean,std,min,max
val_f1,3,0.3780581859845296,0.0010410705072231314,0.3771682592057927,0.3792030426138819
val_pr_auc,3,0.3188604562658286,0.001483121218938599,0.3177186786565136,0.3205367438529244
test_f1,3,0.3817264300114069,0.0021044141145301096,0.3797931601561143,0.3839679804324865
test_precision,3,0.2984940265749258,0.002375086104817984,0.2958115631691649,0.3003295522822861
test_recall,3,0.5296167247386759,0.015112600896042277,0.5193854925562242,0.546974976243269
test_pr_auc,3,0.33131064535322796,0.0024639504998996606,0.3284674829199117,0.3328237284785547
test_roc_auc,3,0.7677979398193312,0.0006865829273266693,0.7670065341384732,0.7682343108577242
test_balanced_accuracy,3,0.6738329897186576,0.003970154979185871,0.6708583790898888,0.6783412053700374
