analysis,configuration,train_rows_before_sample,train_rows_fit,feature_count,numeric_feature_count,categorical_feature_count,validation_selected_threshold,validation_selected_f1,fit_seconds,split,rows,positive_rows,positive_share,threshold,f1,precision,recall,balanced_accuracy,pr_auc,roc_auc,alert_rows,alert_rate,tp,fp,fn,tn
feature_group_ablation,Core history + identifiers,954990,300000,24,22,2,0.4928903780295825,0.3433783200838109,32.967,validation,122616,15574,0.12701441899915183,0.4928903780295825,0.3433783200838109,0.25245416377201196,0.5366636702195967,0.6527276797315356,0.27017606309868164,0.7274836767288774,33107,0.27000554576890456,8358,24749,7216,82293
feature_group_ablation,Core history + identifiers,954990,300000,24,22,2,0.4928903780295825,0.3433783200838109,32.967,test,247590,31570,0.12750918857789087,0.4928903780295825,0.3512514715667707,0.2594872570521062,0.5434273044029142,0.6583931263242235,0.2838089143258191,0.73741190228723,66115,0.2670342097823014,17156,48959,14414,167061
feature_group_ablation,Core + calendar,954990,300000,31,29,2,0.5657163775419247,0.36670416197975253,27.509,validation,122616,15574,0.12701441899915183,0.5657163775419247,0.36670416197975253,0.2765055131467345,0.5442404006677797,0.6685253497145067,0.307183490543714,0.7508614234459976,30654,0.25,8476,22178,7098,84864
feature_group_ablation,Core + calendar,954990,300000,31,29,2,0.5657163775419247,0.36670416197975253,27.509,test,247590,31570,0.12750918857789087,0.5657163775419247,0.37853498227103693,0.28732727213050185,0.5545771301868863,0.6767747237824534,0.3262074751720543,0.7635412167663473,60934,0.2461084858031423,17508,43426,14062,172594
feature_group_ablation,Core + calendar + weather,954990,300000,61,59,2,0.5299999999999999,0.3711235168007472,17.759,validation,122616,15574,0.12701441899915183,0.5299999999999999,0.3711235168007472,0.27719821162444114,0.5613201489662257,0.6741831775641465,0.3142816064336435,0.7537257860474025,31537,0.2572013440334051,8742,22795,6832,84247
feature_group_ablation,Core + calendar + weather,954990,300000,61,59,2,0.5299999999999999,0.3711235168007472,17.759,test,247590,31570,0.12750918857789087,0.5299999999999999,0.37671306095396917,0.28430360139408806,0.558124802027241,0.6763959812376739,0.32460097606850824,0.7615336996008388,61976,0.25031705642392665,17620,44356,13950,171664
feature_group_ablation,Core + calendar + weather + OSM,954990,300000,159,156,3,0.5299999999999999,0.3732283803256124,66.286,validation,122616,15574,0.12701441899915183,0.5299999999999999,0.3732283803256124,0.2806002004980112,0.5571465262617182,0.6746607801802416,0.3188848279769714,0.7584790453467295,30923,0.252193840934299,8677,22246,6897,84796
feature_group_ablation,Core + calendar + weather + OSM,954990,300000,159,156,3,0.5299999999999999,0.3732283803256124,66.286,test,247590,31570,0.12750918857789087,0.5299999999999999,0.3818442072138026,0.2914644114163706,0.5534684827367754,0.678419270532354,0.33142430019181424,0.7673355769977187,59949,0.24213013449654672,17473,42476,14097,173544
feature_group_ablation,Core + calendar + weather + PLUTO,954990,300000,114,112,2,0.5499999999999999,0.37245143682774123,45.773,validation,122616,15574,0.12701441899915183,0.5499999999999999,0.37245143682774123,0.28969995361946554,0.5213817901630924,0.6676946879852662,0.31653827561262504,0.7582639784649314,28029,0.22859170091994518,8120,19909,7454,87133
feature_group_ablation,Core + calendar + weather + PLUTO,954990,300000,114,112,2,0.5499999999999999,0.37245143682774123,45.773,test,247590,31570,0.12750918857789087,0.5499999999999999,0.38131682089102253,0.300760957049828,0.5208108964206525,0.6719275294990958,0.3298806284646497,0.7668361333523095,54668,0.22080051698372308,16442,38226,15128,177794
feature_group_ablation,Full context,954990,300000,213,210,3,0.5599999999999999,0.3719604863221885,407.968,validation,122616,15574,0.12701441899915183,0.5599999999999999,0.3719604863221885,0.2951239731705479,0.5028894311031206,0.6640677980799137,0.3179733521940412,0.7593133331938632,26538,0.21643178704247407,7832,18706,7742,88336
feature_group_ablation,Full context,954990,300000,213,210,3,0.5599999999999999,0.3719604863221885,407.968,test,247590,31570,0.12750918857789087,0.5599999999999999,0.3818720718997992,0.30662930405742583,0.5060500475134622,0.6694077660954034,0.3297180727410061,0.7678687840439462,52102,0.21043660890989135,15976,36126,15594,179894
