complaint_category,rows,positive_rows,positive_share,predicted_positive_rows,predicted_positive_share,f1,precision,recall,pr_auc,roc_auc,balanced_accuracy,tp,fp,fn,tn,threshold,recomputed_tp_from_alerts_precision,recomputed_tp_from_positives_recall,tp_rounding_error_alerts_precision,tp_rounding_error_positives_recall
noise,27510,3982,0.1447,5729,0.2083,0.4578,0.388,0.5583,0.4229,0.807,0.7046,2223,3506,1759,20022,0.415,2222.852,2223.1506,-0.14800000000013824,0.15059999999994034
public_safety,27510,3536,0.1285,6482,0.2356,0.4097,0.3166,0.5803,0.3312,0.7917,0.6978,2052,4430,1484,19544,0.3232,2052.2012,2051.9408000000003,0.20119999999997162,-0.0591999999996915
housing,27510,3720,0.1352,5412,0.1967,0.4025,0.3396,0.4941,0.386,0.7831,0.6719,1838,3574,1882,20216,0.385,1837.9152000000001,1838.052,-0.08479999999985921,0.05199999999990723
water_sewer,27510,3462,0.1258,6090,0.2214,0.3938,0.3089,0.5433,0.3642,0.7798,0.6842,1881,4209,1581,19839,0.37,1881.201,1880.9046,0.20100000000002183,-0.09539999999992688
other,27510,3620,0.1316,6695,0.2434,0.3762,0.2898,0.5359,0.3237,0.7594,0.6684,1940,4755,1680,19135,0.3314,1940.211,1939.958,0.21100000000001273,-0.041999999999916326
parking_traffic,27510,3586,0.1304,5811,0.2112,0.3708,0.2998,0.4858,0.3255,0.7538,0.6578,1742,4069,1844,19855,0.3596,1742.1378,1742.0788,0.13779999999997017,0.07880000000000109
environment,27510,2896,0.1053,5924,0.2153,0.3633,0.2704,0.5532,0.3105,0.7879,0.6888,1602,4322,1294,20292,0.3385,1601.8495999999998,1602.0672000000002,-0.15040000000021791,0.06720000000018445
infrastructure,27510,3596,0.1307,5900,0.2145,0.3484,0.2803,0.46,0.2764,0.738,0.6412,1654,4246,1942,19668,0.3814,1653.77,1654.16,-0.2300000000000182,0.16000000000008185
sanitation,27510,3172,0.1153,4551,0.1654,0.3165,0.2685,0.3852,0.257,0.7347,0.6242,1222,3329,1950,21009,0.35,1221.9435,1221.8544,-0.05649999999991451,-0.14560000000005857
