group_rank,feature_group,mean_abs_shap_sum,feature_count,mean_abs_shap_share
1,historical_temporal,2.2461882894209206,21,0.7514697625916317
2,semantic_category,0.24397797710063623,9,0.08162364366019743
3,calendar,0.18331413172292324,4,0.06132835243345971
4,weather,0.17537899654889538,22,0.058673626570341385
5,current_demand,0.08189920004705026,1,0.02739964975583947
6,spatial_context,0.036747093234280846,5,0.012293862254894358
7,other,0.02155441951282676,11,0.007211102733635994
