group_rank,feature_group,mean_abs_shap_sum,feature_count,mean_abs_shap_share
1,historical_temporal,2.055716686908205,21,0.588226341470617
2,pluto_built_environment,0.4014524313962801,53,0.11487229563227379
3,osm_poi_context,0.35262443931878995,99,0.10090056921490641
4,weather,0.21182381572182585,22,0.060611634352102546
5,semantic_category,0.2100585903811671,1,0.06010652970873429
6,calendar,0.16062158627874895,4,0.045960539533322624
7,current_demand,0.07422237690068285,1,0.021238119774766154
8,other,0.02409636506483341,11,0.0068949757304082575
9,spatial_context,0.004155264448947371,1,0.0011889945828689843
