feature_group,mean_abs_shap_sum,feature_count,mean_abs_shap_share,group_rank
shifted_history,2.4618506906620374,17,0.7259199289300056,1
service_category,0.24741953321369048,9,0.07295599633545516,2
current_count,0.24430453867875038,1,0.07203748546881401,3
feature_week_weather,0.2136457641106921,30,0.06299720713676743,4
calendar,0.1878165762085744,7,0.05538101728522821,5
borough,0.036315844676222966,5,0.010708364843729641,6
