case_id,case_type,original_index,target_week,ntaname,boroname,complaint_category,y_true,predicted_alert,raw_margin,raw_margin_from_probability,uncalibrated_probability,platt_calibrated_probability,uncalibrated_threshold,platt_threshold,stored_score,stored_threshold,target_next_week_count
tp,tp_high_confidence,508288,2025-10-20,Parkchester,Bronx,housing,1,1,3.679309748204685,3.679309748204685,0.9753810020856081,0.6249995765311528,0.5451719983738332,0.16681182897574026,0.975381002085608,0.5451719983738332,244.0
fp,fp_high_confidence,214432,2025-03-17,Mapleton-Midwood (West),Brooklyn,noise,0,1,3.0851446093026755,3.0851446093026778,0.9562757986913468,0.6026960154943144,0.5451719983738332,0.16681182897574026,0.9562757986913468,0.5451719983738332,12.0
fn,fn_severe_missed,898122,2025-06-30,Elmhurst,Queens,other,1,0,-0.7701086418582573,-0.7701086418582572,0.3164556053166313,0.06093631598829181,0.5451719983738332,0.16681182897574026,0.3164556053166313,0.5451719983738332,426.0
