complaint_category,threshold,global_threshold_fallback,validation_rows,validation_positive_rows,validation_f1,validation_precision,validation_recall,validation_pr_auc,validation_roc_auc,note
environment,0.1576,0.1691,13624,1495,0.3569,0.2648,0.5472,0.2801,0.7642,Max validation F1.
housing,0.1901,0.1691,13624,1626,0.377,0.3119,0.4766,0.3539,0.7755,Max validation F1.
infrastructure,0.1879,0.1691,13624,1734,0.342,0.2611,0.4954,0.268,0.722,Max validation F1.
noise,0.17,0.1691,13624,1884,0.402,0.3107,0.5695,0.3386,0.7581,Max validation F1.
other,0.155,0.1691,13624,1802,0.3754,0.2743,0.5943,0.3074,0.7539,Max validation F1.
parking_traffic,0.165,0.1691,13624,1884,0.3801,0.2944,0.5361,0.3177,0.7361,Max validation F1.
public_safety,0.1571,0.1691,13624,1839,0.4015,0.3107,0.5672,0.3228,0.7738,Max validation F1.
sanitation,0.1773,0.1691,13624,1651,0.3514,0.2739,0.49,0.2791,0.744,Max validation F1.
water_sewer,0.205,0.1691,13624,1659,0.3899,0.3178,0.5045,0.3487,0.7791,Max validation F1.
