complaint_category,rows,positive_rows,positive_share,predicted_positive_rows,predicted_positive_share,f1,precision,recall,pr_auc,roc_auc,balanced_accuracy,tp,fp,fn,tn
noise,27510,3982,0.1447,7061,0.2567,0.4502,0.3521,0.6243,0.4137,0.801,0.7149,2486,4575,1496,18953
housing,27510,3720,0.1352,6570,0.2388,0.4115,0.3222,0.5691,0.3924,0.7816,0.691,2117,4453,1603,19337
public_safety,27510,3536,0.1285,6361,0.2312,0.4068,0.3165,0.5693,0.3279,0.7874,0.694,2013,4348,1523,19626
water_sewer,27510,3462,0.1258,6526,0.2372,0.3957,0.3028,0.5708,0.3602,0.7808,0.6908,1976,4550,1486,19498
other,27510,3620,0.1316,6856,0.2492,0.3755,0.2869,0.5434,0.3229,0.7571,0.6694,1967,4889,1653,19001
parking_traffic,27510,3586,0.1304,7384,0.2684,0.3675,0.273,0.5622,0.3204,0.7495,0.6689,2016,5368,1570,18556
environment,27510,2896,0.1053,5575,0.2027,0.3631,0.2759,0.5311,0.3076,0.7848,0.6835,1538,4037,1358,20577
infrastructure,27510,3596,0.1307,6899,0.2508,0.3465,0.2635,0.5056,0.2663,0.7286,0.6465,1818,5081,1778,18833
sanitation,27510,3172,0.1153,5143,0.187,0.3216,0.26,0.4215,0.2531,0.7316,0.6326,1337,3806,1835,20532
