split,rows,positive_rows,predicted_positive_rows,tn,fp,fn,tp,precision,recall,f1,pr_auc,roc_auc,balanced_accuracy,predicted_positive_share
validation,122616,15574,30702,85114,21928,6800,8774,0.2858,0.5634,0.3792,0.3205,0.7602,0.6793,0.2504
test,247590,31570,58375,174913,41107,14302,17268,0.2958,0.547,0.384,0.3326,0.7682,0.6783,0.2358
