model_label,candidate_id,param_id,pos_weight_mode,pos_weight,selected_threshold,validation_f1,validation_precision,validation_recall,validation_pr_auc,validation_roc_auc,test_f1,test_precision,test_recall,test_pr_auc,test_roc_auc,fit_seconds,source_file
Tuned LightGBM,013_E1_main_2015_2025_lightgbm_lgbm_deeper_depth10_leaf127_lr003_pw_none,lgbm_deeper_depth10_leaf127_lr003,none,1.0,0.1823,0.3786,0.2973,0.5212,0.3266,0.7636,0.3832,0.3059,0.5127,0.3345,0.7686,361.8306,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\gbm_hyperparam_tuning_lgbm_balanced_gpu\gbm_tuning_ranking.csv
Tuned XGBoost,001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,xgb_current_depth8_lr005,none,1.0,0.179,0.378,0.2901,0.5425,0.323,0.7632,0.3832,0.2988,0.534,0.3365,0.7698,31.1352,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\gbm_hyperparam_tuning_xgb_balanced_cuda\gbm_tuning_ranking.csv
