model_label,candidate_id,param_id,pos_weight_mode,pos_weight,selected_threshold,validation_f1,validation_precision,validation_recall,validation_pr_auc,validation_roc_auc,test_f1,test_precision,test_recall,test_pr_auc,test_roc_auc,fit_seconds,source_file
Tuned LightGBM,006_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_sqrt,lgbm_regularized_depth6_leaf31_lr003,sqrt,2.6216,0.345,0.3757,0.2884,0.5388,0.3212,0.7598,0.3813,0.2987,0.5269,0.3308,0.7673,24.2829,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_lgbm_tuned_model\gbm_tuning_ranking.csv
Tuned XGBoost,006_E1_main_2015_2025_xgboost_xgb_regularized_depth6_lr003_pw_sqrt,xgb_regularized_depth6_lr003,sqrt,2.6216,0.34,0.3752,0.2834,0.5552,0.3174,0.759,0.3818,0.2955,0.5392,0.3319,0.7675,46.6962,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\final_xgb_tuned_model\gbm_tuning_ranking.csv
