candidate_id,experiment_id,model_name,param_id,feature_set,pos_weight_mode,pos_weight,split,threshold_strategy,rows,positive_rows,positive_share,threshold,predicted_positive_rows,predicted_positive_share,accuracy,balanced_accuracy,precision,recall,specificity,npv,f1,f2,roc_auc,pr_auc,tn,fp,fn,tp
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,validation,default_0_5,122616,15574,0.12701441899915183,0.5,1074,0.008759052652182422,0.8732465583610621,0.5153203247042749,0.5148975791433892,0.03550789777834853,0.9951327516302012,0.8764130917707459,0.06643440653531955,0.043632633738362,0.7512415650709213,0.3061070352381332,106521,521,15021,553
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,test,default_0_5,247590,31570,0.12750918857789087,0.5,2787,0.01125651278323034,0.8737630760531524,0.5217036137123708,0.5565123789020452,0.04912891986062718,0.9942783075641144,0.877374868772033,0.09028727770177838,0.0600850720943386,0.7592490804723467,0.3235157866610556,214784,1236,30019,1551
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,validation,best_f1,122616,15574,0.12701441899915183,0.166872,29607,0.24146114699549814,0.7667759509362563,0.6666491963165879,0.2800689026243794,0.5324258379350199,0.8008725546981559,0.9217065015213581,0.3670569487173812,0.45112781954887216,0.7512415650709213,0.3061070352381332,85727,21315,7282,8292
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,test,best_f1,247590,31570,0.12750918857789087,0.166872,56171,0.22687103679470091,0.7789046407367018,0.6695015253781831,0.29374588310694133,0.5226480836236934,0.8163549671326729,0.9212721830121356,0.3761069511402879,0.4521762007333476,0.7592490804723467,0.3235157866610556,176349,39671,15070,16500
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,validation,best_f2,122616,15574,0.12701441899915183,0.092663,59195,0.48276733868336924,0.5935032948391727,0.6818338496249378,0.21054143086409324,0.8002439964042635,0.563423702845612,0.9509468472587944,0.33337345691396164,0.5129186524104666,0.7512415650709213,0.3061070352381332,60310,46732,3111,12463
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,test,best_f2,247590,31570,0.12750918857789087,0.092663,113539,0.4585766791873662,0.6147865422674583,0.6885988322096316,0.2190172539832128,0.7876781754830535,0.5895194889362096,0.9499966430686828,0.34273546092937035,0.5184535003481793,0.7592490804723467,0.3235157866610556,127348,88672,6703,24867
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,validation,best_balanced_accuracy,122616,15574,0.12701441899915183,0.109527,50741,0.4138203823318327,0.6469710315130163,0.6864227369101901,0.22691708874480204,0.7393091049184538,0.6335363689019263,0.9435130434782608,0.3472517529970595,0.5093022638605058,0.7512415650709213,0.3061070352381332,67815,39227,4060,11514
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,test,best_balanced_accuracy,247590,31570,0.12750918857789087,0.109527,96983,0.3917080657538673,0.6660163980774668,0.6917762706130315,0.23644350040728787,0.7263541336712068,0.657198407554856,0.9426387883697305,0.35675557941082664,0.5135423245230961,0.7592490804723467,0.3235157866610556,141968,74052,8639,22931
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,validation,best_precision_at_min_recall,122616,15574,0.12701441899915183,0.118994,46514,0.3793469041560645,0.6725060351014549,0.6860141553037129,0.2357569763942039,0.704122255040452,0.6679060555669737,0.9394496859478069,0.35324056178327534,0.5039058910026653,0.7512415650709213,0.3061070352381332,71494,35548,4608,10966
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,test,best_precision_at_min_recall,247590,31570,0.12750918857789087,0.118994,88800,0.35865745789409914,0.6902459711620017,0.6908942025364737,0.24593468468468468,0.6917643332277479,0.6900240718451995,0.9387178033881227,0.3628645011215419,0.5076948112330296,0.7592490804723467,0.3235157866610556,149059,66961,9731,21839
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,validation,best_recall_at_min_precision,122616,15574,0.12701441899915183,0.135,40101,0.3270454100606772,0.7096382201344034,0.6817681428090931,0.2502680731153837,0.6444073455759599,0.7191289400422264,0.932884930012725,0.3605208801077683,0.4900534195337754,0.7512415650709213,0.3061070352381332,76977,30065,5538,10036
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lightgbm,lgbm_current_depth8_leaf63_lr005,prospective_forecast_available,none,1.0,test,best_recall_at_min_precision,247590,31570,0.12750918857789087,0.135,76199,0.30776283371703217,0.7265358051617593,0.687240905878182,0.26287746558353786,0.6344947735191637,0.7399870382372002,0.9326744111417752,0.3717395540461543,0.4946438889958959,0.7592490804723467,0.3235157866610556,159852,56168,11539,20031
