score_col,model_label,threshold_mode,threshold_strategy,selected_threshold,selection_note,validation_f1,validation_precision,validation_recall,validation_f2,validation_balanced_accuracy,validation_pr_auc,validation_roc_auc,validation_predicted_positive_share
lgbm_score,Tuned LightGBM,global,best_f1,0.57,Max validation F1.,0.37242602526388646,0.28080761954465394,0.5527802748170026,0.4630785119521484,0.6733978540057248,0.31811335022634285,0.7553719607910324,0.25003262217002675
xgb_score,Tuned XGBoost,global,best_f1,0.35,Max validation F1.,0.3737427210164108,0.2912854733971944,0.521317580583023,0.4502101609200501,0.6683865980678984,0.31711768347934827,0.7558578752851403,0.22731943628890194
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),global,best_f1,0.461296,Max validation F1.,0.37328667249927094,0.2868668758404303,0.5342237061769616,0.45564573544069487,0.6705002426925615,0.3182893647428499,0.7559826116411756,0.23653519932145886
