validation_rank,method_id,model_label,score_col,threshold_mode,threshold_strategy,val_rows,val_positive_rows,val_positive_share,val_predicted_positive_rows,val_predicted_positive_share,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_specificity,val_npv,val_f1,val_f2,val_roc_auc,val_pr_auc,val_tn,val_fp,val_fn,val_tp,val_global_threshold,test_rows,test_positive_rows,test_positive_share,test_predicted_positive_rows,test_predicted_positive_share,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_specificity,test_npv,test_f1,test_f2,test_roc_auc,test_pr_auc,test_tn,test_fp,test_fn,test_tp,test_global_threshold
1,ensemble_lgbm_w0p500_per_category,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,per_category,best_f1,122616,15574,0.12701441899915183,30240,0.24662360540223136,0.7670124616689502,0.6758652205822882,0.2851521164021164,0.5536792089379735,0.7980512322266027,0.9247531826448429,0.37643515082725804,0.4659267744445405,0.7559826116411756,0.3182893647428499,85425,21617,6951,8623,,247590,31570,0.12750918857789087,58165,0.23492467385597157,0.7753665333818005,0.6750334154409207,0.2932863405828247,0.5403547671840355,0.8097120636978058,0.9233944833047381,0.380208391374603,0.4624413781886199,0.7643048441619147,0.33097902189319706,174914,41106,14511,17059,
2,xgb_per_category,Tuned XGBoost,xgb_score,per_category,best_f1,122616,15574,0.12701441899915183,28811,0.23496933516017485,0.7741811835323286,0.6724268108263497,0.28975044253930793,0.5360215744189033,0.8088320472337961,0.9229678588561377,0.3761631181705531,0.4581426235086217,0.7558578752851403,0.31711768347934827,86579,20463,7226,8348,,247590,31570,0.12750918857789087,55952,0.2259865099559756,0.7808958358576679,0.6724953045942408,0.2973441521303975,0.5269876464998416,0.8180029626886399,0.9220770410878845,0.38017869792737824,0.45647855480925414,0.7642201111612368,0.3305857204743246,176705,39315,14933,16637,
3,lgbm_per_category,Tuned LightGBM,lgbm_score,per_category,best_f1,122616,15574,0.12701441899915183,29716,0.2423501011287271,0.7687903699354081,0.6726861523376888,0.28503163279041593,0.5438551431873636,0.801517161488014,0.9235306781485468,0.3740340030911901,0.4602660522540538,0.7553719607910324,0.31811335022634285,85796,21246,7104,8470,,247590,31570,0.12750918857789087,57368,0.2317056423926653,0.7770507694171817,0.6734291920083773,0.29404894714823593,0.534336395312005,0.8125219887047496,0.9227166153231487,0.37934291304054507,0.4592753528489284,0.7635532621467698,0.32976869777313705,175521,40499,14701,16869,
4,xgb_global,Tuned XGBoost,xgb_score,global,best_f1,122616,15574,0.12701441899915183,27873,0.22731943628890194,0.7780958439355385,0.6683865980678984,0.2912854733971944,0.521317580583023,0.8154556155527737,0.921313447959216,0.3737427210164108,0.4502101609200501,0.7558578752851403,0.31711768347934827,87288,19754,7455,8119,0.35,247590,31570,0.12750918857789087,54178,0.2188214386687669,0.7851690294438386,0.670102839085894,0.30047251651962054,0.5156477668672791,0.8245579113045088,0.920940789609745,0.3796939870317675,0.45104678096842477,0.7642201111612368,0.3305857204743246,178121,37899,15291,16279,0.35
5,ensemble_lgbm_w0p500_global,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,global,best_f1,122616,15574,0.12701441899915183,29003,0.23653519932145886,0.77215860899067,0.6705002426925615,0.2868668758404303,0.5342237061769616,0.8067767792081613,0.9225107623941119,0.37328667249927094,0.45564573544069487,0.7559826116411756,0.3182893647428499,86359,20683,7254,8320,0.461296,247590,31570,0.12750918857789087,56243,0.22716184013893936,0.7801486328203886,0.6727838341731929,0.2967480397560585,0.5286664554957238,0.816901212850662,0.9222355197625257,0.380125949460786,0.4572026539121097,0.7643048441619147,0.33097902189319706,176467,39553,14880,16690,0.461296
6,lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,122616,15574,0.12701441899915183,30658,0.25003262217002675,0.7633750897109676,0.6733978540057248,0.28080761954465394,0.5527802748170026,0.794015433194447,0.9242589008025403,0.37242602526388646,0.4630785119521484,0.7553719607910324,0.31811335022634285,84993,22049,6965,8609,0.57,247590,31570,0.12750918857789087,59157,0.23893129770992366,0.7724181105860495,0.6751152989242394,0.29058268674882093,0.5445042762115933,0.8057263216368855,0.9236864031247181,0.37893901484673803,0.463499733062981,0.7635532621467698,0.32976869777313705,174053,41967,14380,17190,0.57
