analysis,target_definition,window_column,sigma_multiplier,train_rows_before_sample,train_rows_fit,max_train_rows,n_estimators,feature_count,numeric_feature_count,categorical_feature_count,validation_selected_threshold,validation_selected_f1,fit_seconds,split,rows,positive_rows,positive_share,threshold,f1,precision,recall,balanced_accuracy,pr_auc,roc_auc,alert_rows,alert_rate,tp,fp,fn,tn
target_sensitivity,4w + 1.5 sigma,4w,1.5,954990,100000,100000,250,61,59,2,0.58,0.40955270069426064,4.525,validation,122616,17719,0.14450805767599662,0.58,0.40955270069426064,0.3203388750875852,0.5676392572944297,0.6821007997007245,0.3649420497382669,0.7650826319947651,31398,0.25606772362497554,10058,21340,7661,83557
target_sensitivity,4w + 1.5 sigma,4w,1.5,954990,100000,100000,250,61,59,2,0.58,0.40955270069426064,4.525,test,247590,35738,0.14434347106102832,0.58,0.4144109566903685,0.32424529792950846,0.5740388382114276,0.6861117099502656,0.3639856050312117,0.768872853779017,63270,0.2555434387495456,20515,42755,15223,169097
target_sensitivity,8w + 1.0 sigma,8w,1.0,954990,100000,100000,250,61,59,2,0.5449999999999999,0.4287304089770936,4.461,validation,122616,22297,0.1818441312716122,0.5449999999999999,0.4287304089770936,0.3270913421853258,0.6220119298560345,0.6687996032218599,0.37914161400732177,0.7383881814285604,42401,0.3458031578260586,13869,28532,8428,71787
target_sensitivity,8w + 1.0 sigma,8w,1.0,954990,100000,100000,250,61,59,2,0.5449999999999999,0.4287304089770936,4.461,test,247590,45377,0.18327476877095197,0.5449999999999999,0.4419259478811609,0.342013763129301,0.6243030610221038,0.6773901650202081,0.398557776094192,0.7485444282072398,82830,0.3345450139343269,28329,54501,17048,147712
target_sensitivity,8w + 1.5 sigma (reference),8w,1.5,954990,100000,100000,250,61,59,2,0.585,0.3651795429815016,4.242,validation,122616,15573,0.12700626345664515,0.585,0.3651795429815016,0.2761958060374626,0.5387529698837732,0.6666747669407095,0.3069496233560415,0.7495692362987307,30377,0.24774091472564755,8390,21987,7183,85056
target_sensitivity,8w + 1.5 sigma (reference),8w,1.5,954990,100000,100000,250,61,59,2,0.585,0.3651795429815016,4.242,test,247590,31562,0.1274768770951977,0.585,0.37408508817171265,0.28614837074218946,0.5400481591787593,0.671606281896488,0.3196280895693415,0.7571748133830531,59567,0.2405872611979482,17045,42522,14517,173506
target_sensitivity,8w + 2.0 sigma,8w,2.0,954990,100000,100000,250,61,59,2,0.6299999999999999,0.3049069480868274,4.534,validation,122616,10640,0.08677497227115548,0.6299999999999999,0.3049069480868274,0.22966347755723737,0.45347744360902253,0.654473236343341,0.24578420969794273,0.7571418675712465,21009,0.17133979252299864,4825,16184,5815,95792
target_sensitivity,8w + 2.0 sigma,8w,2.0,954990,100000,100000,250,61,59,2,0.6299999999999999,0.3049069480868274,4.534,test,247590,21916,0.08851730683791753,0.6299999999999999,0.3170282503511784,0.24092612800683208,0.46340573097280524,0.6608085666305309,0.2527492318562438,0.7655030943077188,42154,0.1702572801809443,10156,31998,11760,193676
target_sensitivity,12w + 1.5 sigma,12w,1.5,954990,100000,100000,250,61,59,2,0.575,0.35048641986177753,5.993,validation,122616,14291,0.1165508579630717,0.575,0.35048641986177753,0.25565937770927655,0.5571338604716255,0.6715694688926326,0.29090919767261547,0.7528212965080141,31143,0.2539880602857702,7962,23181,6329,85144
target_sensitivity,12w + 1.5 sigma,12w,1.5,954990,100000,100000,250,61,59,2,0.575,0.35048641986177753,5.993,test,247590,29213,0.11798941798941799,0.575,0.36461800492035046,0.27016727704642185,0.560606579262657,0.6790082814573908,0.31550708502666597,0.7641773800272356,60618,0.2448321822367624,16377,44241,12836,174136
