split,rows,positive_rows,predicted_positive_rows,tn,fp,fn,tp,precision,recall,f1,pr_auc,roc_auc,balanced_accuracy,predicted_positive_share
validation,122616,15574,30240,85425,21617,6951,8623,0.2852,0.5537,0.3764,0.3183,0.756,0.6759,0.2466
test,247590,31570,58165,174914,41106,14511,17059,0.2933,0.5404,0.3802,0.331,0.7643,0.675,0.2349
