validation_rank,method_id,model_label,threshold_mode,val_f1,val_precision,val_recall,val_pr_auc,val_roc_auc,test_f1,test_precision,test_recall,test_pr_auc,test_roc_auc,test_balanced_accuracy,test_predicted_positive_share,test_tp,test_fp,test_fn,test_tn
1,ensemble_lgbm_w0p500_per_category,Ensemble LGBM(0.50) + XGB(0.50),per_category,0.3764,0.2852,0.5537,0.3183,0.756,0.3802,0.2933,0.5404,0.331,0.7643,0.675,0.2349,17059,41106,14511,174914
2,xgb_per_category,Tuned XGBoost,per_category,0.3762,0.2898,0.536,0.3171,0.7559,0.3802,0.2973,0.527,0.3306,0.7642,0.6725,0.226,16637,39315,14933,176705
3,lgbm_per_category,Tuned LightGBM,per_category,0.374,0.285,0.5439,0.3181,0.7554,0.3793,0.294,0.5343,0.3298,0.7636,0.6734,0.2317,16869,40499,14701,175521
4,xgb_global,Tuned XGBoost,global,0.3737,0.2913,0.5213,0.3171,0.7559,0.3797,0.3005,0.5156,0.3306,0.7642,0.6701,0.2188,16279,37899,15291,178121
5,ensemble_lgbm_w0p500_global,Ensemble LGBM(0.50) + XGB(0.50),global,0.3733,0.2869,0.5342,0.3183,0.756,0.3801,0.2967,0.5287,0.331,0.7643,0.6728,0.2272,16690,39553,14880,176467
6,lgbm_global,Tuned LightGBM,global,0.3724,0.2808,0.5528,0.3181,0.7554,0.3789,0.2906,0.5445,0.3298,0.7636,0.6751,0.2389,17190,41967,14380,174053
