model_label,candidate_id,param_id,pos_weight_mode,pos_weight,selected_threshold,validation_f1,validation_precision,validation_recall,validation_pr_auc,validation_roc_auc,test_f1,test_precision,test_recall,test_pr_auc,test_roc_auc,fit_seconds,source_file
Tuned LightGBM,008_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_balanced,lgbm_regularized_depth6_leaf31_lr003,balanced,6.8726,0.56,0.3717,0.2791,0.5566,0.3123,0.7523,0.3772,0.2888,0.5436,0.3232,0.7599,8.9937,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\prospective\tuning_lgbm\gbm_tuning_ranking.csv
Tuned XGBoost,010_E1_main_2015_2025_xgboost_xgb_shallow_depth5_lr003_pw_sqrt,xgb_shallow_depth5_lr003,sqrt,2.6216,0.351,0.3724,0.2883,0.5257,0.3148,0.7545,0.3768,0.2996,0.5075,0.3249,0.7615,36.7914,D:\00_Major\K4\DAP\SIMC_project\data\processed\model_results\prospective\tuning_xgb\gbm_tuning_ranking.csv
