target_definition,rows,positive_rows,alert_rows,true_positive_rows,false_positive_rows,false_negative_rows,precision,recall,median_positive_score,median_fn_score,median_tp_score
T0_current_reference,122616,15712,34611,8917,25694,6795,0.25763485597064517,0.5675280040733197,0.1889753180628532,0.1034828597849128,0.2749625742016201
T2_min_count_3,122616,13562,29566,7790,21776,5772,0.26347831969153757,0.5743990561864032,0.194697450975476,0.0979405346916987,0.28937034798067207
