file,output,status,chunksize,chunk_count,total_raw_rows,total_after_clean,total_removed_bad_coord,total_matched_nta,total_unmatched_nta,match_rate_after_clean,elapsed_seconds
data\raw\nyc_311\nyc_311_2015_08_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_08_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49991,9,0.99982,0.6597020626068115
data\raw\nyc_311\nyc_311_2015_08_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_08_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49990,10,0.9998,0.6824657917022705
data\raw\nyc_311\nyc_311_2015_08_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_08_part003_with_nta.csv.gz,done,100000,1,20694,20694,0,20687,7,0.9996617377017493,0.2887253761291504
data\raw\nyc_311\nyc_311_2015_09_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_09_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49993,7,0.99986,0.6634433269500732
data\raw\nyc_311\nyc_311_2015_09_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_09_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49987,13,0.99974,0.6547174453735352
data\raw\nyc_311\nyc_311_2015_09_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_09_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49993,7,0.99986,0.6557998657226562
data\raw\nyc_311\nyc_311_2015_09_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_09_part003_with_nta.csv.gz,done,100000,1,16500,16500,0,16500,0,1.0,0.22951221466064453
data\raw\nyc_311\nyc_311_2015_10_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_10_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49993,7,0.99986,0.6581997871398926
data\raw\nyc_311\nyc_311_2015_10_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_10_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49994,6,0.99988,0.6566212177276611
data\raw\nyc_311\nyc_311_2015_10_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_10_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49990,10,0.9998,0.6491219997406006
data\raw\nyc_311\nyc_311_2015_10_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_10_part003_with_nta.csv.gz,done,100000,1,34611,34611,0,34603,8,0.9997688596111063,0.4577317237854004
data\raw\nyc_311\nyc_311_2015_11_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_11_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49993,7,0.99986,0.6597421169281006
data\raw\nyc_311\nyc_311_2015_11_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_11_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49998,2,0.99996,0.6583888530731201
data\raw\nyc_311\nyc_311_2015_11_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_11_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49991,9,0.99982,0.654686450958252
data\raw\nyc_311\nyc_311_2015_11_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_11_part003_with_nta.csv.gz,done,100000,1,20160,20160,0,20159,1,0.9999503968253968,0.26847267150878906
data\raw\nyc_311\nyc_311_2015_12_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_12_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49996,4,0.99992,0.6601603031158447
data\raw\nyc_311\nyc_311_2015_12_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_12_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49990,10,0.9998,0.6567907333374023
data\raw\nyc_311\nyc_311_2015_12_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_12_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49992,8,0.99984,0.6500434875488281
data\raw\nyc_311\nyc_311_2015_12_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2015_12_part003_with_nta.csv.gz,done,100000,1,11593,11593,0,11591,2,0.999827482101268,0.17213726043701172
data\raw\nyc_311\nyc_311_2016_01_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2016_01_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49997,3,0.99994,0.6562705039978027
