column,feature_group,dtype_example
poi_other_density_per_km2,osm_poi,float64
poi_commercial_activity_count,osm_poi,int64
poi_commercial_activity_share,osm_poi,float64
poi_commercial_activity_density_per_km2,osm_poi,float64
poi_daily_activity_count,osm_poi,int64
poi_daily_activity_share,osm_poi,float64
poi_daily_activity_density_per_km2,osm_poi,float64
poi_social_infrastructure_count,osm_poi,int64
poi_social_infrastructure_share,osm_poi,float64
poi_social_infrastructure_density_per_km2,osm_poi,float64
poi_mobility_access_count,osm_poi,int64
poi_mobility_access_share,osm_poi,float64
poi_mobility_access_density_per_km2,osm_poi,float64
poi_recreation_environment_count,osm_poi,int64
poi_recreation_environment_share,osm_poi,float64
poi_recreation_environment_density_per_km2,osm_poi,float64
poi_safety_public_service_count,osm_poi,int64
poi_safety_public_service_share,osm_poi,float64
poi_safety_public_service_density_per_km2,osm_poi,float64
poi_employment_industrial_count,osm_poi,int64
poi_employment_industrial_share,osm_poi,float64
poi_employment_industrial_density_per_km2,osm_poi,float64
poi_osm_tag_amenity_count,osm_poi,int64
poi_osm_tag_amenity_share,osm_poi,float64
poi_osm_tag_highway_count,osm_poi,int64
poi_osm_tag_highway_share,osm_poi,float64
poi_osm_tag_leisure_count,osm_poi,int64
poi_osm_tag_leisure_share,osm_poi,float64
poi_osm_tag_public_transport_count,osm_poi,int64
poi_osm_tag_public_transport_share,osm_poi,float64
poi_osm_tag_railway_count,osm_poi,int64
poi_osm_tag_railway_share,osm_poi,float64
poi_osm_tag_shop_count,osm_poi,int64
poi_osm_tag_shop_share,osm_poi,float64
poi_osm_tag_tourism_count,osm_poi,int64
poi_osm_tag_tourism_share,osm_poi,float64
osm_merge_key_present,other,int8
pluto_avg_num_floors,pluto_landuse_built_environment,float64
pluto_building_area_to_lot_area_ratio,pluto_landuse_built_environment,float64
pluto_commercial_area_ratio,pluto_landuse_built_environment,float64
pluto_lot_area_commercial,pluto_landuse_built_environment,float64
pluto_lot_area_industrial,pluto_landuse_built_environment,float64
pluto_lot_area_mixed_use,pluto_landuse_built_environment,float64
pluto_lot_area_open_space,pluto_landuse_built_environment,float64
pluto_lot_area_parking,pluto_landuse_built_environment,float64
pluto_lot_area_public_facility,pluto_landuse_built_environment,float64
pluto_lot_area_ratio_commercial,pluto_landuse_built_environment,float64
pluto_lot_area_ratio_industrial,pluto_landuse_built_environment,float64
pluto_lot_area_ratio_mixed_use,pluto_landuse_built_environment,float64
pluto_lot_area_ratio_open_space,pluto_landuse_built_environment,float64
pluto_lot_area_ratio_parking,pluto_landuse_built_environment,float64
pluto_lot_area_ratio_public_facility,pluto_landuse_built_environment,float64
pluto_lot_area_ratio_residential,pluto_landuse_built_environment,float64
pluto_lot_area_ratio_transportation_utility,pluto_landuse_built_environment,float64
pluto_lot_area_ratio_unknown,pluto_landuse_built_environment,float64
pluto_lot_area_ratio_vacant,pluto_landuse_built_environment,float64
pluto_lot_area_residential,pluto_landuse_built_environment,float64
pluto_lot_area_transportation_utility,pluto_landuse_built_environment,float64
pluto_lot_area_unknown,pluto_landuse_built_environment,float64
pluto_lot_area_vacant,pluto_landuse_built_environment,float64
pluto_lot_count,pluto_landuse_built_environment,float64
pluto_lot_count_commercial,pluto_landuse_built_environment,float64
pluto_lot_count_industrial,pluto_landuse_built_environment,float64
pluto_lot_count_mixed_use,pluto_landuse_built_environment,float64
pluto_lot_count_open_space,pluto_landuse_built_environment,float64
pluto_lot_count_parking,pluto_landuse_built_environment,float64
pluto_lot_count_public_facility,pluto_landuse_built_environment,float64
pluto_lot_count_residential,pluto_landuse_built_environment,float64
pluto_lot_count_transportation_utility,pluto_landuse_built_environment,float64
pluto_lot_count_unknown,pluto_landuse_built_environment,float64
pluto_lot_count_vacant,pluto_landuse_built_environment,float64
pluto_office_area_ratio,pluto_landuse_built_environment,float64
pluto_parcel_count,pluto_landuse_built_environment,float64
pluto_parcel_density_per_km2,pluto_landuse_built_environment,float64
pluto_residential_area_ratio,pluto_landuse_built_environment,float64
pluto_retail_area_ratio,pluto_landuse_built_environment,float64
pluto_total_building_area,pluto_landuse_built_environment,float64
pluto_total_buildings,pluto_landuse_built_environment,float64
pluto_total_commercial_area,pluto_landuse_built_environment,float64
pluto_total_factory_area,pluto_landuse_built_environment,float64
pluto_total_garage_area,pluto_landuse_built_environment,float64
pluto_total_lot_area,pluto_landuse_built_environment,float64
pluto_total_office_area,pluto_landuse_built_environment,float64
pluto_total_other_area,pluto_landuse_built_environment,float64
pluto_total_residential_area,pluto_landuse_built_environment,float64
pluto_total_residential_units,pluto_landuse_built_environment,float64
pluto_total_retail_area,pluto_landuse_built_environment,float64
pluto_total_storage_area,pluto_landuse_built_environment,float64
pluto_total_units,pluto_landuse_built_environment,float64
pluto_merge_key_present,pluto_landuse_built_environment,int8
pluto_source_missing_flag,pluto_landuse_built_environment,int8
weather_missing_flag,weather,int8
osm_missing_flag,quality_flag,int8
pluto_table_missing_flag,pluto_landuse_built_environment,int8
osm_zero_poi_flag,quality_flag,int8
weather_incomplete_week_flag,weather,int8
external_features_merged_flag,quality_flag,int8
final_train_ready_flag,quality_flag,int8
time_split,id_metadata,object
