column,missing_count,missing_share,dtype_example,feature_group
pluto_total_lot_area,0,0.0,float64,pluto_landuse_built_environment
pluto_total_office_area,0,0.0,float64,pluto_landuse_built_environment
pluto_total_other_area,0,0.0,float64,pluto_landuse_built_environment
pluto_total_residential_area,0,0.0,float64,pluto_landuse_built_environment
pluto_total_residential_units,0,0.0,float64,pluto_landuse_built_environment
pluto_total_retail_area,0,0.0,float64,pluto_landuse_built_environment
pluto_total_storage_area,0,0.0,float64,pluto_landuse_built_environment
pluto_total_units,0,0.0,float64,pluto_landuse_built_environment
poi_accommodation_count,0,0.0,int64,osm_poi
poi_accommodation_density_per_km2,0,0.0,float64,osm_poi
poi_accommodation_share,0,0.0,float64,osm_poi
poi_commercial_activity_count,0,0.0,int64,osm_poi
poi_commercial_activity_density_per_km2,0,0.0,float64,osm_poi
poi_commercial_activity_share,0,0.0,float64,osm_poi
poi_culture_tourism_count,0,0.0,int64,osm_poi
poi_culture_tourism_density_per_km2,0,0.0,float64,osm_poi
poi_culture_tourism_share,0,0.0,float64,osm_poi
poi_daily_activity_count,0,0.0,int64,osm_poi
poi_daily_activity_density_per_km2,0,0.0,float64,osm_poi
poi_daily_activity_share,0,0.0,float64,osm_poi
poi_density_per_km2,0,0.0,float64,osm_poi
poi_dominant_semantic_category,0,0.0,str,osm_poi
poi_dominant_semantic_category_label,0,0.0,str,osm_poi
poi_dominant_semantic_category_share,0,0.0,float64,osm_poi
poi_education_count,0,0.0,int64,osm_poi
poi_education_density_per_km2,0,0.0,float64,osm_poi
poi_education_share,0,0.0,float64,osm_poi
poi_emergency_safety_count,0,0.0,int64,osm_poi
poi_emergency_safety_density_per_km2,0,0.0,float64,osm_poi
poi_emergency_safety_share,0,0.0,float64,osm_poi
poi_employment_industrial_count,0,0.0,int64,osm_poi
poi_employment_industrial_density_per_km2,0,0.0,float64,osm_poi
poi_employment_industrial_share,0,0.0,float64,osm_poi
poi_finance_count,0,0.0,int64,osm_poi
poi_finance_density_per_km2,0,0.0,float64,osm_poi
poi_finance_share,0,0.0,float64,osm_poi
poi_food_drink_count,0,0.0,int64,osm_poi
poi_food_drink_density_per_km2,0,0.0,float64,osm_poi
poi_food_drink_share,0,0.0,float64,osm_poi
poi_healthcare_count,0,0.0,int64,osm_poi
poi_healthcare_density_per_km2,0,0.0,float64,osm_poi
poi_healthcare_share,0,0.0,float64,osm_poi
poi_industrial_logistics_count,0,0.0,int64,osm_poi
