nta2020,nta_area_km2_osm,nta_area_km2_pluto,area_abs_diff_km2
BK0101,3.279540212644319,3.279540212644319,0.0
BK0102,2.6789021734432152,2.6789021734432152,0.0
BK0103,1.4121094811349348,1.4121094811349348,0.0
BK0104,4.852928754610759,4.852928754610759,0.0
BK0201,0.9267955902265892,0.9267955902265892,0.0
BK0202,2.2033763669301747,2.2033763669301747,0.0
BK0203,1.6279417138435677,1.6279417138435677,0.0
BK0204,1.352463582960564,1.352463582960564,0.0
BK0261,0.9383896969333492,0.9383896969333492,0.0
BK0301,3.4266828641078857,3.4266828641078857,0.0
BK0302,3.8336630516734855,3.8336630516734855,0.0
BK0401,2.1479796470688544,2.1479796470688544,0.0
BK0402,2.593630972278392,2.593630972278392,0.0
BK0471,0.5186015460904004,0.5186015460904004,0.0
BK0501,2.2635774466677514,2.2635774466677514,0.0
BK0502,2.591144158054152,2.591144158054152,0.0
BK0503,4.313542513724002,4.313542513724002,0.0
BK0504,2.514956113351278,2.514956113351278,0.0
BK0505,2.9274816838356474,2.9274816838356474,0.0
BK0571,0.7521732683711322,0.7521732683711322,0.0
BK0601,5.646077119629696,5.646077119629696,0.0
BK0602,2.398369390044482,2.398369390044482,0.0
BK0701,1.421681744946771,1.421681744946771,0.0
BK0702,4.67742093710504,4.67742093710504,0.0
BK0703,1.7412400620022317,1.7412400620022317,0.0
BK0771,1.959190808030129,1.959190808030129,0.0
BK0801,0.9571476616504366,0.9571476616504366,0.0
BK0802,3.2883172682924755,3.2883172682924755,0.0
BK0891,0.1127746798264928,0.1127746798264928,0.0
BK0901,1.861943090685252,1.861943090685252,0.0
BK0902,2.2319230211813883,2.2319230211813883,0.0
BK1001,5.722526722548278,5.722526722548278,0.0
BK1002,2.703549032446788,2.703549032446788,0.0
BK1061,0.7858991830551751,0.7858991830551751,0.0
BK1091,0.9274246462164416,0.9274246462164416,0.0
BK1101,4.515512740126462,4.515512740126462,0.0
BK1102,1.9085906772267915,1.9085906772267915,0.0
BK1103,3.14142589484406,3.14142589484406,0.0
BK1201,1.0908519097822515,1.0908519097822515,0.0
BK1202,3.758502004157597,3.758502004157597,0.0
BK1203,1.622132983523722,1.622132983523722,0.0
BK1204,2.9113132107768838,2.9113132107768838,0.0
BK1301,2.398727467698644,2.398727467698644,0.0
BK1302,4.418394342017328,4.418394342017328,0.0
BK1303,1.2593756228055943,1.2593756228055943,0.0
BK1391,0.3920153655118741,0.3920153655118741,0.0
BK1401,2.2305630775558902,2.2305630775558902,0.0
BK1402,2.126611655963576,2.126611655963576,0.0
BK1403,2.9913728796646493,2.9913728796646493,0.0
BK1501,3.2384503293052083,3.2384503293052083,0.0
BK1502,2.542058465160488,2.542058465160488,0.0
BK1503,5.883732757675332,5.883732757675332,0.0
BK1601,1.8652967050074911,1.8652967050074911,0.0
BK1602,2.8584321487700706,2.8584321487700706,0.0
BK1701,1.8356723223696367,1.8356723223696367,0.0
BK1702,2.239651963853853,2.239651963853853,0.0
BK1703,2.5259385382639983,2.5259385382639983,0.0
BK1704,1.7075428268192312,1.7075428268192312,0.0
BK1771,0.3970685323757353,0.3970685323757353,0.0
BK1801,5.045063843525309,5.045063843525309,0.0
BK1802,5.466072384169322,5.466072384169322,0.0
BK1803,6.548932052206535,6.548932052206535,0.0
BK1891,4.039754054795625,4.039754054795625,0.0
BK1892,0.9832259498750276,0.9832259498750276,0.0
BK1893,1.0725990613496754,1.0725990613496754,0.0
BK5591,2.537303477292194,2.537303477292194,0.0
BK5691,5.076621097032753,5.076621097032753,0.0
BK5692,3.6910590686175615,3.6910590686175615,0.0
BK5693,1.6977314361951783,1.6977314361951783,0.0
BX0101,3.804495332866108,3.804495332866108,0.0
BX0102,1.603670139587922,1.603670139587922,0.0
BX0201,4.181744228853515,4.181744228853515,0.0
BX0202,1.4290348657198777,1.4290348657198777,0.0
