score_col,model_label,threshold_mode,threshold_strategy,selected_threshold,selection_note,validation_f1,validation_precision,validation_recall,validation_f2,validation_balanced_accuracy,validation_pr_auc,validation_roc_auc,validation_predicted_positive_share
lgbm_score,Tuned LightGBM,global,best_f1,0.363503,Max validation F1.,0.3730153162632994,0.2933323526166746,0.5121356106331064,0.44565132365595,0.6663133164243427,0.31623165884866816,0.7574689678630266,0.22175735629934104
xgb_score,Tuned XGBoost,global,best_f1,0.350892,Max validation F1.,0.3738615139846434,0.29167116387839537,0.5205470656221909,0.44993395566704775,0.6683096307913274,0.318074016921231,0.7582122047596516,0.2266833039733803
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),global,best_f1,0.345,Max validation F1.,0.37376452035626234,0.2857142857142857,0.5402594067034802,0.4585535996512072,0.6718738785353129,0.31832594628804783,0.758571864966983,0.2401725712794415
