score_col,model_label,global_threshold_fallback,complaint_category,threshold,threshold_strategy,note,validation_rows,validation_positive_rows,validation_f1,validation_precision,validation_recall,validation_pr_auc,validation_roc_auc,validation_predicted_positive_share
lgbm_score,Tuned LightGBM,0.363503,environment,0.37041,best_f1,Max validation F1.,13624,1495,0.35294117647058826,0.27720504009163804,0.48561872909698994,0.2857901270164131,0.7658678128733728,0.19223429242513213
lgbm_score,Tuned LightGBM,0.363503,housing,0.39263,best_f1,Max validation F1.,13624,1626,0.38145695364238413,0.33503955328059565,0.44280442804428044,0.3702171670747809,0.7743164246111539,0.1577363476218438
lgbm_score,Tuned LightGBM,0.363503,infrastructure,0.365,best_f1,Max validation F1.,13624,1734,0.34602336977007164,0.25699888017917133,0.5294117647058824,0.2726213599188567,0.7265170056544856,0.2621843805049912
lgbm_score,Tuned LightGBM,0.363503,noise,0.41,best_f1,Max validation F1.,13624,1884,0.4062106588334033,0.33587786259541985,0.5138004246284501,0.34314148561842783,0.759999385120643,0.21153846153846154
lgbm_score,Tuned LightGBM,0.363503,other,0.345,best_f1,Max validation F1.,13624,1802,0.3798494499131442,0.2912104172832199,0.5460599334073252,0.31416045004874976,0.7567715977904586,0.24801820317087492
lgbm_score,Tuned LightGBM,0.363503,parking_traffic,0.335,best_f1,Max validation F1.,13624,1884,0.37194008037997806,0.2835654596100279,0.5403397027600849,0.3086683273692899,0.7349212140612058,0.2635055783910746
lgbm_score,Tuned LightGBM,0.363503,public_safety,0.336175,best_f1,Max validation F1.,13624,1839,0.407096899980503,0.31732522796352586,0.567699836867863,0.32291120884325136,0.776006171844053,0.2414856136230182
lgbm_score,Tuned LightGBM,0.363503,sanitation,0.33,best_f1,Max validation F1.,13624,1651,0.3517970401691332,0.27021760311789544,0.5039370078740157,0.2815743869613638,0.7467884407593239,0.22599823840281855
lgbm_score,Tuned LightGBM,0.363503,water_sewer,0.4,best_f1,Max validation F1.,13624,1659,0.39288039939222924,0.30698778833107193,0.5455093429776974,0.34814063984335825,0.7798477425744719,0.21638285378743394
xgb_score,Tuned XGBoost,0.350892,environment,0.375,best_f1,Max validation F1.,13624,1495,0.3544757033248082,0.28695652173913044,0.4635451505016722,0.2821238434043364,0.765122315266956,0.1772607163828538
