score_col,model_label,threshold_mode,threshold_strategy,selected_threshold,selection_note,validation_f1,validation_precision,validation_recall,validation_f2,validation_balanced_accuracy,validation_pr_auc,validation_roc_auc,validation_predicted_positive_share
lgbm_score,Tuned LightGBM,global,best_f1,0.335,Max validation F1.,0.37390520350334877,0.28084488874556596,0.5592012328239373,0.4666902450003215,0.6754312249581468,0.31448066440083716,0.7576231717506487,0.25290337313238076
xgb_score,Tuned XGBoost,global,best_f1,0.345,Max validation F1.,0.37655084008606876,0.2925796812749004,0.5281237960703737,0.454882311299885,0.6711684543401886,0.31736319143773173,0.7599534923656706,0.22926861094800027
ensemble_lgbm_w0p500_score,Ensemble LGBM(0.50) + XGB(0.50),global,best_f1,0.353894,Max validation F1.,0.37619548696363847,0.2958331800963554,0.516501862077822,0.4494507582106898,0.668814074477935,0.3177186786565136,0.7598369164244934,0.22175735629934104
