score_col,model_label,global_threshold_fallback,complaint_category,threshold,threshold_strategy,note,validation_rows,validation_positive_rows,validation_f1,validation_precision,validation_recall,validation_pr_auc,validation_roc_auc,validation_predicted_positive_share
lgbm_score,Tuned LightGBM,0.335,environment,0.35,best_f1,Max validation F1.,13624,1495,0.3459386887446856,0.2599193006052455,0.517056856187291,0.27655137242826794,0.7561021692392069,0.21829125073399883
lgbm_score,Tuned LightGBM,0.335,housing,0.345,best_f1,Max validation F1.,13624,1626,0.3820275457213818,0.3018194791295041,0.5202952029520295,0.3689682897973823,0.7767757315846204,0.2057398708162067
lgbm_score,Tuned LightGBM,0.335,infrastructure,0.374024,best_f1,Max validation F1.,13624,1734,0.3536689419795222,0.2806364251861882,0.47808535178777395,0.2807341678219692,0.7292890519884796,0.21682325308279507
lgbm_score,Tuned LightGBM,0.335,noise,0.365,best_f1,Max validation F1.,13624,1884,0.4015748031496063,0.3191489361702128,0.5414012738853503,0.33917426274125845,0.7612193781037844,0.23458602466236053
lgbm_score,Tuned LightGBM,0.335,other,0.33,best_f1,Max validation F1.,13624,1802,0.3844875346260388,0.288126210905065,0.5776914539400666,0.3148670732134175,0.7568612085558424,0.2651937756899589
lgbm_score,Tuned LightGBM,0.335,parking_traffic,0.351917,best_f1,Max validation F1.,13624,1884,0.3753617197188921,0.3073798239675017,0.4819532908704883,0.3108517957992019,0.7344583364981535,0.21682325308279507
lgbm_score,Tuned LightGBM,0.335,public_safety,0.340148,best_f1,Max validation F1.,13624,1839,0.39863195895876874,0.30636682242990654,0.5704187058183795,0.3139781926144959,0.7718189521661323,0.25132119788608337
lgbm_score,Tuned LightGBM,0.335,sanitation,0.317042,best_f1,Max validation F1.,13624,1651,0.3534136546184739,0.2529396394042331,0.5863113264688068,0.2721653832608339,0.7455562619366216,0.2809013505578391
lgbm_score,Tuned LightGBM,0.335,water_sewer,0.366241,best_f1,Max validation F1.,13624,1659,0.38716670279644483,0.3023019634394042,0.5382760699216396,0.3513821505691958,0.7848008570305142,0.21682325308279507
xgb_score,Tuned XGBoost,0.345,environment,0.365,best_f1,Max validation F1.,13624,1495,0.35075972186453774,0.2851758793969849,0.45551839464882943,0.2793522065035109,0.7620319580121276,0.1752789195537287
xgb_score,Tuned XGBoost,0.345,housing,0.36593,best_f1,Max validation F1.,13624,1626,0.3848731450454763,0.31504702194357365,0.4944649446494465,0.3638663653932517,0.7783158868011417,0.18731650029359953
xgb_score,Tuned XGBoost,0.345,infrastructure,0.32,best_f1,Max validation F1.,13624,1734,0.35237769414984604,0.2504863813229572,0.5940023068050749,0.28131485737538897,0.7312413482683926,0.3018203170874927
xgb_score,Tuned XGBoost,0.345,noise,0.355,best_f1,Max validation F1.,13624,1884,0.4067988668555241,0.31574318381706246,0.571656050955414,0.34080424336549,0.7629777522180868,0.25036699941280094
xgb_score,Tuned XGBoost,0.345,other,0.315621,best_f1,Max validation F1.,13624,1802,0.38301652158465094,0.2816827802456232,0.5982241953385128,0.31578652842496313,0.7567795543251534,0.2809013505578391
xgb_score,Tuned XGBoost,0.345,parking_traffic,0.355,best_f1,Max validation F1.,13624,1884,0.3777229757501028,0.30818242790073774,0.487791932059448,0.31513874691474264,0.7381483360279516,0.21887844979448032
xgb_score,Tuned XGBoost,0.345,public_safety,0.344643,best_f1,Max validation F1.,13624,1839,0.4056778440650072,0.32627399073461283,0.5361609570418706,0.3260982146112491,0.7767153617595292,0.22181444509688786
xgb_score,Tuned XGBoost,0.345,sanitation,0.33434,best_f1,Max validation F1.,13624,1651,0.34990638651965883,0.2664765525982256,0.5093882495457298,0.2750082904793994,0.7451860315833784,0.23165002935995302
