method_id,model_label,score_col,threshold_mode,threshold_strategy,split,global_threshold,complaint_category,rows,positive_rows,positive_share,predicted_positive_rows,predicted_positive_share,accuracy,balanced_accuracy,precision,recall,specificity,npv,f1,f2,roc_auc,pr_auc,tn,fp,fn,tp
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.335,environment,13624,1495,0.10973282442748092,3266,0.2397240164415737,0.7712125660598943,0.6741661200070259,0.2516840171463564,0.5498327759197325,0.7984994640943194,0.9350260668082642,0.34530560806553245,0.4445165476963011,0.7561021692392069,0.27655137242826794,9685,2444,673,822
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.335,housing,13624,1626,0.11934820904286553,2977,0.21851145038167938,0.7907369348209042,0.6818164343503745,0.2942559623782331,0.5387453874538746,0.8248874812468745,0.9295576218653142,0.38062133391266567,0.4619765847484443,0.7767757315846204,0.3689682897973823,9897,2101,750,876
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.335,infrastructure,13624,1734,0.12727539635936583,3869,0.283984145625367,0.7314298297122724,0.6584517535307796,0.25122770741793743,0.5605536332179931,0.756349873843566,0.9218862121988723,0.346956987328217,0.44979176307265156,0.7292890519884796,0.2807341678219692,8993,2897,762,972
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.335,noise,13624,1884,0.138285378743394,3640,0.26717557251908397,0.7571931884908985,0.6862187451397403,0.30439560439560437,0.5881104033970276,0.7843270868824531,0.9222756410256411,0.4011585807385952,0.49570508231925553,0.7612193781037844,0.33917426274125845,9208,2532,776,1108
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.335,other,13624,1802,0.13226658837345862,3518,0.25822078684674105,0.7593951849677041,0.6776881492790487,0.29022171688459353,0.5665926748057714,0.7887836237523261,0.922719176726697,0.3838345864661654,0.47594629871340666,0.7568612085558424,0.3148670732134175,9325,2497,781,1021
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.335,parking_traffic,13624,1884,0.138285378743394,3302,0.24236641221374045,0.7615971814445097,0.6578044466628328,0.2934585099939431,0.5143312101910829,0.8012776831345826,0.9113543886843635,0.37369841881989974,0.4470381989296918,0.7344583364981535,0.3108517957992019,9407,2333,915,969
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.335,public_safety,13624,1839,0.13498238402818555,3523,0.258587786259542,0.7626247798003524,0.6849601213328433,0.30201532784558616,0.5785753126699293,0.7913449299957573,0.9232749232749232,0.3968668407310705,0.4890155345160401,0.7718189521661323,0.3139781926144959,9326,2459,775,1064
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.335,sanitation,13624,1651,0.12118320610687022,3391,0.24889900176159718,0.7596887844979449,0.6630226408368962,0.26069006192863464,0.5354330708661418,0.7906122108076505,0.9250464184501124,0.35065450218167393,0.44222111055527763,0.7455562619366216,0.2721653832608339,9466,2507,767,884
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.335,water_sewer,13624,1659,0.12177040516735173,3524,0.25866118614210215,0.7653405754550793,0.6935098528030444,0.2817820658342792,0.5985533453887885,0.7884663602173004,0.9340594059405941,0.3831757669303492,0.48868110236220474,0.7848008570305142,0.3513821505691958,9434,2531,666,993
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,test,0.335,environment,27510,2896,0.10527081061432206,6545,0.23791348600508905,0.7784442021083242,0.6898786181291068,0.2556149732620321,0.5776933701657458,0.8020638660924677,0.9416646792272836,0.35441160893973095,0.4614154117711953,0.7799662142597732,0.29618061363228854,19742,4872,1223,1673
