target_definition,folds,positive_share_mean,positive_share_std,positive_share_min,positive_share_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,precision_at_1pct_mean,precision_at_1pct_std,precision_at_1pct_min,precision_at_1pct_max,precision_at_5pct_mean,precision_at_5pct_std,precision_at_5pct_min,precision_at_5pct_max,precision_at_10pct_mean,precision_at_10pct_std,precision_at_10pct_min,precision_at_10pct_max,f1_mean,f1_std,f1_min,f1_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,alert_rate_mean,alert_rate_std,alert_rate_min,alert_rate_max,threshold_mean,threshold_std,threshold_min,threshold_max
T0_current_reference,5,0.1283581138723008,0.003150176523530912,0.1259297318457624,0.13381614144972923,0.2959486177601608,0.015339753255847124,0.2789242375795961,0.31202905458023417,0.5200919315403423,0.04695582410996342,0.4710676446617767,0.5884270578647107,0.4061530484251155,0.02189276446116201,0.38248246615560266,0.4301092807046159,0.34955898734043733,0.014860103686697872,0.33420322948947967,0.36772141575599415,0.3520121666595263,0.009310110842404398,0.3416819652067488,0.36334607600629637,0.2656481838562479,0.013300335068974727,0.25572022468344385,0.2878982253581356,0.5240031620154929,0.029740880985382804,0.4923817649926865,0.5675280040733197,0.25364260381543974,0.019372457525345107,0.2288608338226659,0.2822714816989626,0.5625321353391186,0.04806656701728768,0.5,0.6336242029158122
T1_min_count_2,5,0.11698553299086209,0.002533628911109654,0.11499314934429439,0.12128107261695048,0.29906675433698693,0.018321830842585603,0.2772052869247737,0.31725790988031954,0.5205479380603097,0.0567181809242982,0.4621026894865526,0.6014669926650367,0.40595916974509105,0.02511400538889615,0.37726308921872453,0.4371228184635459,0.34570447402721277,0.016825319044825468,0.32490621432066547,0.36470396346436146,0.35498180258615164,0.013278476678897482,0.3343166175024582,0.36772086353859634,0.2769832130964973,0.015920939069950214,0.26339045155727986,0.30384412848867826,0.49879854634021514,0.04943871239233586,0.43217286914765907,0.5567620240829679,0.21137861290533047,0.026361036422876183,0.18310008481764206,0.2437854766099041,0.6024534148172468,0.04405569295344269,0.5473769687728267,0.6649713289732299
T2_min_count_3,5,0.1103154994700436,0.0022273642205702855,0.10857473739153128,0.11400632870098519,0.29974605433208723,0.01740223849464315,0.28053700727926206,0.3165151742185692,0.5106259820700897,0.044067194056846046,0.4661776691116544,0.5696821515892421,0.4014642329724314,0.023446443144119974,0.3733485565160659,0.4273364867068994,0.34240051561079654,0.015647811591160264,0.32572174196705267,0.35972924482139945,0.3582548542696049,0.013772487145852639,0.34037655183754006,0.37512235126054866,0.27447044566408363,0.015337746225082223,0.26102845210127906,0.2976240450004198,0.5185563697460306,0.03876052308284028,0.4664613535641854,0.5743990561864032,0.20900362660048674,0.02117212824091951,0.18901285313499053,0.24112676975272396,0.610472507754136,0.05208948393906485,0.5451719983738332,0.6900000000000001
T3_mu8w_ge_1_eligible,5,0.137202409253524,0.003141226979615311,0.13476043769255286,0.1425728438858725,0.30635183335218735,0.018509830740689258,0.2853753676670658,0.32612932435357167,0.5309461456488673,0.053886718038999956,0.4819532908704883,0.6212765957446809,0.41988303293106244,0.02614700007872127,0.38644571914170384,0.44430023794073115,0.3643957096793181,0.01942124032081403,0.34335493466482525,0.3853558295479126,0.3630566519254882,0.011868841636361625,0.34847348390143623,0.3754658127915643,0.277429064855898,0.01057692182629114,0.26747409271184275,0.295118246908223,0.5271598155100626,0.038427170533468065,0.48537642885297594,0.5728810928283142,0.26095893742664855,0.02160827957180299,0.23643896738553066,0.28912842230711117,0.5472069649602134,0.061862793625662674,0.4860378297576162,0.65
