rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_1pct,precision_at_5pct,precision_at_10pct,fold_id,target_definition,description,split,train_end_year,validation_year,test_year,model_name,raw_feature_count,model_feature_count,validation_selected_f1,fit_seconds,removed_formula_aligned_features
122616,17922,0.14616363280485417,0.5613378885528528,28202,0.23000260977360215,0.3319977306574002,0.5224305323066623,0.40599254184372563,0.3689679208812807,0.7596826078080804,85855,18839,8559,9363,0.6487367563162184,0.5150872614581634,0.43793834610993315,fold_2021,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,validation,2019,2020,2021,lightgbm_no_8w_formula_features,57,69,0.40599254184372563,9.733704090118408,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,16408,0.13381614144972923,0.5613378885528528,28062,0.2288608338226659,0.2878982253581356,0.4923817649926865,0.36334607600629637,0.3062124796729181,0.7354893476278814,86225,19983,8329,8079,0.5281173594132029,0.4301092807046159,0.36772141575599415,fold_2021,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,test,2019,2020,2021,lightgbm_no_8w_formula_features,57,69,0.40599254184372563,9.733704090118408,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,16408,0.13381614144972923,0.6336242029158122,30654,0.25,0.2756247145560123,0.5149317406143344,0.3590582635672092,0.3086481801192863,0.733009453467591,84003,22205,7959,8449,0.5664221678891606,0.43190344152666776,0.36209427499592234,fold_2022,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,validation,2020,2021,2022,lightgbm_no_8w_formula_features,57,69,0.3590582635672092,13.3382408618927,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,15441,0.1259297318457624,0.6336242029158122,31511,0.2569892999282312,0.25572022468344385,0.521857392655916,0.343244164252854,0.2789242375795961,0.7267486975374046,83722,23453,7383,8058,0.4710676446617767,0.38248246615560266,0.33420322948947967,fold_2022,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,test,2020,2021,2022,lightgbm_no_8w_formula_features,57,69,0.3590582635672092,13.3382408618927,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,15441,0.1259297318457624,0.5700000000000001,30432,0.24818946956351537,0.25305599369085174,0.4987371284243248,0.3357530573539991,0.2785591750449212,0.7186331969933878,84444,22731,7740,7701,0.5354523227383863,0.3891697928559778,0.3296362746697113,fold_2023,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,validation,2021,2022,2023,lightgbm_no_8w_formula_features,57,69,0.3357530573539991,16.469146013259888,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,15574,0.12701441899915183,0.5700000000000001,30182,0.24615058393684347,0.25899542773838713,0.5019262874020803,0.3416819652067488,0.2802422824115385,0.7258891692164284,84677,22365,7757,7817,0.4808475957620212,0.3846028380362094,0.3342847822541184,fold_2023,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,test,2021,2022,2023,lightgbm_no_8w_formula_features,57,69,0.3357530573539991,16.469146013259888,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,15574,0.12701441899915183,0.5476985852269282,33107,0.27000554576890456,0.25816292626936904,0.5487992808527032,0.3511431564676157,0.2935676431203086,0.7342932052102931,82482,24560,7027,8547,0.5297473512632437,0.39928233567117927,0.342603164247268,fold_2024,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,validation,2022,2023,2024,lightgbm_no_8w_formula_features,57,69,0.3511431564676157,16.393078088760376,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,15858,0.12689039320178597,0.5476985852269282,31736,0.25394081969049564,0.2679921855306277,0.536322360953462,0.35739799134344663,0.3023350345565171,0.743212746116949,85885,23231,7353,8505,0.532,0.4099855976956313,0.35397663626180187,fold_2024,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,test,2022,2023,2024,lightgbm_no_8w_formula_features,57,69,0.3511431564676157,16.393078088760376,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,15858,0.12689039320178597,0.5,33605,0.26889593035351356,0.2592471358428805,0.5493757094211124,0.35226330792713745,0.288139307643986,0.7360539747853201,84223,24893,7146,8712,0.4864,0.39766362618018886,0.3390942550808129,final_style_2025,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,validation,2023,2024,2025,lightgbm_no_8w_formula_features,57,69,0.35226330792713745,21.433268547058105,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,15712,0.12813988386507472,0.5,34611,0.2822714816989626,0.25763485597064517,0.5675280040733197,0.35439063648828567,0.31202905458023417,0.7417452920053289,81210,25694,6795,8917,0.5884270578647107,0.42358505953351816,0.3576088729407927,final_style_2025,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,test,2023,2024,2025,lightgbm_no_8w_formula_features,57,69,0.35226330792713745,21.433268547058105,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,16273,0.1327151432113264,0.6,22995,0.18753669994128008,0.35403348554033487,0.50027653167824,0.41463787307731487,0.3834645731524485,0.7892237835504854,91489,14854,8132,8141,0.6829665851670742,0.5212852715707063,0.44111890393084324,fold_2021,T1_min_count_2,T0 AND count_t+1 >= 2,validation,2019,2020,2021,lightgbm_no_8w_formula_features,57,69,0.41463787307731487,10.24728775024414,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,14871,0.12128107261695048,0.6,22788,0.18584850264239577,0.30384412848867826,0.46560419608634257,0.36772086353859634,0.31321251006211115,0.7659799812441166,91881,15864,7947,6924,0.5273023634881826,0.4371228184635459,0.36470396346436146,fold_2021,T1_min_count_2,T0 AND count_t+1 >= 2,test,2019,2020,2021,lightgbm_no_8w_formula_features,57,69,0.41463787307731487,10.24728775024414,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,14871,0.12128107261695048,0.6649713289732299,26976,0.2200039146604032,0.28199139976275206,0.5115325129446574,0.36356250149353597,0.3075260368299474,0.7617673172322174,88376,19369,7264,7607,0.5395273023634882,0.4182025770673626,0.3565486870004893,fold_2022,T1_min_count_2,T0 AND count_t+1 >= 2,validation,2020,2021,2022,lightgbm_no_8w_formula_features,57,69,0.36356250149353597,12.541706085205078,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,14100,0.11499314934429439,0.6649713289732299,27837,0.2270258367586612,0.26339045155727986,0.52,0.34966735818012734,0.2820191599020858,0.7564890071444836,88011,20505,6768,7332,0.4621026894865526,0.3842766269776545,0.3315935410210406,fold_2022,T1_min_count_2,T0 AND count_t+1 >= 2,test,2020,2021,2022,lightgbm_no_8w_formula_features,57,69,0.36356250149353597,12.541706085205078,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,14100,0.11499314934429439,0.62,23834,0.19437920010439094,0.26961483594864477,0.45574468085106384,0.3387989666262456,0.2844702754607381,0.747894325940496,91108,17408,7674,6426,0.5232273838630807,0.38770184309248085,0.327679008318382,fold_2023,T1_min_count_2,T0 AND count_t+1 >= 2,validation,2021,2022,2023,lightgbm_no_8w_formula_features,57,69,0.3387989666262456,14.588983297348022,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,14161,0.11549063743720232,0.62,22451,0.18310008481764206,0.27259364838982675,0.43217286914765907,0.3343166175024582,0.2772052869247737,0.7491301770649276,92124,16331,8041,6120,0.4710676446617767,0.37726308921872453,0.32490621432066547,fold_2023,T1_min_count_2,T0 AND count_t+1 >= 2,test,2021,2022,2023,lightgbm_no_8w_formula_features,57,69,0.3387989666262456,14.588983297348022,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,14161,0.11549063743720232,0.5799187763401779,28202,0.23000260977360215,0.2632082831004893,0.5241861450462538,0.3504473243160305,0.29561666299348316,0.7597962036525946,87676,20779,6738,7423,0.5281173594132029,0.3963464361441853,0.337628445604306,fold_2024,T1_min_count_2,T0 AND count_t+1 >= 2,validation,2022,2023,2024,lightgbm_no_8w_formula_features,57,69,0.3504473243160305,19.472211837768555,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,14496,0.11599212636228336,0.5799187763401779,27136,0.2171331636980492,0.27749115566037735,0.519453642384106,0.3617409684857802,0.30563890491564427,0.7694050182626033,90872,19606,6966,7530,0.5408,0.40950552088334136,0.3510961753880621,fold_2024,T1_min_count_2,T0 AND count_t+1 >= 2,test,2022,2023,2024,lightgbm_no_8w_formula_features,57,69,0.3504473243160305,19.472211837768555,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
