complaint_type,complaint_category,complaint_count,share_of_all_requests,rank_within_category
Miscellaneous Categories,other,13752,0.00044447132072396984,6
Unleashed Dog,other,11718,0.00037873145260641935,7
DOF Property - Payment Issue,other,11414,0.00036890602492316695,8
DRIE,other,4023,0.00013002531437409328,9
Storm,other,3003,9.70584188579175e-05,10
Posting Advertisement,other,2745,8.871973352147303e-05,11
DPR Internal,other,2520,8.144762421643426e-05,12
Uprooted Stump,other,2343,7.572689822980375e-05,13
Adopt-A-Basket,other,2313,7.475728365579859e-05,14
Private or Charter School Reopening,other,2099,6.784069969456172e-05,15
Face Covering Violation,other,1798,5.811223346870984e-05,16
Facades,other,1769,5.7174939380504846e-05,17
LinkNYC,other,1406,4.5442603035042294e-05,18
Quality of Life,other,1324,4.279232319942816e-05,19
Executive Inspections,other,1289,4.1661106196422126e-05,20
Pet Shop,other,1281,4.140254231002075e-05,21
Cannabis Retailer,other,1111,3.5908059723991454e-05,22
Illegal Animal Sold,other,817,2.640583689874079e-05,23
AHV Inspection Unit,other,749,2.4208043864329072e-05,24
Special Natural Area District (SNAD),other,743,2.401412094952804e-05,25
Special Operations,other,440,1.4221013752075823e-05,26
FATF,other,435,1.4059411323074963e-05,27
Incorrect Data,other,356,1.1506092944861347e-05,28
Lifeguard,other,259,8.371005822244632e-06,29
Squeegee,other,244,7.886198535242048e-06,30
Cooling Tower,other,231,7.466032219839807e-06,31
X-Ray Machine/Equipment,other,204,6.5933791032351545e-06,32
Pet Sale,other,189,6.1085718162325695e-06,33
Dept of Investigations,other,186,6.011610358832053e-06,34
FCST,other,180,5.817687444031018e-06,35
Literature Request,other,161,5.203598213827745e-06,36
Bench,other,156,5.041995784826883e-06,37
Radioactive Material,other,134,4.3309450972230914e-06,38
Tobacco or Non-Tobacco Sale,other,123,3.9754197534211965e-06,39
Forensic Engineering,other,78,2.5209978924134415e-06,40
ATF,other,73,2.35939546341258e-06,41
Transportation Provider Complaint,other,58,1.874588176409995e-06,42
Tanning,other,55,1.7776267190094778e-06,43
