feature_set,feature,mean_abs_shap,mean_signed_shap,importance_rank,mean_abs_shap_share
B_no_8w_formula_features,ratio_to_12w_mean,0.36387915176084135,0.014632192625970734,1,0.13498154137438886
B_no_8w_formula_features,rolling_4w_std,0.30835575239423885,-0.0011938932853292217,2,0.11438504940010943
B_no_8w_formula_features,rolling_12w_std,0.28573009879115935,-0.04037511611206666,3,0.10599202775221374
B_no_8w_formula_features,lag_8w_count,0.21298389287384514,-0.07361742014025081,4,0.07900670870785274
B_no_8w_formula_features,lag_12w_count,0.1804783065880763,0.02849175617990811,5,0.06694871055407269
B_no_8w_formula_features,lag_52w_count,0.17775812323262283,0.035296693490560804,6,0.0659396542771102
B_no_8w_formula_features,week_of_year,0.15024957692332833,-0.004328329228688751,7,0.055735315930631406
B_no_8w_formula_features,diff_4w_count,0.11074465146180047,-0.003129542898404554,8,0.04108090194490765
B_no_8w_formula_features,lag_1w_count,0.08726440546919055,-0.0008541021461946223,9,0.03237086791136845
B_no_8w_formula_features,complaint_count,0.08246323779599789,0.0505624711971128,10,0.03058986724180996
B_no_8w_formula_features,rolling_12w_mean,0.07785838188029072,-0.0036020449288118954,11,0.028881688726219563
B_no_8w_formula_features,complaint_category=environment,0.049792343261036556,0.001482172059611354,12,0.01847054773403113
B_no_8w_formula_features,history_weeks_available,0.047904785897122805,-0.040118172971878446,13,0.017770355372966395
B_no_8w_formula_features,complaint_category=housing,0.04172843268794334,-0.0025056938603933336,14,0.015479227474560058
B_no_8w_formula_features,rolling_4w_mean,0.036624746718372216,-0.010144179723198721,15,0.01358600716905508
B_no_8w_formula_features,month,0.028215902601976553,0.0020684721587960623,16,0.01046673327134618
B_no_8w_formula_features,weather_prcp_max,0.02759951547882652,-0.007579161827243027,17,0.010238083502422899
B_no_8w_formula_features,complaint_category=public_safety,0.027239384926329862,0.00025723419830158865,18,0.010104492509817861
B_no_8w_formula_features,complaint_category=noise,0.02717005868029752,1.9795431558218065e-05,19,0.010078775830250311
B_no_8w_formula_features,boroname=Manhattan,0.026881881593947745,0.0019342343897915401,20,0.009971876088629943
B_no_8w_formula_features,complaint_category=sanitation,0.02548825742277835,0.0021379160910323506,21,0.00945490901917638
B_no_8w_formula_features,weather_tmin_min,0.022588592245466412,0.007458696647174873,22,0.008379273679231284
B_no_8w_formula_features,weather_tmin_mean,0.021092986511161,-0.005173438858110289,23,0.00782447638917493
B_no_8w_formula_features,complaint_category=water_sewer,0.019297136894312138,-0.0013201567981194885,24,0.007158303160547131
B_no_8w_formula_features,weather_tmax_max,0.017605147480376462,-0.009255636488016918,25,0.006530657036890413
B_no_8w_formula_features,weather_awnd_mean,0.015959738367664435,-0.0039343482560522305,26,0.005920289948942188
B_no_8w_formula_features,weather_tmin_max,0.015459491179073921,0.009119687769671701,27,0.0057347224706808
B_no_8w_formula_features,weather_awnd_max,0.015359314322132346,-0.0010014526254981363,28,0.005697561708667969
B_no_8w_formula_features,diff_1w_count,0.014443048477036948,-0.0022473852634077992,29,0.005357671458069134
B_no_8w_formula_features,pct_change_1w,0.014209667384725372,-0.005928484984222662,30,0.005271098376276969
B_no_8w_formula_features,rolling_12w_sum,0.013336540581461947,-0.0009021023270594812,31,0.004947210620824438
B_no_8w_formula_features,complaint_category=infrastructure,0.013319735911616785,0.00015729697823087152,32,0.004940976902220305
B_no_8w_formula_features,weather_tmax_min,0.011498525406194936,0.0021682574369271085,33,0.004265396012247686
B_no_8w_formula_features,weather_tavg_mean,0.010838446104427265,8.125431533211002e-05,34,0.00402053856122095
B_no_8w_formula_features,weather_tmax_mean,0.009722728451706792,6.415614397369996e-05,35,0.0036066613501357513
B_no_8w_formula_features,weather_prcp_mean,0.009044206444271712,-0.0033969054374381235,36,0.0033549625485505825
B_no_8w_formula_features,complaint_category=other,0.008493951326472033,-0.0003534056235293271,37,0.003150844550609983
B_no_8w_formula_features,lag_2w_count,0.007769324441627646,-0.0026919540491951743,38,0.0028820430725250185
B_no_8w_formula_features,lag_4w_count,0.007668863753145523,0.0007275755484071342,39,0.00284477702275759
B_no_8w_formula_features,boroname=Brooklyn,0.0074824008104671675,-0.00027726037675433307,40,0.002775608302070698
B_no_8w_formula_features,rolling_4w_sum,0.0063466917440848265,-0.00022608374268867493,41,0.0023543152447704206
