feature_set,feature,mean_abs_shap,mean_signed_shap,importance_rank,mean_abs_shap_share
C_reduced_nonformula_history,complaint_count,0.6784030872089516,0.1437552210657555,1,0.23679836902455548
C_reduced_nonformula_history,rolling_12w_std,0.3625206573088706,-0.06145073408614155,2,0.12653878204125843
C_reduced_nonformula_history,rolling_4w_std,0.29828582843167284,-0.046920239832689406,3,0.10411744729281133
C_reduced_nonformula_history,lag_8w_count,0.28486916164090986,-0.11871007755531882,4,0.09943432471612995
C_reduced_nonformula_history,lag_52w_count,0.1542698026027383,0.01831639585478409,5,0.05384827742509501
C_reduced_nonformula_history,week_of_year,0.15302337095603535,0.0006354177431507815,6,0.053413207204152845
C_reduced_nonformula_history,rolling_12w_mean,0.1147574668377432,0.0484266189545978,7,0.040056393452403694
C_reduced_nonformula_history,lag_12w_count,0.09490465823444369,0.030787625194326117,8,0.033126718770115554
C_reduced_nonformula_history,lag_4w_count,0.08299496524064595,-0.005039734587265259,9,0.028969609332248496
C_reduced_nonformula_history,lag_1w_count,0.062111716286063656,-0.021622208894764617,10,0.02168025675467728
C_reduced_nonformula_history,complaint_category=environment,0.046481538718134575,0.0010036636084553136,11,0.01622450246134546
C_reduced_nonformula_history,history_weeks_available,0.043595333207987995,-0.03294403729229565,12,0.01521706489161947
C_reduced_nonformula_history,complaint_category=housing,0.03940860184001687,0.001679041637805258,13,0.013755675375309459
C_reduced_nonformula_history,month,0.03202249144833355,0.000652548062921159,14,0.01117753425661018
C_reduced_nonformula_history,complaint_category=noise,0.03097298334958644,-0.00030810118558155525,15,0.010811200714285317
C_reduced_nonformula_history,complaint_category=sanitation,0.02989419453972335,0.0016851838682551102,16,0.010434646663288142
C_reduced_nonformula_history,weather_prcp_max,0.02581944083562277,-0.006148144494415661,17,0.009012343242946261
C_reduced_nonformula_history,boroname=Manhattan,0.02568576783198114,0.0018677022675447998,18,0.00896568433198054
C_reduced_nonformula_history,complaint_category=water_sewer,0.02368362989910771,-0.0012107759962529585,19,0.008266832858563533
C_reduced_nonformula_history,complaint_category=public_safety,0.02352714479910943,0.0013924024929813086,20,0.00821221132579798
C_reduced_nonformula_history,rolling_4w_mean,0.020408317279522352,-0.006555374624096165,21,0.007123576436258262
C_reduced_nonformula_history,weather_tmin_min,0.018638524880162183,0.0028845280649288257,22,0.006505825778010648
C_reduced_nonformula_history,weather_awnd_mean,0.0169927404219164,-0.004946688097009574,23,0.005931360415416378
C_reduced_nonformula_history,weather_tmin_mean,0.016741732686298617,-0.0026176302050473325,24,0.005843745509871983
C_reduced_nonformula_history,weather_tmax_max,0.015497319152594086,-0.004764508118401561,25,0.0054093797165415715
C_reduced_nonformula_history,weather_awnd_max,0.013772691597251696,0.0006841671137768322,26,0.0048073939650320145
C_reduced_nonformula_history,weather_tmax_min,0.013396002365777107,0.006046881354498748,27,0.004675909605181479
C_reduced_nonformula_history,weather_prcp_mean,0.013192613475936381,-0.006407561824200698,28,0.004604916182097064
C_reduced_nonformula_history,complaint_category=other,0.01083091473368202,-0.0015588532295042323,29,0.003780559069286747
C_reduced_nonformula_history,weather_tavg_mean,0.010762926606694154,-0.0005836962834307309,30,0.003756827636032225
C_reduced_nonformula_history,weather_tmax_mean,0.010660721222937836,0.000683592077573968,31,0.0037211525799551726
C_reduced_nonformula_history,complaint_category=infrastructure,0.01018522414188241,-0.0004723061182775183,32,0.003555179082203118
C_reduced_nonformula_history,lag_2w_count,0.009341813470606294,-0.0018654954678183333,33,0.0032607843850950024
C_reduced_nonformula_history,weather_tmin_max,0.008496494919918034,9.356203602562714e-05,34,0.002965723737696257
C_reduced_nonformula_history,boroname=Brooklyn,0.007326711351874619,-0.0003458131939625603,35,0.0025574077287523183
C_reduced_nonformula_history,rain_day_count,0.007301169024219916,0.0012158153520014023,36,0.002548492112588765
C_reduced_nonformula_history,cold_day_0c_count,0.00538311337757001,-0.0009683734740993176,37,0.0018789897807322722
C_reduced_nonformula_history,iso_year,0.0049564777538281205,0.0047505212850975954,38,0.00173007150224169
C_reduced_nonformula_history,weather_snow_max,0.004949788089284559,-0.0009370457315900144,39,0.0017277364573648247
C_reduced_nonformula_history,complaint_category=parking_traffic,0.004826612457654015,-3.7894639699696236e-05,40,0.0016847416815101292
C_reduced_nonformula_history,ice_day_tmax_0c_count,0.003973467451029278,-0.0011601149708660935,41,0.0013869491892304516
C_reduced_nonformula_history,boroname=Staten Island,0.003151236945513892,0.00015525540467719318,42,0.0010999474842863972
C_reduced_nonformula_history,weather_prcp_station_max,0.0028204948123057394,-0.0004980617685669432,43,0.0009845010790620204
C_reduced_nonformula_history,boroname=Queens,0.0027792136260571705,8.573549130134996e-05,44,0.0009700917732092463
C_reduced_nonformula_history,weather_tmax_station_max,0.0023118694635462125,-0.00010450191644129847,45,0.0008069640729638966
C_reduced_nonformula_history,quarter,0.002169869401667286,-0.0001064346346034091,46,0.0007573985805769803
C_reduced_nonformula_history,is_year_end,0.00202963092934437,-0.00017901694030785761,47,0.0007084479756244214
C_reduced_nonformula_history,weather_prcp_sum,0.0018969448446564939,-0.0007696118598926621,48,0.0006621335512965356
C_reduced_nonformula_history,weather_snwd_mean,0.001786263669900046,0.0011725839894175724,49,0.0006234999982390507
C_reduced_nonformula_history,weather_snwd_max,0.0017455932533541416,0.0006367582491655574,50,0.0006093038831458227
C_reduced_nonformula_history,boroname=Bronx,0.0016852587176334059,-0.0001280269025942817,51,0.0005882439559080158
C_reduced_nonformula_history,hot_day_30c_count,0.0016059774869875074,-0.0005002222612074904,52,0.0005605706353333028
C_reduced_nonformula_history,moderate_rain_day_10mm_count,0.0012596260102940573,-0.00016205243780978166,53,0.0004396757480065384
C_reduced_nonformula_history,weather_snow_mean,0.0011290275070955983,0.000584147595644908,54,0.0003940899994485899
C_reduced_nonformula_history,snow_day_count,0.0009164409330237992,1.89333369971123e-05,55,0.00031988610066648596
C_reduced_nonformula_history,year,0.0007885605965062011,0.0007266120640791758,56,0.0002752491352861212
C_reduced_nonformula_history,very_cold_day_minus5c_count,0.0006767325329131125,0.00014785076008581275,57,0.00023621525768547069
C_reduced_nonformula_history,heavy_rain_day_25mm_count,0.000627223141201769,-0.00023308744704366447,58,0.00021893387523056891
C_reduced_nonformula_history,weather_snow_sum,0.00023467660892286513,8.215299405537791e-05,59,8.191448312798102e-05
C_reduced_nonformula_history,is_year_start,0.00016997541187592884,4.751650465123452e-06,60,5.93303613521143e-05
C_reduced_nonformula_history,hot_day_35c_count,0.00010216199500482415,2.564582816827509e-05,61,3.565991112004764e-05
C_reduced_nonformula_history,very_heavy_rain_day_50mm_count,7.85502499100222e-05,3.709893566062063e-05,62,2.7418169840131377e-05
C_reduced_nonformula_history,heavy_snow_day_25mm_count,6.508841810640444e-05,5.156204862148926e-05,63,2.2719282297778937e-05
