rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_1pct,precision_at_5pct,precision_at_10pct,audit_family,model_name,feature_set,split,raw_feature_count,model_feature_count,fit_seconds,elapsed_seconds,validation_selected_f1,removed_formula_aligned_features,delta_vs_current_f1,delta_vs_current_pr_auc,delta_vs_current_precision,delta_vs_current_recall,delta_vs_current_precision_at_5pct
122616,15574,0.12701441899915183,0.5800000000000001,28368,0.23135642982971227,0.2888465877044557,0.5261332990882239,0.3729461562969369,0.31778864850096455,0.7557618221514867,86868,20174,7380,8194,0.5525672371638142,0.4281520143532866,0.36551949111074866,target_shortcut,lightgbm,A_current_prospective,validation,61,73,47.045881032943726,61.77628421783447,0.3729461562969369,,0.0,0.0,0.0,0.0,0.0
247590,31570,0.12750918857789087,0.5800000000000001,55209,0.22298558100084817,0.29862884674600154,0.5222363002850807,0.37997672247894076,0.3301273505753725,0.7639151681540767,177298,38722,15083,16487,0.5892568659127625,0.44507269789983844,0.3815178318995113,target_shortcut,lightgbm,A_current_prospective,test,61,73,47.045881032943726,62.06156826019287,0.3729461562969369,,0.0,0.0,0.0,0.0,0.0
122616,15574,0.12701441899915183,0.5556311444559194,31880,0.25999869511319895,0.2605081555834379,0.5332605624759215,0.35002318034306906,0.29375083538376756,0.734067966302991,83467,23575,7269,8305,0.5387123064384678,0.39667264720274015,0.34186918936551947,target_shortcut,lightgbm,B_no_8w_formula_features,validation,57,69,17.497639894485474,24.657337188720703,0.35002318034306906,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.02292297595386783,-0.024037813117196993,-0.02833843212101783,0.0071272633876975355,-0.031479367150546445
247590,31570,0.12750918857789087,0.5556311444559194,61508,0.24842683468637666,0.2716719776289263,0.5292999683243585,0.3590536968993747,0.3097235977480685,0.7444647161185376,171222,44798,14860,16710,0.5726978998384491,0.4219709208400646,0.3555070883315158,target_shortcut,lightgbm,B_no_8w_formula_features,test,57,69,17.497639894485474,24.80814242362976,0.35002318034306906,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.020923025579566046,-0.020403752827304,-0.026956869117075233,0.007063668039277826,-0.023101777059773843
122616,15574,0.12701441899915183,0.5421415272881143,34333,0.28000424088210346,0.25471121078845427,0.5615127777064338,0.3504518404231871,0.29191754199448794,0.7344335845609384,81454,25588,6829,8745,0.5248573757131214,0.3960202250856304,0.33828086772141575,target_shortcut,lightgbm,C_reduced_nonformula_history,validation,51,63,16.5876362323761,28.760045766830444,0.3504518404231871,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.02249431587374978,-0.025871106506476615,-0.034135376916001436,0.03537947861820989,-0.0321317892676562
247590,31570,0.12750918857789087,0.5421415272881143,65880,0.26608505997818976,0.2663630843958713,0.5558441558441558,0.360143663417137,0.3064815700534753,0.7452202659469376,167688,48332,14022,17548,0.5440226171243941,0.42189014539579967,0.3572034411729068,target_shortcut,lightgbm,C_reduced_nonformula_history,test,51,63,16.5876362323761,29.04361128807068,0.3504518404231871,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",-0.01983305906180377,-0.023645780521897197,-0.032265762350130234,0.033607855559075084,-0.023182552504038778
