complaint_category,complaint_types,complaint_count,share_of_all_requests
housing,57,8061962,0.2605665283425289
noise,9,6713922,0.21699722066446459
parking_traffic,39,6521679,0.21078383351278207
sanitation,36,3090901,0.09989942188023844
infrastructure,28,2673125,0.08639669860458565
public_safety,38,1597023,0.05161655919404861
water_sewer,10,1212939,0.03920277772597522
environment,17,626930,0.020262682162702036
other,86,441648,0.014274277912674507
