nta2020,ntaname,boroname,borocode,cdta2020,cdtaname,nta_area_km2,pluto_avg_num_floors,pluto_building_area_to_lot_area_ratio,pluto_commercial_area_ratio,pluto_lot_area_commercial,pluto_lot_area_industrial,pluto_lot_area_mixed_use,pluto_lot_area_open_space,pluto_lot_area_parking,pluto_lot_area_public_facility,pluto_lot_area_ratio_commercial,pluto_lot_area_ratio_industrial,pluto_lot_area_ratio_mixed_use,pluto_lot_area_ratio_open_space,pluto_lot_area_ratio_parking,pluto_lot_area_ratio_public_facility,pluto_lot_area_ratio_residential,pluto_lot_area_ratio_transportation_utility,pluto_lot_area_ratio_unknown,pluto_lot_area_ratio_vacant,pluto_lot_area_residential,pluto_lot_area_transportation_utility,pluto_lot_area_unknown,pluto_lot_area_vacant,pluto_lot_count,pluto_lot_count_commercial,pluto_lot_count_industrial,pluto_lot_count_mixed_use,pluto_lot_count_open_space,pluto_lot_count_parking,pluto_lot_count_public_facility,pluto_lot_count_residential,pluto_lot_count_transportation_utility,pluto_lot_count_unknown,pluto_lot_count_vacant,pluto_office_area_ratio,pluto_parcel_count,pluto_parcel_density_per_km2,pluto_residential_area_ratio,pluto_retail_area_ratio,pluto_total_building_area,pluto_total_buildings,pluto_total_commercial_area,pluto_total_factory_area,pluto_total_garage_area,pluto_total_lot_area,pluto_total_office_area,pluto_total_other_area,pluto_total_residential_area,pluto_total_residential_units,pluto_total_retail_area,pluto_total_storage_area,pluto_total_units
BK0302,Bedford-Stuyvesant (East),Brooklyn,3.0,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),3.8336630516734855,2.705243874513396,1.6648036235136334,0.1787409682626429,475108.0,177450.0,2155859.0,784046.0,285650.0,3853107.0,0.0167506063222514,0.0062562514036461,0.0760078664120213,0.0276426536377748,0.0100709958492618,0.135846751632284,0.6981828489512802,0.0018128497657034,0.0010846284484743,0.0263445475773023,19803000.0,51419.0,30764.0,747227.0,9107.0,79.0,22.0,712.0,61.0,79.0,171.0,7759.0,12.0,15.0,197.0,0.0630752636061671,9107.0,2375.534802419471,0.7337339781974005,0.0371078711476443,47219874.0,9220.0,8440126.0,99673.0,303054.0,28363630.0,2978406.0,3134357.0,34646826.0,39697.0,1752229.0,169147.0,41207.0
BK0401,Bushwick (West),Brooklyn,3.0,BK04,BK04 Bushwick (CD 4 Equivalent),2.1479796470688544,2.844205335126653,1.7817659946229567,0.2567071477961311,1017440.0,991595.0,2585023.0,432248.0,293110.0,1378279.0,0.0653513034002216,0.0636912502900837,0.1660389038857832,0.0277637700425961,0.0188267814707884,0.0885283939093746,0.5435795575234256,0.0044654111924897,0.0079994712494794,0.0137551570357572,8462870.0,69521.0,124542.0,214151.0,4704.0,152.0,91.0,745.0,24.0,93.0,74.0,3380.0,14.0,40.0,91.0,0.0312087045958061,4704.0,2189.9648846389705,0.7215508652674245,0.0804837187532004,27739921.0,4930.0,7121036.0,651286.0,310189.0,15568779.0,865727.0,2670245.0,20015764.0,24020.0,2232612.0,373697.0,25908.0
BK0402,Bushwick (East),Brooklyn,3.0,BK04,BK04 Bushwick (CD 4 Equivalent),2.593630972278392,2.605205767984446,1.4520783576119356,0.1675436666548862,726767.0,540985.0,1182221.0,476629.0,298808.0,1938399.0,0.0382134877548025,0.0284450500270813,0.0621613085169943,0.0250612045608617,0.0157113570773535,0.1019212298445327,0.686301551444457,0.0285476338188738,0.0019955202799112,0.0116416566751315,13052494.0,542936.0,37952.0,221408.0,6445.0,79.0,31.0,459.0,91.0,74.0,101.0,5486.0,38.0,14.0,72.0,0.0079943523609946,6445.0,2484.933311209785,0.7694188647249094,0.040234974053189,27616496.0,6599.0,4626969.0,351584.0,130809.0,19018599.0,220776.0,2603080.0,21248653.0,24094.0,1111149.0,206060.0,25185.0
BK0471,The Evergreens Cemetery,Brooklyn,3.0,BK04,BK04 Bushwick (CD 4 Equivalent),0.5186015460904004,2.0,0.0010930441041474,1.0,0.0,0.0,0.0,5484668.0,0.0,0.0,0.0,0.0,0.0,0.9991640034343444,0.0,0.0,0.0,0.0005283046503379,0.0,0.0003076919153175,0.0,2900.0,0.0,1689.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,9.641313331388375,0.0,0.0,6000.0,9.0,6000.0,0.0,0.0,5489257.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
BK0501,Cypress Hills,Brooklyn,3.0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),2.2635774466677514,2.213962787015044,0.9999553585574512,0.2147046961427281,547221.0,487566.0,1179779.0,303418.0,379348.0,1096727.0,0.0332816550857398,0.029653473539089,0.0717534556521023,0.0184537019281149,0.023071719275147,0.0667022825096591,0.6726271507185722,0.0664386303932442,0.0032393630967683,0.0147785678015628,11059417.0,1092392.0,53262.0,242991.0,5212.0,67.0,49.0,432.0,6.0,93.0,65.0,4341.0,60.0,16.0,83.0,0.035456984255647,5212.0,2302.5498896327445,0.7492771139077257,0.0506098421015209,16441387.0,6261.0,3530043.0,243187.0,241763.0,16442121.0,582962.0,784878.0,12319155.0,13062.0,832096.0,479907.0,14553.0
BK0502,East New York (North),Brooklyn,3.0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),2.591144158054152,2.258035355564484,1.1614247738331875,0.2758632943979144,584806.0,1716802.0,1202010.0,483067.0,775004.0,1514654.0,0.0316348458796198,0.0928697152146576,0.0650222485674938,0.0261313155038257,0.0419235303606476,0.0819346002793228,0.5850469871093653,0.0275241973254115,0.0158971583782742,0.0320154013813813,10815257.0,508816.0,293877.0,591841.0,5610.0,77.0,148.0,359.0,90.0,223.0,121.0,4215.0,62.0,89.0,226.0,0.1105047010622231,5610.0,2165.066726435202,0.6709595983354458,0.031809870530642,21470254.0,5937.0,5922855.0,878150.0,344745.0,18486134.0,2372564.0,865320.0,14405673.0,15974.0,682966.0,733020.0,16986.0
BK0503,East New York-New Lots,Brooklyn,3.0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),4.313542513724002,2.1408227848101267,0.8748803597051185,0.3747078949205666,1008603.0,7624108.0,1734379.0,785745.0,1638566.0,2148537.0,0.0305280021095313,0.2307635264889106,0.052495506924654,0.0237826231109303,0.0495954764209568,0.0650310796898344,0.4383539287266798,0.0817568095614653,0.0051279384628013,0.0225651085042358,14482608.0,2701132.0,169420.0,745520.0,5733.0,72.0,210.0,254.0,43.0,96.0,99.0,4673.0,70.0,37.0,179.0,0.0550862800199745,5733.0,1329.0700118892628,0.5826070708301496,0.0330931797645778,28904838.0,6447.0,10830871.0,4128123.0,838648.0,33038618.0,1592260.0,1077808.0,16840163.0,18605.0,956553.0,2236391.0,29187.0
BK0504,Spring Creek-Starrett City,Brooklyn,3.0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),2.514956113351278,3.122330097087379,0.836044685330984,0.255343444651567,1738708.0,458657.0,902834.0,3341069.0,3440881.0,1166396.0,0.0764898739697978,0.020177405363848,0.0397178013074354,0.1469815211837746,0.1513724869472458,0.0513125165576257,0.2679322771001536,0.1085750442409201,0.0060412512871065,0.131399822042092,6090427.0,2468043.0,137325.0,2986878.0,684.0,25.0,2.0,21.0,7.0,12.0,7.0,560.0,2.0,13.0,35.0,0.0357018937910623,684.0,271.9729367716652,0.6791236452944316,0.0919045538818186,19004314.0,773.0,4852627.0,363452.0,1435486.0,22731218.0,678490.0,495984.0,12906279.0,16192.0,1746583.0,0.0,16846.0
BK0505,East New York-City Line,Brooklyn,3.0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),2.9274816838356474,2.1325421387123518,0.7288754168239203,0.1801036192692963,778783.0,48843.0,1186942.0,2363916.0,859615.0,1479474.0,0.0355018259359628,0.002226571052771,0.0541082795593684,0.1077621550024044,0.0391866567476982,0.0674437274886363,0.4913000621204343,0.0779618060758407,0.0067925848067923,0.1177163312100912,10777365.0,1710203.0,149005.0,2582275.0,3973.0,74.0,7.0,225.0,25.0,81.0,59.0,3222.0,28.0,28.0,224.0,0.0615297420375787,3973.0,1357.1391486195373,0.7640310620143277,0.0425768648009827,15988918.0,4435.0,2879662.0,17154.0,594391.0,21936421.0,983794.0,587062.0,12216030.0,13914.0,680758.0,15083.0,14634.0
BK0571,Highland Park-Cypress Hills Cemeteries (South),Brooklyn,3.0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),0.7521732683711322,2.0,0.05245893431313,1.0,0.0,0.0,0.0,7953646.0,0.0,275000.0,0.0,0.0,0.0,0.9665801639783752,0.0,0.0334198360216249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9867953464020792,12.0,15.953770899073007,0.0,0.0,431666.0,14.0,431666.0,0.0,0.0,8228646.0,425966.0,5700.0,0.0,0.0,0.0,0.0,3.0
