candidate_id,experiment_id,param_id,pos_weight_mode,feature,importance,importance_rank,model_name
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,weather_tmin_min,0.005679982714354992,31,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,weather_snow_mean,0.005592610687017441,32,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,complaint_category=parking_traffic,0.005516678560525179,33,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,very_cold_day_minus5c_count,0.005446046125143766,34,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,poi_mixed_use_index,0.0053006913512945175,35,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,pluto_total_residential_units,0.005255262833088636,36,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,pluto_total_retail_area,0.005182615946978331,37,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,pluto_lot_count_residential,0.005163906142115593,38,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,weather_snwd_max,0.005159969441592693,39,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,weather_snwd_mean,0.00514210993424058,40,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,lag_12w_count,0.005098378751426935,41,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,weather_tmax_mean,0.005065590143203735,42,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,history_weeks_available,0.0050211576744914055,43,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,complaint_category=sanitation,0.0050184885039925575,44,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,cold_day_0c_count,0.00495257880538702,45,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,poi_dominant_semantic_category=recreation_green,0.004945569671690464,46,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,weather_tavg_mean,0.004926172085106373,47,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,pluto_lot_area_ratio_mixed_use,0.004883995279669762,48,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,boroname=Manhattan,0.004861164838075638,49,xgboost
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgb_current_depth8_lr005,none,pluto_total_units,0.004858359228819609,50,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,ratio_to_8w_mean,0.04331612214446068,1,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,rolling_12w_mean,0.012996850535273552,2,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,rolling_8w_std,0.011898918077349663,3,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,ratio_to_12w_mean,0.010498029179871082,4,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,lag_52w_count,0.009323357604444027,5,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,complaint_category=housing,0.008900473825633526,6,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,poi_named_count,0.008438528515398502,7,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,complaint_category=environment,0.008361320942640305,8,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,poi_semantic_entropy_norm,0.008320326916873455,9,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,poi_unique_raw_type_count,0.008165077306330204,10,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,ice_day_tmax_0c_count,0.008088971488177776,11,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,week_of_year,0.007938089780509472,12,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,complaint_category=noise,0.007786048576235771,13,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,complaint_count,0.007771057076752186,14,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,poi_semantic_entropy,0.007695946376770735,15,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,complaint_category=public_safety,0.007522531319409609,16,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,complaint_category=other,0.007493998389691114,17,xgboost
002_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_sqrt,E1_main_2015_2025,xgb_current_depth8_lr005,sqrt,month,0.007263354957103729,18,xgboost
