candidate_id,experiment_id,model_name,param_id,feature_set,pos_weight_mode,pos_weight,split,threshold_strategy,rows,positive_rows,positive_share,threshold,predicted_positive_rows,predicted_positive_share,accuracy,balanced_accuracy,precision,recall,specificity,npv,f1,f2,roc_auc,pr_auc,tn,fp,fn,tp
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,validation,default_0_5,122616,15507,0.12646799765120376,0.5,1173,0.00956645136034449,0.8752201996476806,0.519993304535423,0.5882352941176471,0.0444960340491391,0.9954905750217069,0.8779921444628345,0.08273381294964029,0.054587743864812265,0.7631595367373768,0.3229881064105212,106626,483,14817,690
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,test,default_0_5,245232,31367,0.12790745090363412,0.5,2819,0.011495237163176094,0.8740458015267175,0.5235502163191871,0.584959205391983,0.05257117352631747,0.9945292591120567,0.8774075647758165,0.09647224009828585,0.06426995720532867,0.7698016485302244,0.33648578611463464,212695,1170,29718,1649
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,validation,best_f1,122616,15507,0.12646799765120376,0.178977,29003,0.23653519932145886,0.774221961244862,0.6751475505338813,0.2900734406785505,0.5425291803701554,0.8077659206976071,0.9242199267195795,0.37802740957088293,0.4620953301622524,0.7631595367373768,0.3229881064105212,86519,20590,7094,8413
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,test,best_f1,245232,31367,0.12790745090363412,0.178977,56053,0.22857131206367848,0.7801184184771971,0.6750946668377868,0.2988064867179277,0.5339688207351675,0.8162205129404063,0.9227292669905222,0.38318462594372,0.4613515791561307,0.7698016485302244,0.33648578611463464,174561,39304,14618,16749
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,validation,best_f2,122616,15507,0.12646799765120376,0.101409,57383,0.46798949566125136,0.6086644483591048,0.6917887309886539,0.2170154923932175,0.8030566840781582,0.5805207778991495,0.9531832048196465,0.3416929619975305,0.5214343737176642,0.7631595367373768,0.3229881064105212,62179,44930,3054,12453
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,test,best_f2,245232,31367,0.12790745090363412,0.101409,110728,0.45152345534024924,0.6241885235205846,0.6974793020152663,0.22548045661440647,0.7959639111167788,0.598994692913754,0.9524177719621721,0.3514127872198177,0.5285229216413487,0.7698016485302244,0.33648578611463464,128104,85761,6400,24967
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,validation,best_balanced_accuracy,122616,15507,0.12646799765120376,0.12263,47722,0.389198799504143,0.6691051738761662,0.6953620485880464,0.23737479569171452,0.730508802476301,0.6602152946997918,0.9442011376078191,0.3583165952332,0.5160820045558087,0.7631595367373768,0.3229881064105212,70715,36394,4179,11328
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,test,best_balanced_accuracy,245232,31367,0.12790745090363412,0.12263,92072,0.3754485548378678,0.6814322763750245,0.6988911391606091,0.24609001650881918,0.7223515159243791,0.6754307623968391,0.9431378950117524,0.3671125009113813,0.5207777879930128,0.7698016485302244,0.33648578611463464,144451,69414,8709,22658
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,validation,best_precision_at_min_recall,122616,15507,0.12646799765120376,0.130049,44703,0.3645772166764533,0.6868434788282116,0.6938784546030687,0.24396572936939356,0.703295285999871,0.6844616232062665,0.940946953653434,0.3622654044178708,0.5109106070401289,0.7631595367373768,0.3229881064105212,73312,33797,4601,10906
001_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_none,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,full_without_covid_period_features,none,1.0,test,best_precision_at_min_recall,245232,31367,0.12790745090363412,0.130049,86212,0.3515528152932733,0.6985752267240817,0.6974569854935103,0.2532130097898204,0.6959543469251124,0.6989596240619083,0.9400264117721041,0.37132481140339685,0.5156368102796675,0.7698016485302244,0.33648578611463464,149483,64382,9537,21830
