method_id,model_label,score_col,threshold_mode,threshold_strategy,split,global_threshold,complaint_category,rows,positive_rows,positive_share,predicted_positive_rows,predicted_positive_share,accuracy,balanced_accuracy,precision,recall,specificity,npv,f1,f2,roc_auc,pr_auc,tn,fp,fn,tp
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.348333,environment,13624,1495,0.10973282442748092,2814,0.20654726952436875,0.79690252495596,0.6736398928905569,0.27398720682302774,0.5157190635451505,0.8315607222359634,0.9330249768732655,0.3578556509631005,0.4383670684557653,0.7692592258637705,0.293577201149991,10086,2043,724,771
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.348333,housing,13624,1626,0.11934820904286553,3007,0.220713446858485,0.7879477392836172,0.6791695192331153,0.28999002327901563,0.5362853628536285,0.8220536756126021,0.9289818216068569,0.3764299589898554,0.4584165702870361,0.7806415357869199,0.3788762903380001,9863,2135,754,872
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.348333,infrastructure,13624,1734,0.12727539635936583,3812,0.2798003523194363,0.7354668232530828,0.6605183229973333,0.25472193074501576,0.5599769319492502,0.7610597140454163,0.9222380758255198,0.3501622791200866,0.45171194640863416,0.7328511160066856,0.27841101301254256,9049,2841,763,971
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.348333,noise,13624,1884,0.138285378743394,3560,0.26130358191426895,0.7611567821491486,0.685622131316529,0.30758426966292135,0.5812101910828026,0.7900340715502555,0.9216017488076311,0.402277736958119,0.4934210526315789,0.7628434282056012,0.34773165243996207,9275,2465,789,1095
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.348333,other,13624,1802,0.13226658837345862,3471,0.2547709923664122,0.7591749853200235,0.6716818809379455,0.28694900605012963,0.5527192008879024,0.7906445609879885,0.9206145966709347,0.37777356343637397,0.46633579923213786,0.7594478568616123,0.31700873720774697,9347,2475,806,996
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.348333,parking_traffic,13624,1884,0.138285378743394,3243,0.23803581914268937,0.7665149735760423,0.6615491523707216,0.3000308356460068,0.5164543524416136,0.8066439522998297,0.9122435218187073,0.3795591964111566,0.4513405696261249,0.7419110359993778,0.32173009863685387,9470,2270,911,973
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.348333,public_safety,13624,1839,0.13498238402818555,2996,0.21990604815032297,0.7902965355255431,0.6837455240172909,0.3301068090787717,0.5377922784121806,0.8296987696224014,0.9200225818592398,0.40910031023784904,0.4776854714064915,0.7817366755234659,0.33725447891293037,9778,2007,850,989
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.348333,sanitation,13624,1651,0.12118320610687022,2744,0.2014092777451556,0.7911773341162655,0.6524795619540291,0.2824344023323615,0.46941247728649305,0.8355466466215652,0.919485294117647,0.35267349260523323,0.41452717158750535,0.7520161833942645,0.2903353675267913,10004,1969,876,775
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.348333,water_sewer,13624,1659,0.12177040516735173,3356,0.2463300058719906,0.7767909571344686,0.6984712796288753,0.29410011918951134,0.5949367088607594,0.8020058503969912,0.9345539540319439,0.39361914257228314,0.4938951160928743,0.7848591947530307,0.3530580677133084,9596,2369,672,987
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,test,0.348333,environment,27510,2896,0.10527081061432206,5517,0.20054525627044711,0.8057797164667394,0.6841317932300128,0.27823092260286386,0.5300414364640884,0.8382221499959372,0.9381166734870185,0.36491144657078334,0.4488041634992106,0.7869362206613763,0.30941435835163444,20632,3982,1361,1535
