validation_rank,method_id,model_label,score_col,threshold_mode,threshold_strategy,val_rows,val_positive_rows,val_positive_share,val_predicted_positive_rows,val_predicted_positive_share,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_specificity,val_npv,val_f1,val_f2,val_roc_auc,val_pr_auc,val_tn,val_fp,val_fn,val_tp,val_global_threshold,test_rows,test_positive_rows,test_positive_share,test_predicted_positive_rows,test_predicted_positive_share,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_specificity,test_npv,test_f1,test_f2,test_roc_auc,test_pr_auc,test_tn,test_fp,test_fn,test_tp,test_global_threshold
1,ensemble_lgbm_w0p500_per_category,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,per_category,best_f1,122616,15574,0.12701441899915183,27129,0.2212517126639264,0.7843919227507014,0.6723767314089092,0.2997898927347119,0.5222165147039939,0.8225369481138245,0.9220731617916575,0.3809100063227408,0.45473860777187586,0.763465043228952,0.3248923817103907,88046,18996,7441,8133,,247590,31570,0.12750918857789087,52594,0.21242376509552083,0.7905569691829234,0.6715001136258427,0.30714530174544624,0.5116883116883116,0.8313119155633738,0.9209419680403701,0.3838695879473409,0.4515468989344455,0.7720407650050118,0.3364934511557154,179580,36440,15416,16154,
2,xgb_per_category,Tuned XGBoost,xgb_score,per_category,best_f1,122616,15574,0.12701441899915183,27457,0.22392673060611992,0.7826303255692568,0.672904070325913,0.29824816986560804,0.5258122511878772,0.8199958894639487,0.9223930474258872,0.38060932815876924,0.4561964502579301,0.7631161965910594,0.32327672610353264,87774,19268,7385,8189,,247590,31570,0.12750918857789087,53426,0.21578415929560968,0.7886909810573933,0.6729325639348085,0.3058248792722644,0.5175483053531834,0.8283168225164337,0.9215560042026328,0.3844651513012377,0.4546036303740554,0.7722211685751479,0.3366973631463498,178933,37087,15231,16339,
3,lgbm_per_category,Tuned LightGBM,lgbm_score,per_category,best_f1,122616,15574,0.12701441899915183,28631,0.2335013375089711,0.7765626019442813,0.6753270501002229,0.2935279941322343,0.5396173109027868,0.8110367892976589,0.9237112305155077,0.38022848094107004,0.4621289605947628,0.7628898581512348,0.3249287184863687,86815,20227,7170,8404,,247590,31570,0.12750918857789087,54828,0.22144674663758634,0.78490245971162,0.6738988557559444,0.302236083752827,0.5248970541653468,0.8229006573465419,0.9221890206575984,0.38359684251950277,0.45748945380656847,0.7708655897632868,0.33459166990084216,177763,38257,14999,16571,
4,lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,122616,15574,0.12701441899915183,29003,0.23653519932145886,0.773936517257128,0.6745088107490549,0.2906251077474744,0.5412225504045204,0.8077950710935894,0.9236751305908367,0.37817708683850415,0.4616151326958674,0.7628898581512348,0.3249287184863687,86468,20574,7145,8429,0.348333,247590,31570,0.12750918857789087,55684,0.22490407528575468,0.783569611050527,0.6766916445077455,0.3023130522232598,0.5332277478618942,0.8201555411535969,0.923212406073807,0.3858619662135833,0.4625640236530303,0.7708655897632868,0.33459166990084216,177170,38850,14736,16834,0.348333
5,ensemble_lgbm_w0p500_global,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,global,best_f1,122616,15574,0.12701441899915183,29607,0.24146114699549814,0.7707069224244797,0.6755121770653487,0.288208869524099,0.5479003467317324,0.803124007398965,0.9242976486146502,0.37772514995241363,0.46423946987584735,0.763465043228952,0.3248923817103907,85968,21074,7041,8533,0.344819,247590,31570,0.12750918857789087,57081,0.2305464679510481,0.7803182681045276,0.6788312642891938,0.30009985809638934,0.5426037377256889,0.8150587908526988,0.9242030560236,0.3864592615988539,0.467111326836132,0.7720407650050118,0.3364934511557154,176069,39951,14440,17130,0.344819
6,xgb_global,Tuned XGBoost,xgb_score,global,best_f1,122616,15574,0.12701441899915183,27105,0.22105597964376592,0.7831359692046715,0.6692157859556727,0.2967718133185759,0.516501862077822,0.8219297098335233,0.9211609134026447,0.376953536868249,0.4498831109271708,0.7631161965910594,0.32327672610353264,87981,19061,7530,8044,0.36,247590,31570,0.12750918857789087,52561,0.21229048022941152,0.7911749262894301,0.6726656407152907,0.30847967123913167,0.5135888501742161,0.8317424312563652,0.9212629916576509,0.38544650604414543,0.4533076867161333,0.7722211685751479,0.3366973631463498,179673,36347,15356,16214,0.36
