score_col,split,rows,mean,std,min,q01,q05,q25,median,q75,q95,q99,max
lgbm_score,test,247590,0.2327987446468968,0.16689431203439561,0.0007195432020804959,0.004896156385238518,0.02648455270689787,0.10197786094609779,0.19729688275284296,0.33010400686977,0.5629526986896325,0.713066499634716,0.9540590084734143
lgbm_score,validation,122616,0.2393015131433974,0.16526405332150923,0.0008443349579328382,0.0049975395814018395,0.029139234399709217,0.10961896197518706,0.20634110984700105,0.33899677429845676,0.5611895387679311,0.7004242275603415,0.9302224700836121
xgb_score,test,247590,0.23315511935009622,0.1689993391551283,0.0008539622649550438,0.005444289362058043,0.024207061808556325,0.10079765692353249,0.19696804136037827,0.33169277757406235,0.5672433018684386,0.7205452895164488,0.9611207246780396
xgb_score,validation,122616,0.23826695028990946,0.16622738523966235,0.0008874420891515911,0.005613638041540981,0.026388414669781923,0.10794371739029884,0.20509910583496094,0.3390418067574501,0.5612740218639374,0.7020150005817414,0.929121732711792
ensemble_lgbm_w0p500_score,test,247590,0.2329769319984965,0.16760532558906147,0.001020794393356918,0.005215169364467854,0.02556597696323299,0.10162784021568154,0.19731777005620416,0.3307528641455699,0.5644569786994221,0.7149358028897276,0.957589866575727
ensemble_lgbm_w0p500_score,validation,122616,0.23878423171665344,0.1654193224319238,0.0010644560989624908,0.005369519761778598,0.027916504046540648,0.10902287548145007,0.2059629337889105,0.3388753118243335,0.5599459224178587,0.7008693353115434,0.9296721013977021
