column,missing_rows,missing_share,feature_group,is_categorical_feature
poi_dominant_semantic_category,0,0.0,osm_poi,True
poi_dominant_semantic_category_share,0,0.0,osm_poi,False
poi_education_count,0,0.0,osm_poi,False
poi_education_density_per_km2,0,0.0,osm_poi,False
poi_education_share,0,0.0,osm_poi,False
poi_emergency_safety_count,0,0.0,osm_poi,False
poi_emergency_safety_density_per_km2,0,0.0,osm_poi,False
poi_emergency_safety_share,0,0.0,osm_poi,False
poi_employment_industrial_count,0,0.0,osm_poi,False
poi_employment_industrial_density_per_km2,0,0.0,osm_poi,False
poi_employment_industrial_share,0,0.0,osm_poi,False
poi_finance_count,0,0.0,osm_poi,False
poi_finance_density_per_km2,0,0.0,osm_poi,False
poi_finance_share,0,0.0,osm_poi,False
poi_food_drink_count,0,0.0,osm_poi,False
poi_food_drink_density_per_km2,0,0.0,osm_poi,False
poi_food_drink_share,0,0.0,osm_poi,False
poi_healthcare_count,0,0.0,osm_poi,False
poi_healthcare_density_per_km2,0,0.0,osm_poi,False
poi_healthcare_share,0,0.0,osm_poi,False
poi_industrial_logistics_count,0,0.0,osm_poi,False
poi_industrial_logistics_density_per_km2,0,0.0,osm_poi,False
poi_industrial_logistics_share,0,0.0,osm_poi,False
poi_log1p_density_per_km2,0,0.0,osm_poi,False
poi_log1p_total_count,0,0.0,osm_poi,False
poi_mixed_use_index,0,0.0,osm_poi,False
poi_mobility_access_count,0,0.0,osm_poi,False
poi_mobility_access_density_per_km2,0,0.0,osm_poi,False
poi_mobility_access_share,0,0.0,osm_poi,False
poi_named_count,0,0.0,osm_poi,False
poi_named_share,0,0.0,osm_poi,False
poi_office_work_count,0,0.0,osm_poi,False
poi_office_work_density_per_km2,0,0.0,osm_poi,False
poi_office_work_share,0,0.0,osm_poi,False
poi_osm_tag_amenity_count,0,0.0,osm_poi,False
poi_osm_tag_amenity_share,0,0.0,osm_poi,False
poi_osm_tag_highway_count,0,0.0,osm_poi,False
poi_osm_tag_highway_share,0,0.0,osm_poi,False
poi_osm_tag_leisure_count,0,0.0,osm_poi,False
poi_osm_tag_leisure_share,0,0.0,osm_poi,False
poi_osm_tag_public_transport_count,0,0.0,osm_poi,False
poi_osm_tag_public_transport_share,0,0.0,osm_poi,False
poi_osm_tag_railway_count,0,0.0,osm_poi,False
poi_osm_tag_railway_share,0,0.0,osm_poi,False
poi_osm_tag_shop_count,0,0.0,osm_poi,False
poi_osm_tag_shop_share,0,0.0,osm_poi,False
poi_osm_tag_tourism_count,0,0.0,osm_poi,False
poi_osm_tag_tourism_share,0,0.0,osm_poi,False
poi_other_count,0,0.0,osm_poi,False
poi_other_density_per_km2,0,0.0,osm_poi,False
poi_other_share,0,0.0,osm_poi,False
poi_public_service_count,0,0.0,osm_poi,False
poi_public_service_density_per_km2,0,0.0,osm_poi,False
poi_public_service_share,0,0.0,osm_poi,False
poi_recreation_environment_count,0,0.0,osm_poi,False
poi_recreation_environment_density_per_km2,0,0.0,osm_poi,False
poi_recreation_environment_share,0,0.0,osm_poi,False
poi_recreation_green_count,0,0.0,osm_poi,False
poi_recreation_green_density_per_km2,0,0.0,osm_poi,False
poi_recreation_green_share,0,0.0,osm_poi,False
poi_religion_count,0,0.0,osm_poi,False
poi_religion_density_per_km2,0,0.0,osm_poi,False
poi_religion_share,0,0.0,osm_poi,False
poi_retail_count,0,0.0,osm_poi,False
poi_retail_density_per_km2,0,0.0,osm_poi,False
poi_retail_share,0,0.0,osm_poi,False
poi_safety_public_service_count,0,0.0,osm_poi,False
poi_safety_public_service_density_per_km2,0,0.0,osm_poi,False
poi_safety_public_service_share,0,0.0,osm_poi,False
poi_semantic_entropy,0,0.0,osm_poi,False
poi_semantic_entropy_norm,0,0.0,osm_poi,False
poi_semantic_hhi,0,0.0,osm_poi,False
poi_social_infrastructure_count,0,0.0,osm_poi,False
poi_social_infrastructure_density_per_km2,0,0.0,osm_poi,False
poi_social_infrastructure_share,0,0.0,osm_poi,False
poi_total_count,0,0.0,osm_poi,False
poi_transport_count,0,0.0,osm_poi,False
poi_transport_density_per_km2,0,0.0,osm_poi,False
poi_transport_share,0,0.0,osm_poi,False
poi_unique_raw_type_count,0,0.0,osm_poi,False
poi_unique_semantic_category_count,0,0.0,osm_poi,False
poi_with_any_detected_tag_count,0,0.0,osm_poi,False
poi_with_any_detected_tag_share,0,0.0,osm_poi,False
poi_with_valid_coordinate_count,0,0.0,osm_poi,False
poi_with_valid_coordinate_share,0,0.0,osm_poi,False
quarter,0,0.0,calendar_period,False
rain_day_count,0,0.0,weather,False
snow_day_count,0,0.0,weather,False
very_cold_day_minus5c_count,0,0.0,weather,False
very_heavy_rain_day_50mm_count,0,0.0,weather,False
weather_awnd_max,0,0.0,weather,False
weather_awnd_mean,0,0.0,weather,False
weather_prcp_max,0,0.0,weather,False
weather_prcp_mean,0,0.0,weather,False
weather_prcp_station_max,0,0.0,weather,False
weather_prcp_sum,0,0.0,weather,False
weather_snow_max,0,0.0,weather,False
weather_snow_mean,0,0.0,weather,False
weather_snow_sum,0,0.0,weather,False
weather_snwd_max,0,0.0,weather,False
weather_snwd_mean,0,0.0,weather,False
weather_tavg_mean,0,0.0,weather,False
weather_tmax_max,0,0.0,weather,False
weather_tmax_mean,0,0.0,weather,False
weather_tmax_min,0,0.0,weather,False
weather_tmax_station_max,0,0.0,weather,False
weather_tmin_max,0,0.0,weather,False
weather_tmin_mean,0,0.0,weather,False
weather_tmin_min,0,0.0,weather,False
week_of_year,0,0.0,calendar_period,False
year,0,0.0,calendar_period,False
