column,include,reason,feature_group,dtype_sample,is_categorical_feature,is_quality_feature
poi_retail_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_retail_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_safety_public_service_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_safety_public_service_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_safety_public_service_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_semantic_entropy,True,included_numeric_feature,osm_poi,float64,False,False
poi_semantic_entropy_norm,True,included_numeric_feature,osm_poi,float64,False,False
poi_semantic_hhi,True,included_numeric_feature,osm_poi,float64,False,False
poi_social_infrastructure_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_social_infrastructure_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_social_infrastructure_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_total_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_transport_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_transport_density_per_km2,True,included_numeric_feature,osm_poi,float64,False,False
poi_transport_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_unique_raw_type_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_unique_semantic_category_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_with_any_detected_tag_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_with_any_detected_tag_share,True,included_numeric_feature,osm_poi,float64,False,False
poi_with_valid_coordinate_count,True,included_numeric_feature,osm_poi,int64,False,False
poi_with_valid_coordinate_share,True,included_numeric_feature,osm_poi,float64,False,False
pluto_avg_num_floors,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_building_area_to_lot_area_ratio,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_commercial_area_ratio,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_commercial,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_industrial,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_mixed_use,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_open_space,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_parking,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_public_facility,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_ratio_commercial,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
pluto_lot_area_ratio_industrial,True,included_numeric_feature,pluto_landuse_built_environment,float64,False,False
