target_definition,challenger,baseline,fold_id,cluster_unit,clusters,n_bootstrap,metric,challenger_observed,baseline_observed,observed_difference,boot_mean_difference,ci_lower,ci_upper,win_proportion,ci_includes_zero
T2_min_count_3,platt_lightgbm,hgb_poisson_formula,final_style_2025,nta_category,2358,1000,pr_auc,0.3165151742185692,0.1527955526634712,0.16371962155509798,0.1639110507064485,0.15591848820609536,0.17220534540155413,1.0,False
T2_min_count_3,platt_lightgbm,hgb_poisson_formula,final_style_2025,nta_category,2358,1000,precision_at_5pct,0.41803947153808513,0.17550154950252814,0.242537922035557,0.2422622736910781,0.2268757135866906,0.2575436307290817,1.0,False
T2_min_count_3,platt_lightgbm,hgb_poisson_formula,final_style_2025,nta_category,2358,1000,f1,0.36125023186792804,0.1710493978864586,0.19020083398146945,0.19029158896267756,0.18117372954518435,0.19888315826308706,1.0,False
T2_min_count_3,platt_lightgbm,hgb_poisson_formula,final_style_2025,nta_category,2358,1000,precision,0.26347831969153757,0.5128960943257185,-0.2494177746341809,-0.2493238952271848,-0.26566664505188337,-0.23177360662982283,0.0,False
T2_min_count_3,platt_lightgbm,hgb_poisson_formula,final_style_2025,nta_category,2358,1000,recall,0.5743990561864032,0.10263972865359092,0.47175932753281224,0.4717712569389055,0.4617802224285332,0.48086197503780753,1.0,False
T2_min_count_3,platt_lightgbm,hurdle_formula,final_style_2025,nta_category,2358,1000,pr_auc,0.3165151742185692,0.1517217797265457,0.16479339449202346,0.1648441288953677,0.15645293482705874,0.17327012736693254,1.0,False
T2_min_count_3,platt_lightgbm,hurdle_formula,final_style_2025,nta_category,2358,1000,precision_at_5pct,0.41803947153808513,0.1722394389169793,0.24580003262110584,0.24548980590442016,0.2296485075844071,0.26097292448214,1.0,False
T2_min_count_3,platt_lightgbm,hurdle_formula,final_style_2025,nta_category,2358,1000,f1,0.36125023186792804,0.18121533638775017,0.18003489548017787,0.180104010172617,0.17113699407555336,0.18986405918942423,1.0,False
T2_min_count_3,platt_lightgbm,hurdle_formula,final_style_2025,nta_category,2358,1000,precision,0.26347831969153757,0.4966953073364177,-0.23321698764488014,-0.23294712489771144,-0.25166377680400126,-0.21558573803885378,0.0,False
T2_min_count_3,platt_lightgbm,hurdle_formula,final_style_2025,nta_category,2358,1000,recall,0.5743990561864032,0.11082436218846778,0.4635746939979354,0.46336714216825103,0.45358308502968026,0.4726724478014048,1.0,False
