score_col,split,rows,mean,std,min,q01,q05,q25,median,q75,q95,q99,max
lgbm_score,test,247590,0.2315624548050527,0.16444533892001756,0.001050105820302,0.005308806429193571,0.02678401383387873,0.10308023378784435,0.197047393465678,0.3272353716395045,0.5560983118539653,0.7051038766363605,0.9404776528951064
lgbm_score,validation,122616,0.23764275137673288,0.16330338151266846,0.0011374087694399,0.005435658360368885,0.02848963616895355,0.10941209179456249,0.2056530824746951,0.33667018692955003,0.5555796839782962,0.69156350005955,0.9430153583037744
xgb_score,test,247590,0.23101732414236772,0.16733606371408125,0.0009940492454916,0.006587341204285612,0.024484502989798745,0.10020231083035462,0.1949502676725387,0.32733555138111115,0.5624610781669617,0.715760491490364,0.9430704712867736
xgb_score,validation,122616,0.23894867989583266,0.16685212601592989,0.0010194110218435,0.0066826381487771,0.02619196521118275,0.10793958976864812,0.2062659412622451,0.3391716629266739,0.5639025866985321,0.7064350783824922,0.9295009970664978
ensemble_lgbm_w0p500_score,test,247590,0.2312898894737102,0.16532488208902163,0.0012277679821551999,0.006024965116381416,0.02587613550107579,0.10202614411097813,0.1961905837966602,0.32711796666331133,0.5582891670475821,0.7084727774621732,0.9366159059344001
ensemble_lgbm_w0p500_score,validation,122616,0.23829571563628277,0.16451800325657168,0.0010784098956417,0.006129916235634873,0.027486945993869076,0.10921100456151792,0.20616384636079121,0.3378106480892933,0.5588263168358801,0.6974195736034787,0.9311125849910968
