method_id,model_label,score_col,threshold_mode,threshold_strategy,split,global_threshold,tn,fp,fn,tp
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.345,86340,20702,7183,8391
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,test,0.345,176973,39047,14937,16633
lgbm_per_category,Tuned LightGBM,lgbm_score,per_category,best_f1,validation,,85514,21528,6909,8665
lgbm_per_category,Tuned LightGBM,lgbm_score,per_category,best_f1,test,,175239,40781,14497,17073
xgb_global,Tuned XGBoost,xgb_score,global,best_f1,validation,0.34,85173,21869,6927,8647
xgb_global,Tuned XGBoost,xgb_score,global,best_f1,test,0.34,175443,40577,14548,17022
xgb_per_category,Tuned XGBoost,xgb_score,per_category,best_f1,validation,,86151,20891,7073,8501
xgb_per_category,Tuned XGBoost,xgb_score,per_category,best_f1,test,,177216,38804,14879,16691
ensemble_lgbm_w0p500_global,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,global,best_f1,validation,0.345,86152,20890,7122,8452
ensemble_lgbm_w0p500_global,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,global,best_f1,test,0.345,176969,39051,14873,16697
ensemble_lgbm_w0p500_per_category,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,per_category,best_f1,validation,,85114,21928,6800,8774
ensemble_lgbm_w0p500_per_category,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,per_category,best_f1,test,,174913,41107,14302,17268
