method_id,model_label,score_col,threshold_mode,threshold_strategy,split,global_threshold,rows,positive_rows,positive_share,predicted_positive_rows,predicted_positive_share,accuracy,balanced_accuracy,precision,recall,specificity,npv,f1,f2,roc_auc,pr_auc,tn,fp,fn,tp
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,validation,0.345,122616,15574,0.12701441899915183,29093,0.23726919814706074,0.7725826972010178,0.6726909325748254,0.2884198948200598,0.5387825863618851,0.8065992787877655,0.9231953637073234,0.37571361407750686,0.4590815087154909,0.7598497970910806,0.3211711932187925,86340,20702,7183,8391
lgbm_global,Tuned LightGBM,lgbm_score,global,best_f1,test,0.345,247590,31570,0.12750918857789087,55680,0.2248879195444081,0.7819621147865423,0.6730522662453648,0.2987248563218391,0.5268609439341146,0.8192435885566152,0.9221666406127872,0.38127220630372494,0.45705100021982853,0.7672654274465195,0.3307667656978603,176973,39047,14937,16633
lgbm_per_category,Tuned LightGBM,lgbm_score,per_category,best_f1,validation,,122616,15574,0.12701441899915183,30193,0.24624029490441704,0.7680808377373263,0.677629346432566,0.28698704997847185,0.5563760113008861,0.7988826815642458,0.9252458803544572,0.3786571110188564,0.4684340840532388,0.7598497970910806,0.3211711932187925,85514,21528,6909,8665
lgbm_per_category,Tuned LightGBM,lgbm_score,per_category,best_f1,test,,247590,31570,0.12750918857789087,57854,0.2336685649662749,0.7767357324609233,0.6760073900934278,0.2951049192795658,0.5407982261640798,0.8112165540227757,0.9235938356453177,0.38184380032206117,0.46360259376323765,0.7672654274465195,0.3307667656978603,175239,40781,14497,17073
xgb_global,Tuned XGBoost,xgb_score,global,best_f1,validation,0.34,122616,15574,0.12701441899915183,30516,0.24887453513407712,0.7651529979774254,0.6754586274920749,0.2833595490890025,0.5552202388596379,0.7956970161245118,0.9247882736156352,0.375222390974181,0.46583415937594275,0.7590212588452712,0.3173839223638471,85173,21869,6927,8647
xgb_global,Tuned XGBoost,xgb_score,global,best_f1,test,0.34,247590,31570,0.12750918857789087,57599,0.23263863645543034,0.77735368956743,0.675671839738909,0.2955259639924304,0.5391827684510612,0.8121609110267568,0.9234279518503508,0.38179187834337047,0.46285872775031406,0.7675345998682591,0.3319108414167492,175443,40577,14548,17022
xgb_per_category,Tuned XGBoost,xgb_score,per_category,best_f1,validation,,122616,15574,0.12701441899915183,29392,0.23970770535656033,0.7719384093429895,0.6753396284403554,0.2892283614589004,0.5458456401695133,0.8048336167111975,0.9241289796618897,0.3781079037494996,0.46358302067882384,0.7590212588452712,0.3173839223638471,86151,20891,7073,8501
xgb_per_category,Tuned XGBoost,xgb_score,per_category,best_f1,test,,247590,31570,0.12750918857789087,55495,0.22414071650712872,0.7831778343228725,0.6745333077683742,0.3007658347598883,0.5286981311371556,0.8203684843995926,0.9225435331476614,0.3834146901740079,0.45911153899051027,0.7675345998682591,0.3319108414167492,177216,38804,14879,16691
ensemble_lgbm_w0p500_global,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,global,best_f1,validation,0.345,122616,15574,0.12701441899915183,29342,0.23929992823122595,0.7715469433026685,0.673771164792351,0.28805125758298683,0.5426993707461153,0.8048429588385867,0.923644316744216,0.3763469587674771,0.46116239987777996,0.7602028256116681,0.32053674385292447,86152,20890,7122,8452
ensemble_lgbm_w0p500_global,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,global,best_f1,test,0.345,247590,31570,0.12750918857789087,55748,0.22516256714729996,0.782204450906741,0.6740566283691807,0.2995085025471766,0.528888184985746,0.8192250717526155,0.9224726597929546,0.3824411919650015,0.4586382314808711,0.7682343108577242,0.3326407246612176,176969,39051,14873,16697
ensemble_lgbm_w0p500_per_category,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,per_category,best_f1,validation,,122616,15574,0.12701441899915183,30702,0.250391466040321,0.7657075748678802,0.6792603430684955,0.2857794280502899,0.5633748555284448,0.7951458306085462,0.9260177992471224,0.37920304261388194,0.47173057485107206,0.7602028256116681,0.32053674385292447,85114,21928,6800,8774
ensemble_lgbm_w0p500_per_category,Ensemble LGBM(0.50) + XGB(0.50),ensemble_lgbm_w0p500_score,per_category,best_f1,test,,247590,31570,0.12750918857789087,58375,0.23577285027666708,0.7762066319318228,0.6783412053700374,0.2958115631691649,0.546974976243269,0.8097074344968058,0.9244140263721163,0.38396798043248653,0.46757466626952965,0.7682343108577242,0.3326407246612176,174913,41107,14302,17268
