group_rank,feature_group,mean_abs_shap_sum,feature_count,mean_abs_shap_share
1,historical_temporal,2.056106983074928,21,0.5895522224782247
2,semantic_category,0.37410144911148574,9,0.1072669576882438
3,pluto_built_environment,0.35505341402386936,53,0.10180527134984464
4,osm_poi_context,0.28365670103839385,103,0.08133352976990123
5,weather,0.1701013014062161,22,0.04877353227043565
6,calendar,0.16646590404753045,4,0.04773114653367825
7,current_demand,0.05601892680347656,1,0.016062434041464017
8,other,0.01843163980803434,11,0.005284945920709796
9,spatial_context,0.007637647300823237,5,0.0021899599474980553
