label,feature_group,feature_count,mean_abs_shap_sum,mean_abs_shap_share,percent
Historical temporal,historical_temporal,21,2.056106983074928,0.5895522224782247,58.95522224782247
Service category,semantic_category,9,0.3741014491114857,0.1072669576882438,10.726695768824381
PLUTO built environment,pluto_built_environment,53,0.3550534140238693,0.1018052713498446,10.18052713498446
OSM POI context,osm_poi_context,103,0.2836567010383938,0.0813335297699012,8.13335297699012
Weather,weather,22,0.1701013014062161,0.0487735322704356,4.87735322704356
Calendar,calendar,4,0.1664659040475304,0.0477311465336782,4.77311465336782
Current demand,current_demand,1,0.0560189268034765,0.016062434041464,1.6062434041464
