complaint_category,category_rank,feature,feature_group,mean_abs_shap,rows
infrastructure,23,complaint_category=public_safety,semantic_category,0.032055527693496455,2778
infrastructure,24,lag_8w_count,historical_temporal,0.030406109254057845,2778
infrastructure,25,pluto_total_buildings,pluto_built_environment,0.02999532492527557,2778
infrastructure,26,pluto_total_units,pluto_built_environment,0.028560712327166386,2778
infrastructure,27,month,calendar,0.028103829605975756,2778
infrastructure,28,pluto_total_residential_area,pluto_built_environment,0.02485960112948803,2778
infrastructure,29,complaint_category=parking_traffic,semantic_category,0.023460712130702766,2778
infrastructure,30,poi_osm_tag_public_transport_count,osm_poi_context,0.02086406076730382,2778
noise,1,rolling_8w_std,historical_temporal,0.8083529586567981,2778
noise,2,ratio_to_8w_mean,historical_temporal,0.3947119634352849,2778
noise,3,week_of_year,calendar,0.13672612243167712,2778
noise,4,lag_52w_count,historical_temporal,0.12770423063088973,2778
noise,5,rolling_4w_mean,historical_temporal,0.1045181219620233,2778
noise,6,lag_1w_count,historical_temporal,0.09773714164093529,2778
noise,7,complaint_category=environment,semantic_category,0.08636817042752486,2778
noise,8,rolling_12w_std,historical_temporal,0.08245437261316257,2778
noise,9,complaint_category=other,semantic_category,0.07006053077502107,2778
noise,10,complaint_category=housing,semantic_category,0.061444630015161,2778
noise,11,history_weeks_available,historical_temporal,0.05667516140140823,2778
noise,12,rolling_12w_mean,historical_temporal,0.055568281729641,2778
noise,13,complaint_count,current_demand,0.05554329131318665,2778
noise,14,lag_12w_count,historical_temporal,0.04991951982279415,2778
noise,15,poi_semantic_entropy,osm_poi_context,0.044072100820962946,2778
noise,16,ratio_to_12w_mean,historical_temporal,0.04401786842377785,2778
noise,17,pluto_lot_count,pluto_built_environment,0.043804414093403535,2778
noise,18,lag_2w_count,historical_temporal,0.03813983239972639,2778
noise,19,complaint_category=infrastructure,semantic_category,0.03781272947985693,2778
noise,20,complaint_category=noise,semantic_category,0.03527865589754597,2778
noise,21,poi_named_count,osm_poi_context,0.03402088117931779,2778
noise,22,diff_4w_count,historical_temporal,0.0315180463245552,2778
noise,23,complaint_category=public_safety,semantic_category,0.031131683537043448,2778
noise,24,pluto_total_buildings,pluto_built_environment,0.0302138653163377,2778
noise,25,lag_8w_count,historical_temporal,0.029398948201867284,2778
noise,26,pluto_total_units,pluto_built_environment,0.028788053160224876,2778
noise,27,month,calendar,0.027847173146483304,2778
noise,28,pluto_total_residential_area,pluto_built_environment,0.024869746596366402,2778
noise,29,poi_osm_tag_public_transport_count,osm_poi_context,0.020919564795994782,2778
noise,30,complaint_category=parking_traffic,semantic_category,0.020343929761437264,2778
other,1,rolling_8w_std,historical_temporal,0.8432018465606176,2778
other,2,ratio_to_8w_mean,historical_temporal,0.4092470199925832,2778
other,3,week_of_year,calendar,0.1342861407052998,2778
other,4,lag_52w_count,historical_temporal,0.12893573202179864,2778
other,5,rolling_4w_mean,historical_temporal,0.10983101441472237,2778
other,6,lag_1w_count,historical_temporal,0.10285380733493127,2778
other,7,complaint_category=environment,semantic_category,0.08363552711769967,2778
other,8,rolling_12w_std,historical_temporal,0.07979685121734036,2778
other,9,complaint_category=other,semantic_category,0.0767460894352872,2778
other,10,history_weeks_available,historical_temporal,0.0600158142324098,2778
other,11,complaint_category=housing,semantic_category,0.05758565014236037,2778
other,12,complaint_count,current_demand,0.05604382748498589,2778
other,13,rolling_12w_mean,historical_temporal,0.055320945798001404,2778
other,14,lag_12w_count,historical_temporal,0.0486748556238541,2778
other,15,ratio_to_12w_mean,historical_temporal,0.0452481127968618,2778
other,16,poi_semantic_entropy,osm_poi_context,0.04329728594797036,2778
other,17,pluto_lot_count,pluto_built_environment,0.04124372269262293,2778
other,18,lag_2w_count,historical_temporal,0.03881195952066736,2778
other,19,complaint_category=noise,semantic_category,0.03684134070825211,2778
other,20,complaint_category=infrastructure,semantic_category,0.03388583724149439,2778
other,21,poi_named_count,osm_poi_context,0.03382750744755984,2778
other,22,diff_4w_count,historical_temporal,0.032598330343674285,2778
other,23,lag_8w_count,historical_temporal,0.03103702337362465,2778
other,24,complaint_category=public_safety,semantic_category,0.030219693112102628,2778
other,25,pluto_total_buildings,pluto_built_environment,0.029856827423118362,2778
other,26,pluto_total_units,pluto_built_environment,0.02922015086393081,2778
other,27,month,calendar,0.027457822484796623,2778
other,28,pluto_total_residential_area,pluto_built_environment,0.025698460007962214,2778
other,29,complaint_category=parking_traffic,semantic_category,0.02155389732646582,2778
other,30,poi_osm_tag_public_transport_count,osm_poi_context,0.021272264966041694,2778
parking_traffic,1,rolling_8w_std,historical_temporal,0.8084718339119321,2778
parking_traffic,2,ratio_to_8w_mean,historical_temporal,0.4003354513549851,2778
parking_traffic,3,week_of_year,calendar,0.1336193625642026,2778
