complaint_category,rows,positive_rows,positive_share,rolling_8w_mean_zero_share,rolling_8w_mean_lt_1_share,positive_rows_rolling_8w_mean_lt_1,positive_share_from_rolling_8w_mean_lt_1,mean_rolling_8w_mean,mean_target_next_week_count
environment,27510,2896,0.10527081061432206,0.1955652490003635,0.29029443838604146,481,0.1660911602209945,4.319138495092694,4.233696837513631
housing,27510,3720,0.13522355507088332,0.09843693202471829,0.18084332969829153,417,0.11209677419354838,65.46790258087968,65.89043984005816
infrastructure,27510,3596,0.1307161032351872,0.05968738640494366,0.1810977826245002,578,0.160734149054505,16.143611414031263,16.308760450745183
noise,27510,3982,0.14474736459469284,0.09818247909850963,0.18138858596873864,427,0.1072325464590658,56.78377408215194,57.41068702290077
other,27510,3620,0.13158851326790258,0.14125772446383134,0.4577971646673937,1738,0.48011049723756904,5.801794801890222,5.776881134133043
parking_traffic,27510,3586,0.13035259905488913,0.05070883315158124,0.14187568157033806,472,0.1316229782487451,68.27057888040713,67.9209741912032
public_safety,27510,3536,0.12853507815339876,0.1014540167211923,0.20305343511450383,509,0.14394796380090497,14.130425299890948,14.049545619774628
sanitation,27510,3172,0.1153035259905489,0.11853871319520175,0.23238822246455834,531,0.16740226986128626,15.022719011268629,14.90396219556525
water_sewer,27510,3462,0.12584514721919302,0.13798618684114866,0.24565612504543802,517,0.14933564413633738,8.223977644492912,8.231406761177753
