risk_set,rows,true_positives,precision,recall,lift_over_base_rate,base_rate
top_1pct,2476,1462,0.5904684975767367,0.04630978777320241,4.630791742636181,0.12750918857789087
top_5pct,12380,5521,0.44596122778675285,0.17488121634463097,3.4974830658131815,0.12750918857789087
top_10pct,24759,9431,0.3809119915990145,0.29873297434273044,2.9873297434273045,0.12750918857789087
category_threshold_alerts,58165,17059,0.2932863405828247,0.5403547671840355,2.3001192608457894,0.12750918857789087
