feature_config,seeds,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,precision_at_5pct_mean,precision_at_5pct_std,precision_at_5pct_min,precision_at_5pct_max,f1_mean,f1_std,f1_min,f1_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,alert_rate_mean,alert_rate_std,alert_rate_min,alert_rate_max
03_history_calendar,5,0.2881606522198929,0.002911007903250203,0.2841033373057022,0.29090763851098045,0.38515739683575273,0.004255773024250652,0.3803620942749959,0.38900668732670035,0.3457131218711095,0.0032409537734423128,0.3413725060293795,0.35003720524465654,0.2542545486416917,0.010121436439943414,0.24291687468796805,0.2684270591476132,0.5425600943813598,0.029492626415626062,0.5029494174900457,0.5740303790001474,0.23672277679911263,0.021996803684096268,0.2072404906374372,0.26136882625432245
04_history_calendar_weather,5,0.29789281606850626,0.0026005771036489767,0.295001961768975,0.3010120879522726,0.3903441526667754,0.004213050866994067,0.3850921546240418,0.3960202250856304,0.35269869986391417,0.001517335260086986,0.35088213874597696,0.35473659343255376,0.25946091654035225,0.002665269317578885,0.25683115479447427,0.2632925994016077,0.5507004866538858,0.007998782712671374,0.5385636336823477,0.5606842648576906,0.23479969987603572,0.005495466340030178,0.2262429046780192,0.24146114699549814
05_history_calendar_weather_borough,5,0.2977793627895501,0.0009636030752576009,0.2961654385965537,0.2987081979464966,0.3901810471374979,0.002252392281318429,0.3863969988582613,0.3917794813244169,0.35254225474544193,0.0003439328778747961,0.3521608040201005,0.3528877631484623,0.26085385172164754,0.005002248710660595,0.2558626187470936,0.26709352847015777,0.5446689278867424,0.022014035552345136,0.5167379442560094,0.5679840731455538,0.23115743459254912,0.013739069305205246,0.21398512429046782,0.24553076270633523
06_history_calendar_weather_nta_fe,5,0.30021053748057436,0.0018542819498385342,0.2982916210720948,0.3031780901976447,0.39370412656989073,0.003134003881774705,0.39047463709019736,0.3983037024955146,0.35278630736889777,0.0010022841041446167,0.35102418588791195,0.3535341857615205,0.2613222687023014,0.003959190103768883,0.25694724124043494,0.26574729780096906,0.5434744138032739,0.019001409012336313,0.5257336676006489,0.5645185075947501,0.23016408951523454,0.011488996435727069,0.21881320545442684,0.2430025445292621
07_final_no_shortcut_borough,5,0.31851119536621236,0.002288948234260883,0.31579836507806325,0.32127125469946244,0.4194421790898712,0.0034283214791221667,0.41461425542325886,0.42391127059207306,0.3637666896086061,0.001509905941826229,0.36125023186792804,0.3650646290080697,0.27211425019933555,0.0057899310194024604,0.26347831969153757,0.27774558658786264,0.5494469842206164,0.019515640515501993,0.5301577938357175,0.5743990561864032,0.22354668232530828,0.012721298221937063,0.21112252887062047,0.24112676975272396
08_final_no_shortcut_nta_fe,5,0.3188042724501445,0.0011353411324579853,0.3173411036417574,0.3201098568284305,0.42146468765291145,0.0007202545152770856,0.42064916000652425,0.4226064263578535,0.3641790976354239,0.0005383899152176545,0.36336822074215036,0.3646567282256669,0.27128247144760625,0.002728866234514054,0.26820703701102605,0.2742961282404136,0.5540628225925379,0.01001518888229123,0.5437988497271788,0.5659194809025218,0.22594930514777847,0.006333310446086164,0.219278071377308,0.2328488941084361
