nta2020,ntaname,boroname,nta_area_km2,poi_total_count,poi_density_per_km2,poi_unique_semantic_category_count,poi_semantic_entropy_norm,poi_mixed_use_index,poi_dominant_semantic_category,poi_dominant_semantic_category_share,poi_commercial_activity_count,poi_daily_activity_count,poi_social_infrastructure_count,poi_mobility_access_count,poi_recreation_environment_count,poi_safety_public_service_count
BK0571,Highland Park-Cypress Hills Cemeteries (South),Brooklyn,0.7521732683711322,23,30.57806088988993,4,0.39697471711716953,0.5935727788279774,transport,0.5652173913043478,0,14,1,13,3,0
QN1191,Alley Pond Park,Queens,2.426531141666199,19,7.830107627200483,3,0.2988147977829071,0.4986149584487535,transport,0.631578947368421,0,12,0,12,6,0
BX0391,Crotona Park,Bronx,0.5886440713209004,18,30.57875017684034,3,0.3056583503001607,0.5123456790123456,recreation_green,0.6111111111111112,0,7,1,6,11,0
SI9593,Great Kills Park,Staten Island,2.170481485979574,17,7.832363514645516,2,0.13375326535232795,0.20761245674740492,transport,0.8823529411764706,0,15,0,15,2,0
QN0574,Highland Park-Cypress Hills Cemeteries (North),Queens,2.899419981738772,17,5.8632416507680825,3,0.2984693406611171,0.4913494809688581,transport,0.6470588235294118,0,11,0,11,1,0
SI0291,Freshkills Park (North),Staten Island,6.32959673812217,16,2.5278071671824693,3,0.28709295403552415,0.4609375,transport,0.6875,0,12,1,11,4,0
BK0891,Lincoln Terrace Park,Brooklyn,0.11277467982649282,15,133.00857979005522,3,0.35823404735705744,0.5866666666666667,other,0.5333333333333333,0,5,0,5,2,0
MN1291,Highbridge Park,Manhattan,0.719897505022451,14,19.447212835615247,2,0.2521770476863832,0.48979591836734704,recreation_green,0.5714285714285714,0,6,0,6,8,0
BK1893,Canarsie Park & Pier,Brooklyn,1.0725990613496754,14,13.052407469370229,3,0.38204654865300713,0.6224489795918368,recreation_green,0.5,0,4,0,4,7,0
BK0771,Green-Wood Cemetery,Brooklyn,1.959190808030129,11,5.614562887348356,2,0.11249278068229587,0.16528925619834722,transport,0.9090909090909091,0,10,0,10,1,0
QN0761,Fort Totten,Queens,0.646011685986451,11,17.02755575265353,2,0.1750851268801652,0.2975206611570247,transport,0.8181818181818182,0,9,0,9,2,0
MN1292,Inwood Hill Park,Manhattan,0.9291982049618253,10,10.76196654987171,3,0.29608703421265503,0.4600000000000001,recreation_green,0.7,0,3,1,2,7,0
QN0791,Kissena Park,Queens,1.0228852614623196,10,9.776267560746717,2,0.2559580248098155,0.5,transport,0.5,0,5,0,5,5,0
QN0572,Middle Village Cemetery,Queens,0.511741044081665,10,19.54113338308696,3,0.34834966942085666,0.58,other,0.5,1,5,0,4,0,0
QN0871,Mount Hebron & Cedar Grove Cemeteries,Queens,0.8550648941983724,9,10.525516906453685,2,0.19560427603670621,0.345679012345679,transport,0.7777777777777778,0,7,0,7,0,0
QN0571,Mount Olivet & All Faiths Cemeteries,Queens,0.7100010786462495,9,12.676037080338231,2,0.25367387071248587,0.49382716049382713,other,0.5555555555555556,0,4,0,4,0,0
QN8491,Jamaica Bay (East),Queens,6.492212683574407,9,1.386276211001283,2,0.12881300933825116,0.19753086419753085,transport,0.8888888888888888,0,8,0,8,1,0
BX1091,Ferry Point Park-St. Raymond Cemetery,Bronx,2.0189810862880773,9,4.457694062179956,3,0.31339358383422566,0.49382716049382713,transport,0.6666666666666666,0,7,1,6,2,0
