feature,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
nta_area_km2,262.0,2.985077400673829,2.7005472550855383,0.059020230179354316,0.10830713314065689,0.4950553026683954,1.338773449411299,2.2898967509792474,3.6973127015038934,6.548380233608461,16.963721253061646,19.43941228345685
poi_total_count,262.0,294.20992366412213,318.2374318695179,0.0,0.0,6.0,102.25,205.0,381.25,877.7999999999997,1301.0899999999997,2555.0
poi_density_per_km2,262.0,133.5240724627511,184.98569544584754,0.0,0.0,5.615864153086673,37.0156937355862,75.97602410493367,151.04843334961606,456.14780714570907,921.8091818497514,1431.2795212657736
poi_log1p_total_count,262.0,4.969112649993019,1.540516736889847,0.0,0.0,1.9459101490553132,4.6371444659575705,5.327876168789581,5.946069055065593,6.778539330905726,7.1716587521506945,7.846198815497425
poi_log1p_density_per_km2,262.0,4.209058982156166,1.3065067955114278,0.0,0.0,1.889470057765893,3.6379965498743587,4.34349398985304,5.024198945117996,6.125002133057415,6.827136893290571,7.267022524886896
poi_named_count,262.0,206.3206106870229,220.47024863102592,0.0,0.0,2.0,51.75,132.5,282.0,668.9499999999998,928.0499999999987,1492.0
poi_named_share,262.0,0.6586831480065845,0.21448508247573964,0.0,0.0,0.22311111111111112,0.5693411097099621,0.6941675503711559,0.8175123326286118,0.9246853016697814,1.0,1.0
poi_with_any_detected_tag_count,262.0,294.20992366412213,318.2374318695179,0.0,0.0,6.0,102.25,205.0,381.25,877.7999999999997,1301.0899999999997,2555.0
poi_with_any_detected_tag_share,262.0,0.9847328244274809,0.12284824294967943,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
poi_with_valid_coordinate_count,262.0,294.20992366412213,318.2374318695179,0.0,0.0,6.0,102.25,205.0,381.25,877.7999999999997,1301.0899999999997,2555.0
poi_with_valid_coordinate_share,262.0,0.9847328244274809,0.12284824294967943,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
poi_unique_raw_type_count,262.0,22.916030534351144,11.941131573826324,0.0,0.0,3.0,15.0,25.0,32.0,40.94999999999999,45.0,47.0
poi_unique_semantic_category_count,262.0,8.041984732824428,3.161391957805475,0.0,0.0,2.0,7.0,9.0,10.0,12.0,12.0,12.0
poi_semantic_entropy,262.0,1.4310056484840834,0.4743907943994248,-0.0,0.0,0.364605845193097,1.2973503388109608,1.630762095451374,1.762463070706022,1.8581450100226378,1.90580059802948,1.954521053185672
poi_semantic_entropy_norm,262.0,0.5284265586737078,0.1751779912375117,-0.0,0.0,0.13463777187169496,0.4790717462633902,0.6021904966117813,0.650823633176622,0.6861560429220809,0.7037537920285952,0.7217447639597514
poi_semantic_hhi,262.0,0.31790046272570244,0.1748542675446644,0.0,0.0,0.18681276318024,0.21344942545965118,0.2575976162693876,0.3525237255395985,0.7022641719008265,1.0,1.0
poi_mixed_use_index,262.0,0.6668323617017785,0.18953002450419104,0.0,0.0,0.20947673186921836,0.6370737045688435,0.7363662424871323,0.7833211543231994,0.8110032792423383,0.8235859877560555,0.8265008221384549
poi_dominant_semantic_category_share,262.0,0.44344453328525224,0.17247972282697188,0.0,0.0,0.2639011313858805,0.33386581469648563,0.4084635101803937,0.5,0.8238052910052909,1.0,1.0
poi_food_drink_count,262.0,66.75954198473282,104.51643532683875,0.0,0.0,0.0,5.0,27.0,77.25,286.74999999999994,422.6599999999987,776.0
poi_food_drink_share,262.0,0.15211038391316986,0.13615039733139786,0.0,0.0,0.0,0.03982661985710766,0.1401219512195122,0.22766572960251047,0.40910437886686,0.5097719211069488,1.0
poi_food_drink_density_per_km2,262.0,32.391774488078475,62.50046501548706,0.0,0.0,0.0,2.1090966205883257,8.331969738077966,29.827223106913493,156.2694603742551,326.7066232688654,350.1229581461181
poi_retail_count,262.0,28.232824427480917,38.83301503051058,0.0,0.0,0.0,1.0,12.5,40.0,97.84999999999997,170.06999999999982,251.0
poi_retail_share,262.0,0.06795832217733558,0.06043874013250548,0.0,0.0,0.0,0.010273599302376282,0.059767392465678484,0.10978175063415219,0.1739011207376202,0.23595198754300784,0.27135135135135136
poi_retail_density_per_km2,262.0,12.34885375211738,20.657272345638212,0.0,0.0,0.0,0.5557566991046237,4.2628861225719445,15.637402027971964,48.082728233531135,71.67483656174414,209.2943894157045
poi_education_count,262.0,9.412213740458014,9.059928386045348,0.0,0.0,0.0,2.0,7.0,14.75,25.0,42.559999999999945,56.0
poi_education_share,262.0,0.03319100166936561,0.029413468477374822,0.0,0.0,0.0,0.013429717912902612,0.028218782660628078,0.04529539088362618,0.08914668808699948,0.13354296604296584,0.14953271028037382
