tag_family,count,share_of_all_poi_rows
amenity,30969,0.40176173734805337
public_transport,21422,0.27790822879234073
leisure,13435,0.17429264558981877
highway,11751,0.15244606463163085
shop,8373,0.1086231724245294
railway,5065,0.06570839225250703
tourism,1464,0.018992514562225133
