year,complaint_type,rows,period
2018,Special Natural Area District (SNAD),101,2015-2019
2018,FATF,99,2015-2019
2018,Disorderly Youth,77,2015-2019
2018,Plant,75,2015-2019
2018,Illegal Animal Sold,66,2015-2019
2018,Unsanitary Animal Facility,65,2015-2019
2018,General,64,2015-2019
2018,Animal Facility - No Permit,57,2015-2019
2018,Cooling Tower,50,2015-2019
2018,Public Toilet,43,2015-2019
2018,Unlicensed Dog,36,2015-2019
2018,Municipal Parking Facility,34,2015-2019
2018,Window Guard,29,2015-2019
2018,Calorie Labeling,18,2015-2019
2018,Lifeguard,17,2015-2019
2018,DOF Property - Reduction Issue,17,2015-2019
2018,Fire Alarm - Reinspection,16,2015-2019
2018,Special Enforcement,15,2015-2019
2018,Overflowing Recycling Baskets,13,2015-2019
2018,Bottled Water,12,2015-2019
2018,Transportation Provider Complaint,11,2015-2019
2018,Public Assembly,11,2015-2019
2018,Special Operations,10,2015-2019
2018,Fire Alarm - New System,9,2015-2019
2018,Rangehood,9,2015-2019
2018,Interior Demo,8,2015-2019
2018,Tanning,8,2015-2019
2018,Advocate - Lien,8,2015-2019
2018,Safety,8,2015-2019
2018,Legal Services Provider Complaint,7,2015-2019
2018,Radioactive Material,7,2015-2019
2018,Dispatched Taxi Complaint,7,2015-2019
2018,X-Ray Machine/Equipment,6,2015-2019
2018,Taxpayer Advocate Inquiry,5,2015-2019
2018,Request Xmas Tree Collection,5,2015-2019
2018,Lost Property,5,2015-2019
2018,Advocate-Commercial Exemptions,4,2015-2019
2018,Fire Alarm - Modification,4,2015-2019
2018,Dept of Investigations,4,2015-2019
2018,Sprinkler - Mechanical,3,2015-2019
2018,Stalled Sites,2,2015-2019
2018,Homebound Evacuation 4,2,2015-2019
2018,Trans Fat,2,2015-2019
2018,Advocate-Business Tax,2,2015-2019
2018,Hazmat Storage/Use,2,2015-2019
2018,ZTESTINT,2,2015-2019
2018,Gas Station Discharge Lines,2,2015-2019
2018,Building Condition,2,2015-2019
2018,Injured Wildlife,1,2015-2019
2018,Illegal Animal - Sold/Kept,1,2015-2019
2018,Advocate - Levy,1,2015-2019
2018,Open Flame Permit,1,2015-2019
2018,Advocate-Personal Exemptions,1,2015-2019
2018,Public Assembly - Temporary,1,2015-2019
2018,ZSYSTEST,1,2015-2019
2018,Squeegee,1,2015-2019
2019,Noise - Residential,230757,2015-2019
2019,Request Large Bulky Item Collection,214774,2015-2019
2019,HEAT/HOT WATER,212479,2015-2019
2019,Illegal Parking,194816,2015-2019
2019,Blocked Driveway,137419,2015-2019
2019,Noise - Street/Sidewalk,95686,2015-2019
2019,Street Condition,83178,2015-2019
2019,Water System,62793,2015-2019
2019,UNSANITARY CONDITION,57810,2015-2019
2019,Noise,55637,2015-2019
2019,General Construction/Plumbing,44981,2015-2019
2019,Sidewalk Condition,42303,2015-2019
2019,Missed Collection (All Materials),41826,2015-2019
2019,Noise - Vehicle,41793,2015-2019
2019,Electronics Waste Appointment,41253,2015-2019
2019,Street Light Condition,40639,2015-2019
2019,Noise - Commercial,40203,2015-2019
2019,Sanitation Condition,39011,2015-2019
2019,PLUMBING,35955,2015-2019
2019,Derelict Vehicles,35247,2015-2019
2019,PAINT/PLASTER,34280,2015-2019
2019,Dirty Conditions,32109,2015-2019
2019,Sewer,31277,2015-2019
2019,Rodent,31108,2015-2019
2019,Damaged Tree,25318,2015-2019
2019,WATER LEAK,24668,2015-2019
2019,DOOR/WINDOW,24579,2015-2019
2019,Traffic Signal Condition,23825,2015-2019
2019,Abandoned Vehicle,23460,2015-2019
2019,Building/Use,23262,2015-2019
2019,Graffiti,21734,2015-2019
2019,Homeless Person Assistance,20955,2015-2019
2019,GENERAL,18171,2015-2019
2019,Derelict Vehicle,17722,2015-2019
2019,ELECTRIC,17155,2015-2019
2019,New Tree Request,16953,2015-2019
2019,Elevator,16312,2015-2019
2019,For Hire Vehicle Complaint,16187,2015-2019
2019,FLOORING/STAIRS,14101,2015-2019
2019,Overgrown Tree/Branches,13991,2015-2019
2019,Consumer Complaint,13841,2015-2019
2019,Broken Parking Meter,13152,2015-2019
2019,APPLIANCE,10207,2015-2019
2019,Root/Sewer/Sidewalk Condition,9944,2015-2019
2019,Food Establishment,9902,2015-2019
2019,Non-Emergency Police Matter,9844,2015-2019
2019,Taxi Complaint,9671,2015-2019
2019,Dead/Dying Tree,9665,2015-2019
2019,Lead,8766,2015-2019
2019,Maintenance or Facility,8636,2015-2019
2019,Air Quality,7938,2015-2019
2019,Other Enforcement,7231,2015-2019
2019,Curb Condition,7211,2015-2019
2019,SAFETY,7122,2015-2019
2019,Homeless Encampment,6807,2015-2019
2019,Lost Property,6708,2015-2019
2019,Construction Safety Enforcement,6000,2015-2019
2019,Street Sign - Damaged,5976,2015-2019
2019,Unsanitary Condition,5353,2015-2019
2019,Special Projects Inspection Team (SPIT),5258,2015-2019
2019,Plumbing,5010,2015-2019
2019,Street Sign - Missing,4984,2015-2019
2019,Vending,4669,2015-2019
2019,Traffic,4257,2015-2019
2019,Water Conservation,4202,2015-2019
2019,Animal-Abuse,4128,2015-2019
2019,Emergency Response Team (ERT),4022,2015-2019
2019,Indoor Air Quality,3781,2015-2019
2019,Animal Abuse,3711,2015-2019
2019,Borough Office,3598,2015-2019
2019,Noise - Park,3515,2015-2019
2019,Illegal Tree Damage,3422,2015-2019
2019,Street Sign - Dangling,3285,2015-2019
2019,Noise - Helicopter,2967,2015-2019
2019,Hazardous Materials,2874,2015-2019
2019,Food Poisoning,2716,2015-2019
2019,Drug Activity,2541,2015-2019
2019,Smoking,2463,2015-2019
2019,Litter Basket / Request,2430,2015-2019
2019,Boilers,2400,2015-2019
2019,Derelict Bicycle,2385,2015-2019
2019,DOF Property - Payment Issue,2381,2015-2019
2019,Electrical,2377,2015-2019
2019,Water Quality,2053,2015-2019
2019,Standing Water,2028,2015-2019
2019,Asbestos,1943,2015-2019
2019,Violation of Park Rules,1919,2015-2019
2019,Panhandling,1919,2015-2019
2019,Vacant Lot,1908,2015-2019
2019,Unsanitary Animal Pvt Property,1836,2015-2019
2019,Mobile Food Vendor,1779,2015-2019
2019,Snow,1738,2015-2019
2019,Drinking,1630,2015-2019
2019,School Maintenance,1455,2015-2019
2019,Highway Condition,1396,2015-2019
2019,Taxi Report,1380,2015-2019
2019,Animal in a Park,1313,2015-2019
2019,Building Marshals office,1293,2015-2019
2019,Indoor Sewage,1292,2015-2019
2019,BEST/Site Safety,1204,2015-2019
2019,Industrial Waste,1116,2015-2019
2019,General,1093,2015-2019
2019,Non-Residential Heat,1076,2015-2019
2019,ELEVATOR,1047,2015-2019
2019,Overflowing Litter Baskets,932,2015-2019
2019,Sweeping/Missed,916,2015-2019
2019,Illegal Fireworks,883,2015-2019
2019,Bus Stop Shelter Complaint,854,2015-2019
2019,Investigations and Discipline (IAD),849,2015-2019
2019,Sustainability Enforcement,743,2015-2019
2019,Noise - House of Worship,734,2015-2019
2019,DRIE,657,2015-2019
2019,Bike/Roller/Skate Chronic,642,2015-2019
2019,Recycling Enforcement,640,2015-2019
2019,Unleashed Dog,615,2015-2019
2019,Unsanitary Pigeon Condition,609,2015-2019
2019,For Hire Vehicle Report,585,2015-2019
2019,OUTSIDE BUILDING,581,2015-2019
2019,Urinating in Public,580,2015-2019
2019,Day Care,512,2015-2019
2019,Mosquitoes,426,2015-2019
2019,Safety,416,2015-2019
2019,Mold,412,2015-2019
2019,Adopt-A-Basket,387,2015-2019
2019,Executive Inspections,289,2015-2019
2019,DEP Street Condition,288,2015-2019
2019,Facades,279,2015-2019
2019,Sweeping/Inadequate,278,2015-2019
2019,Public Payphone Complaint,273,2015-2019
2019,Special Operations,249,2015-2019
2019,DPR Internal,242,2015-2019
2019,Illegal Animal Kept as Pet,225,2015-2019
2019,Poison Ivy,220,2015-2019
2019,Scaffold Safety,208,2015-2019
2019,Beach/Pool/Sauna Complaint,206,2015-2019
2019,Cranes and Derricks,184,2015-2019
2019,Quality of Life,183,2015-2019
2019,Bus Stop Shelter Placement,174,2015-2019
2019,Collection Truck Noise,172,2015-2019
2019,Drinking Water,170,2015-2019
2019,Found Property,159,2015-2019
2019,Green Taxi Complaint,156,2015-2019
2019,Pet Shop,144,2015-2019
2019,Bike Rack Condition,144,2015-2019
2019,Harboring Bees/Wasps,134,2015-2019
2019,Bridge Condition,111,2015-2019
2019,Special Natural Area District (SNAD),106,2015-2019
2019,Posting Advertisement,104,2015-2019
2019,LinkNYC,102,2015-2019
2019,Tattooing,101,2015-2019
2019,Construction Lead Dust,100,2015-2019
2019,Disorderly Youth,93,2015-2019
2019,Taxi Compliment,93,2015-2019
2019,Senior Center Complaint,89,2015-2019
2019,Miscellaneous Categories,83,2015-2019
2019,Plant,83,2015-2019
2019,FATF,64,2015-2019
2019,Animal Facility - No Permit,63,2015-2019
2019,Unsanitary Animal Facility,62,2015-2019
2019,Foam Ban Enforcement,56,2015-2019
2019,Snow Removal,54,2015-2019
2019,Municipal Parking Facility,50,2015-2019
2019,Single Occupancy Bathroom,39,2015-2019
2019,Unlicensed Dog,38,2015-2019
2019,Illegal Animal Sold,36,2015-2019
2019,Public Toilet,34,2015-2019
2019,Window Guard,34,2015-2019
2019,Cooling Tower,21,2015-2019
2019,Lifeguard,20,2015-2019
2019,Ferry Inquiry,19,2015-2019
2019,Dispatched Taxi Complaint,16,2015-2019
2019,Electronics Waste,15,2015-2019
2019,Green Taxi Report,14,2015-2019
2019,Ferry Complaint,14,2015-2019
2019,Overflowing Recycling Baskets,11,2015-2019
2019,Radioactive Material,11,2015-2019
2019,Dept of Investigations,10,2015-2019
2019,DOF Property - Reduction Issue,9,2015-2019
2019,X-Ray Machine/Equipment,9,2015-2019
2019,Bottled Water,8,2015-2019
2019,Squeegee,8,2015-2019
2019,Missed Collection,7,2015-2019
2019,FHV Licensee Complaint,7,2015-2019
2019,Highway Sign - Damaged,7,2015-2019
2019,Taxpayer Advocate Inquiry,6,2015-2019
2019,Calorie Labeling,6,2015-2019
2019,Outside Building,6,2015-2019
2019,Forensic Engineering,5,2015-2019
2019,DEP Sidewalk Condition,5,2015-2019
2019,Peeling Paint,5,2015-2019
2019,Advocate - Lien,4,2015-2019
2019,Tanning,4,2015-2019
2019,Appliance,4,2015-2019
2019,Highway Sign - Missing,4,2015-2019
2019,Request Xmas Tree Collection,3,2015-2019
2019,Transportation Provider Complaint,3,2015-2019
2019,Advocate-Business Tax,3,2015-2019
2019,SRDE,3,2015-2019
2019,Internal Code,3,2015-2019
2019,Advocate-Commercial Exemptions,2,2015-2019
2019,Building Condition,2,2015-2019
2019,Dirty Condition,2,2015-2019
2019,Construction,2,2015-2019
2019,Employee Behavior,2,2015-2019
2019,Advocate-Foreclosure,1,2015-2019
2019,Stalled Sites,1,2015-2019
2019,MSOTHER,1,2015-2019
2019,Water Leak,1,2015-2019
2019,Electric,1,2015-2019
2019,Request Changes - A.S.P.,1,2015-2019
2019,Fire Alarm - Replacement,1,2015-2019
2019,Dispatched Taxi Compliment,1,2015-2019
2019,Taxi Licensee Complaint,1,2015-2019
2019,SRGOVG,1,2015-2019
2019,Ferry Permit,1,2015-2019
2019,Highway Sign - Dangling,1,2015-2019
2020,Noise - Residential,406165,2020-2025
2020,Request Large Bulky Item Collection,282081,2020-2025
2020,Noise - Street/Sidewalk,205425,2020-2025
2020,Illegal Parking,192123,2020-2025
2020,HEAT/HOT WATER,164990,2020-2025
2020,Blocked Driveway,116593,2020-2025
2020,Non-Emergency Police Matter,82924,2020-2025
2020,Noise - Vehicle,80490,2020-2025
2020,Damaged Tree,69370,2020-2025
2020,UNSANITARY CONDITION,62096,2020-2025
2020,NonCompliance with Phased Reopening,51960,2020-2025
2020,Water System,50345,2020-2025
2020,Street Condition,50095,2020-2025
2020,Illegal Fireworks,48855,2020-2025
2020,Noise,44709,2020-2025
2020,Noise - Commercial,43665,2020-2025
2020,Missed Collection (All Materials),41437,2020-2025
2020,Street Light Condition,37997,2020-2025
2020,PLUMBING,37152,2020-2025
2020,General Construction/Plumbing,35255,2020-2025
2020,Consumer Complaint,34606,2020-2025
2020,Abandoned Vehicle,33212,2020-2025
2020,PAINT/PLASTER,33063,2020-2025
2020,Sanitation Condition,33058,2020-2025
2020,Derelict Vehicles,29375,2020-2025
2020,Dirty Conditions,29167,2020-2025
2020,Sidewalk Condition,27774,2020-2025
2020,Rodent,27280,2020-2025
2020,Homeless Person Assistance,26658,2020-2025
2020,Sewer,24594,2020-2025
2020,DOOR/WINDOW,24446,2020-2025
2020,WATER LEAK,21811,2020-2025
2020,Traffic Signal Condition,19131,2020-2025
2020,GENERAL,18100,2020-2025
2020,ELECTRIC,17518,2020-2025
2020,Overgrown Tree/Branches,17195,2020-2025
2020,Building/Use,16318,2020-2025
2020,Maintenance or Facility,15191,2020-2025
2020,FLOORING/STAIRS,14406,2020-2025
2020,Homeless Street Condition,14089,2020-2025
2020,APPLIANCE,13779,2020-2025
2020,New Tree Request,13660,2020-2025
2020,Elevator,13420,2020-2025
2020,Electronics Waste Appointment,10927,2020-2025
2020,Noise - Helicopter,10341,2020-2025
2020,Dead/Dying Tree,8922,2020-2025
2020,Root/Sewer/Sidewalk Condition,8428,2020-2025
2020,Food Establishment,8107,2020-2025
2020,Noise - Park,7385,2020-2025
2020,Violation of Park Rules,7078,2020-2025
2020,For Hire Vehicle Complaint,7068,2020-2025
2020,Broken Parking Meter,7053,2020-2025
2020,Animal-Abuse,6844,2020-2025
2020,Lead,6734,2020-2025
2020,Graffiti,6730,2020-2025
2020,COVID-19 Non-essential Construction,6635,2020-2025
2020,Air Quality,6372,2020-2025
2020,Other Enforcement,6322,2020-2025
2020,SAFETY,5980,2020-2025
2020,Curb Condition,5111,2020-2025
2020,Street Sign - Damaged,4662,2020-2025
2020,Street Sign - Missing,4483,2020-2025
2020,Drug Activity,4345,2020-2025
2020,Vending,4173,2020-2025
2020,Outdoor Dining,4085,2020-2025
2020,Indoor Air Quality,3954,2020-2025
2020,Street Sign - Dangling,3678,2020-2025
2020,Traffic,3587,2020-2025
2020,Emergency Response Team (ERT),3557,2020-2025
2020,Illegal Tree Damage,3427,2020-2025
2020,Lost Property,3391,2020-2025
2020,Taxi Complaint,3372,2020-2025
2020,Water Conservation,3235,2020-2025
2020,Drinking,3186,2020-2025
2020,Snow,2906,2020-2025
2020,Smoking,2816,2020-2025
2020,Special Projects Inspection Team (SPIT),2810,2020-2025
2020,Animal in a Park,2672,2020-2025
2020,Overflowing Litter Baskets,2548,2020-2025
2020,Mass Gathering Complaint,2383,2020-2025
2020,Plumbing,2360,2020-2025
2020,Boilers,2142,2020-2025
2020,Hazardous Materials,2039,2020-2025
2020,Vacant Lot,1965,2020-2025
2020,Water Quality,1849,2020-2025
2020,Unsanitary Animal Pvt Property,1842,2020-2025
2020,Litter Basket / Request,1838,2020-2025
2020,Food Poisoning,1764,2020-2025
2020,Mobile Food Vendor,1722,2020-2025
2020,Electrical,1694,2020-2025
2020,Derelict Bicycle,1488,2020-2025
2020,Panhandling,1460,2020-2025
2020,Real Time Enforcement,1389,2020-2025
2020,ELEVATOR,1255,2020-2025
2020,Asbestos,1208,2020-2025
2020,Sweeping/Missed,1202,2020-2025
2020,Indoor Sewage,1201,2020-2025
2020,Day Care,1196,2020-2025
2020,Urinating in Public,1088,2020-2025
2020,School Maintenance,1010,2020-2025
2020,Private or Charter School Reopening,839,2020-2025
2020,Unleashed Dog,830,2020-2025
2020,Unsanitary Pigeon Condition,808,2020-2025
2020,Bike/Roller/Skate Chronic,785,2020-2025
2020,Bus Stop Shelter Complaint,767,2020-2025
2020,Construction Lead Dust,720,2020-2025
2020,Snow Removal,709,2020-2025
2020,Industrial Waste,618,2020-2025
2020,Standing Water,615,2020-2025
2020,Noise - House of Worship,614,2020-2025
2020,Non-Residential Heat,557,2020-2025
2020,OUTSIDE BUILDING,518,2020-2025
2020,Illegal Animal Kept as Pet,475,2020-2025
2020,Investigations and Discipline (IAD),414,2020-2025
2020,Taxi Report,412,2020-2025
2020,Recycling Enforcement,396,2020-2025
2020,Mosquitoes,362,2020-2025
2020,Collection Truck Noise,301,2020-2025
2020,Harboring Bees/Wasps,264,2020-2025
2020,For Hire Vehicle Report,254,2020-2025
2020,Sweeping/Inadequate,243,2020-2025
2020,BEST/Site Safety,232,2020-2025
2020,Drinking Water,216,2020-2025
2020,Mold,188,2020-2025
2020,Homeless Encampment,172,2020-2025
2020,Public Payphone Complaint,169,2020-2025
2020,Beach/Pool/Sauna Complaint,145,2020-2025
2020,Scaffold Safety,142,2020-2025
2020,Bike Rack Condition,139,2020-2025
2020,Poison Ivy,130,2020-2025
2020,Green Taxi Complaint,123,2020-2025
2020,Bus Stop Shelter Placement,116,2020-2025
2020,Pet Shop,115,2020-2025
2020,Disorderly Youth,112,2020-2025
2020,Cranes and Derricks,106,2020-2025
2020,AHV Inspection Unit,101,2020-2025
2020,Tattooing,98,2020-2025
2020,Unsanitary Animal Facility,85,2020-2025
2020,Peeling Paint,84,2020-2025
2020,LinkNYC,78,2020-2025
2020,Adopt-A-Basket,76,2020-2025
2020,Illegal Animal Sold,66,2020-2025
2020,X-Ray Machine/Equipment,65,2020-2025
2020,DEP Street Condition,64,2020-2025
2020,Animal Facility - No Permit,59,2020-2025
2020,Plant,58,2020-2025
2020,Taxi Compliment,55,2020-2025
2020,Posting Advertisement,53,2020-2025
2020,Wood Pile Remaining,51,2020-2025
2020,Uprooted Stump,41,2020-2025
2020,Special Natural Area District (SNAD),40,2020-2025
2020,Found Property,36,2020-2025
2020,Highway Condition,31,2020-2025
2020,Public Toilet,28,2020-2025
2020,Cooling Tower,25,2020-2025
2020,Borough Office,21,2020-2025
2020,Bottled Water,21,2020-2025
2020,Lifeguard,21,2020-2025
2020,Window Guard,19,2020-2025
2020,Green Taxi Report,15,2020-2025
2020,Squeegee,14,2020-2025
2020,Construction Safety Enforcement,14,2020-2025
2020,Dept of Investigations,13,2020-2025
2020,Radioactive Material,12,2020-2025
2020,Overflowing Recycling Baskets,12,2020-2025
2020,Building Marshals office,9,2020-2025
2020,Highway Sign - Damaged,7,2020-2025
2020,Foam Ban Enforcement,7,2020-2025
2020,Missed Collection,6,2020-2025
2020,Municipal Parking Facility,5,2020-2025
2020,Miscellaneous Categories,5,2020-2025
2020,Building Condition,5,2020-2025
2020,FHV Licensee Complaint,4,2020-2025
2020,Encampment,4,2020-2025
2020,Employee Behavior,4,2020-2025
2020,DSNY Spillage,4,2020-2025
2020,Internal Code,3,2020-2025
2020,Calorie Labeling,3,2020-2025
2020,Bridge Condition,3,2020-2025
2020,Executive Inspections,2,2020-2025
2020,Ferry Complaint,2,2020-2025
2020,Highway Sign - Dangling,2,2020-2025
2020,Electronics Waste,2,2020-2025
2020,Ferry Inquiry,2,2020-2025
2020,SRGOVG,2,2020-2025
2020,Dispatched Taxi Complaint,2,2020-2025
2020,Facades,1,2020-2025
2020,Tunnel Condition,1,2020-2025
2020,Tanning,1,2020-2025
2020,Building Marshal's Office,1,2020-2025
2020,DEP Sidewalk Condition,1,2020-2025
2020,Trans Fat,1,2020-2025
2021,Noise - Residential,361621,2020-2025
2021,Illegal Parking,315128,2020-2025
2021,Request Large Bulky Item Collection,302995,2020-2025
2021,HEAT/HOT WATER,199547,2020-2025
2021,Noise - Street/Sidewalk,183582,2020-2025
2021,Blocked Driveway,152425,2020-2025
2021,UNSANITARY CONDITION,90369,2020-2025
2021,Noise - Vehicle,84570,2020-2025
2021,Street Condition,64205,2020-2025
2021,Water System,55003,2020-2025
2021,Noise - Commercial,54003,2020-2025
2021,PAINT/PLASTER,52367,2020-2025
2021,PLUMBING,51903,2020-2025
2021,Abandoned Vehicle,48109,2020-2025
2021,Noise,44446,2020-2025
2021,Missed Collection (All Materials),41009,2020-2025
2021,Derelict Vehicles,39159,2020-2025
2021,Rodent,38410,2020-2025
2021,Sewer,36740,2020-2025
2021,WATER LEAK,36549,2020-2025
2021,DOOR/WINDOW,36498,2020-2025
2021,Street Light Condition,36211,2020-2025
2021,Dirty Conditions,33849,2020-2025
2021,General Construction/Plumbing,33735,2020-2025
2021,Homeless Person Assistance,33728,2020-2025
2021,Missed Collection,32903,2020-2025
2021,GENERAL,26099,2020-2025
2021,Encampment,25944,2020-2025
2021,Damaged Tree,25927,2020-2025
2021,Noise - Helicopter,25911,2020-2025
2021,Sanitation Condition,24684,2020-2025
2021,ELECTRIC,23547,2020-2025
2021,Traffic Signal Condition,22923,2020-2025
2021,FLOORING/STAIRS,22576,2020-2025
2021,Sidewalk Condition,22531,2020-2025
2021,Illegal Fireworks,21682,2020-2025
2021,Non-Emergency Police Matter,20012,2020-2025
2021,Consumer Complaint,19980,2020-2025
2021,APPLIANCE,18221,2020-2025
2021,Building/Use,17471,2020-2025
2021,Maintenance or Facility,17303,2020-2025
2021,Overgrown Tree/Branches,17029,2020-2025
2021,New Tree Request,15517,2020-2025
2021,Elevator,14910,2020-2025
2021,NonCompliance with Phased Reopening,14336,2020-2025
2021,Dirty Condition,12313,2020-2025
2021,Noise - Park,9334,2020-2025
2021,SAFETY,9274,2020-2025
2021,Root/Sewer/Sidewalk Condition,9155,2020-2025
2021,Air Quality,9129,2020-2025
2021,Dead/Dying Tree,9019,2020-2025
2021,Food Establishment,8488,2020-2025
2021,For Hire Vehicle Complaint,8224,2020-2025
2021,Broken Parking Meter,7536,2020-2025
2021,Graffiti,7483,2020-2025
2021,Lead,6828,2020-2025
2021,Animal-Abuse,6779,2020-2025
2021,Vaccine Mandate Non-Compliance,6158,2020-2025
2021,Curb Condition,6011,2020-2025
2021,Illegal Dumping,5935,2020-2025
2021,Indoor Air Quality,5919,2020-2025
2021,Snow,5744,2020-2025
2021,Traffic,5609,2020-2025
2021,Drug Activity,5168,2020-2025
2021,Lost Property,5164,2020-2025
2021,Taxi Complaint,5102,2020-2025
2021,Street Sign - Damaged,5055,2020-2025
2021,Other Enforcement,4992,2020-2025
2021,Real Time Enforcement,4741,2020-2025
2021,Street Sign - Missing,4597,2020-2025
2021,Outdoor Dining,4388,2020-2025
2021,Electronics Waste Appointment,4207,2020-2025
2021,Violation of Park Rules,4013,2020-2025
2021,Animal in a Park,3688,2020-2025
2021,Boilers,3538,2020-2025
2021,Illegal Tree Damage,3487,2020-2025
2021,Panhandling,3481,2020-2025
2021,Smoking,3442,2020-2025
2021,Street Sign - Dangling,3345,2020-2025
2021,Water Conservation,3308,2020-2025
2021,Mobile Food Vendor,3290,2020-2025
2021,Drinking,3207,2020-2025
2021,Storm,3003,2020-2025
2021,Special Projects Inspection Team (SPIT),2932,2020-2025
2021,Emergency Response Team (ERT),2842,2020-2025
2021,Plumbing,2827,2020-2025
2021,Dead Animal,2588,2020-2025
2021,Water Quality,2464,2020-2025
2021,Noise - House of Worship,2218,2020-2025
2021,Residential Disposal Complaint,2213,2020-2025
2021,Food Poisoning,2129,2020-2025
2021,Hazardous Materials,2042,2020-2025
2021,Unsanitary Animal Pvt Property,1921,2020-2025
2021,Snow Removal,1920,2020-2025
2021,Litter Basket / Request,1849,2020-2025
2021,Overflowing Litter Baskets,1768,2020-2025
2021,ELEVATOR,1740,2020-2025
2021,Vacant Lot,1692,2020-2025
2021,Electrical,1689,2020-2025
2021,Obstruction,1654,2020-2025
2021,Standing Water,1596,2020-2025
2021,Day Care,1591,2020-2025
2021,Homeless Street Condition,1360,2020-2025
2021,Bike/Roller/Skate Chronic,1326,2020-2025
2021,Asbestos,1319,2020-2025
2021,Mass Gathering Complaint,1262,2020-2025
2021,Derelict Bicycle,1255,2020-2025
2021,Sweeping/Missed,1236,2020-2025
2021,Urinating in Public,1181,2020-2025
2021,Street Sweeping Complaint,1176,2020-2025
2021,Private or Charter School Reopening,1168,2020-2025
2021,Bus Stop Shelter Complaint,1066,2020-2025
2021,Unleashed Dog,1030,2020-2025
2021,School Maintenance,999,2020-2025
2021,OUTSIDE BUILDING,947,2020-2025
2021,Non-Residential Heat,904,2020-2025
2021,Unsanitary Pigeon Condition,852,2020-2025
2021,Litter Basket Request,840,2020-2025
2021,Industrial Waste,722,2020-2025
2021,Face Covering Violation,712,2020-2025
2021,COVID-19 Non-essential Construction,678,2020-2025
2021,Construction Lead Dust,672,2020-2025
2021,Illegal Posting,667,2020-2025
2021,Sanitation Worker or Vehicle Complaint,638,2020-2025
2021,Uprooted Stump,636,2020-2025
2021,Wood Pile Remaining,614,2020-2025
2021,Indoor Sewage,603,2020-2025
2021,Illegal Animal Kept as Pet,576,2020-2025
2021,Litter Basket Complaint,575,2020-2025
2021,Taxi Report,558,2020-2025
2021,Mosquitoes,476,2020-2025
2021,Dumpster Complaint,448,2020-2025
2021,Abandoned Bike,441,2020-2025
2021,Lot Condition,435,2020-2025
2021,Investigations and Discipline (IAD),420,2020-2025
2021,BEST/Site Safety,386,2020-2025
2021,Harboring Bees/Wasps,319,2020-2025
2021,For Hire Vehicle Report,292,2020-2025
2021,Mold,289,2020-2025
2021,AHV Inspection Unit,284,2020-2025
2021,Recycling Enforcement,243,2020-2025
2021,Sweeping/Inadequate,235,2020-2025
2021,Drinking Water,232,2020-2025
2021,Bike Rack Condition,206,2020-2025
2021,Pet Shop,191,2020-2025
2021,Green Taxi Complaint,185,2020-2025
2021,Tattooing,181,2020-2025
2021,E-Scooter,164,2020-2025
2021,Commercial Disposal Complaint,163,2020-2025
2021,Beach/Pool/Sauna Complaint,154,2020-2025
2021,Poison Ivy,147,2020-2025
2021,Scaffold Safety,145,2020-2025
2021,Adopt-A-Basket,140,2020-2025
2021,Disorderly Youth,138,2020-2025
2021,Bus Stop Shelter Placement,120,2020-2025
2021,Collection Truck Noise,117,2020-2025
2021,LinkNYC,99,2020-2025
2021,Vending,97,2020-2025
2021,Seasonal Collection,83,2020-2025
2021,Squeegee,79,2020-2025
2021,Unsanitary Animal Facility,77,2020-2025
2021,Cranes and Derricks,74,2020-2025
2021,Taxi Compliment,71,2020-2025
2021,Found Property,71,2020-2025
2021,Incorrect Data,68,2020-2025
2021,Animal Facility - No Permit,67,2020-2025
2021,Plant,64,2020-2025
2021,DEP Street Condition,57,2020-2025
2021,Posting Advertisement,55,2020-2025
2021,Illegal Animal Sold,52,2020-2025
2021,Public Payphone Complaint,49,2020-2025
2021,Snow or Ice,46,2020-2025
2021,Peeling Paint,36,2020-2025
2021,Special Natural Area District (SNAD),36,2020-2025
2021,Window Guard,35,2020-2025
2021,X-Ray Machine/Equipment,34,2020-2025
2021,Institution Disposal Complaint,33,2020-2025
2021,Public Toilet,29,2020-2025
2021,Dept of Investigations,29,2020-2025
2021,Cooling Tower,22,2020-2025
2021,Lifeguard,19,2020-2025
2021,Borough Office,18,2020-2025
2021,Miscellaneous Categories,16,2020-2025
2021,Radioactive Material,14,2020-2025
2021,Green Taxi Report,12,2020-2025
2021,Private School Vaccine Mandate Non-Compliance,12,2020-2025
2021,Bottled Water,11,2020-2025
2021,Transfer Station Complaint,11,2020-2025
2021,Building Condition,7,2020-2025
2021,FHV Licensee Complaint,7,2020-2025
2021,Internal Code,7,2020-2025
2021,Retailer Complaint,7,2020-2025
2021,Calorie Labeling,6,2020-2025
2021,Overflowing Recycling Baskets,6,2020-2025
2021,Highway Condition,6,2020-2025
2021,Taxi Licensee Complaint,5,2020-2025
2021,Dispatched Taxi Complaint,5,2020-2025
2021,Foam Ban Enforcement,4,2020-2025
2021,Highway Sign - Damaged,4,2020-2025
2021,Municipal Parking Facility,4,2020-2025
2021,Executive Inspections,4,2020-2025
2021,Tanning,3,2020-2025
2021,SRDE,3,2020-2025
2021,DSNY Internal,3,2020-2025
2021,Recycling Basket Complaint,3,2020-2025
2021,DEP Sidewalk Condition,2,2020-2025
2021,DEP Highway Condition,2,2020-2025
2021,Building Marshals office,1,2020-2025
2021,Bridge Condition,1,2020-2025
