year,complaint_type,rows,period
2015,Calorie Labeling,11,2015-2019
2015,X-Ray Machine/Equipment,8,2015-2019
2015,SRDE,7,2015-2019
2015,Tanning,5,2015-2019
2015,Radioactive Material,5,2015-2019
2015,Squeegee,4,2015-2019
2015,Interior Demo,4,2015-2019
2015,Building Condition,3,2015-2019
2015,VACANT APARTMENT,2,2015-2019
2015,AGENCY,1,2015-2019
2016,HEAT/HOT WATER,227893,2015-2019
2016,Noise - Residential,221022,2015-2019
2016,Illegal Parking,120217,2015-2019
2016,Blocked Driveway,118577,2015-2019
2016,Street Condition,86516,2015-2019
2016,UNSANITARY CONDITION,80436,2015-2019
2016,Water System,71518,2015-2019
2016,Noise - Street/Sidewalk,60372,2015-2019
2016,PAINT/PLASTER,60326,2015-2019
2016,Noise,57623,2015-2019
2016,Street Light Condition,54580,2015-2019
2016,PLUMBING,52565,2015-2019
2016,Noise - Commercial,48755,2015-2019
2016,Homeless Person Assistance,44725,2015-2019
2016,DOOR/WINDOW,37506,2015-2019
2016,Dirty Conditions,33190,2015-2019
2016,Sanitation Condition,33018,2015-2019
2016,General Construction/Plumbing,32069,2015-2019
2016,WATER LEAK,31949,2015-2019
2016,Sewer,31576,2015-2019
2016,Rodent,31256,2015-2019
2016,Missed Collection (All Materials),30036,2015-2019
2016,Derelict Vehicle,28723,2015-2019
2016,ELECTRIC,27991,2015-2019
2016,Derelict Vehicles,27921,2015-2019
2016,Building/Use,27010,2015-2019
2016,GENERAL,26801,2015-2019
2016,Sidewalk Condition,26277,2015-2019
2016,FLOORING/STAIRS,24804,2015-2019
2016,Broken Muni Meter,23727,2015-2019
2016,Noise - Vehicle,23568,2015-2019
2016,Damaged Tree,23550,2015-2019
2016,Traffic Signal Condition,22424,2015-2019
2016,New Tree Request,18058,2015-2019
2016,Consumer Complaint,15960,2015-2019
2016,Taxi Complaint,14889,2015-2019
2016,APPLIANCE,12897,2015-2019
2016,Overgrown Tree/Branches,12512,2015-2019
2016,Elevator,12446,2015-2019
2016,Graffiti,12377,2015-2019
2016,Lead,11439,2015-2019
2016,Food Establishment,10377,2015-2019
2016,Dead/Dying Tree,10133,2015-2019
2016,Animal Abuse,10033,2015-2019
2016,Non-Emergency Police Matter,9156,2015-2019
2016,Air Quality,8712,2015-2019
2016,SAFETY,8567,2015-2019
