rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,brier,log_loss,ece,mce,calibration_slope,calibration_intercept,target_definition,description,fold_id,train_end_year,validation_year,test_year,split,calibration_method,calibrator_fit_split,model_name,removed_formula_aligned_features,raw_feature_count,model_feature_count,fit_seconds
122616,17922,0.14616363280485417,0.5613378885528528,28202,0.23000260977360215,0.3319977306574002,0.5224305323066623,0.40599254184372563,0.3689679208812807,0.7596826078080804,0.6487367563162184,0.5150872614581634,0.43793834610993315,0.17733910061213057,0.5259872783304177,0.23951739174625258,0.36330476108205956,1.0412536457284902,-1.5361207265797785,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,fold_2021,2019,2020,2021,validation,uncalibrated,none,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,10.338196992874146
122616,16408,0.13381614144972923,0.5613378885528528,28062,0.2288608338226659,0.2878982253581356,0.4923817649926865,0.36334607600629637,0.3062124796729181,0.7354893476278814,0.5281173594132029,0.4301092807046159,0.36772141575599415,0.18454731243077693,0.5439177246025928,0.25774955988881376,0.39712196453510196,0.9220543210201897,-1.664940761888022,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,fold_2021,2019,2020,2021,test,uncalibrated,none,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,10.338196992874146
122616,17922,0.14616363280485417,0.22167100312043822,28202,0.23000260977360215,0.3319977306574002,0.5224305323066623,0.40599254184372563,0.3689679208812807,0.7596826078080804,0.6487367563162184,0.5150872614581634,0.43793834610993315,0.10924879784284514,0.3591356511365887,0.006553173860558147,0.09777673015970012,1.0000172009846244,-0.0001021987605312729,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,fold_2021,2019,2020,2021,validation,platt,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,10.338196992874146
122616,16408,0.13381614144972923,0.22167100312043822,28062,0.2288608338226659,0.2878982253581356,0.4923817649926865,0.36334607600629637,0.3062124796729181,0.7354893476278814,0.5281173594132029,0.4301092807046159,0.36772141575599415,0.105940756036207,0.3525870888710246,0.017331802872567192,0.06790407247110836,0.8869669867899893,-0.29838597544351786,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,fold_2021,2019,2020,2021,test,platt,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,10.338196992874146
122616,17922,0.14616363280485417,0.2001890359168242,32972,0.26890454753050175,0.3133871163411379,0.5765539560316929,0.406059653397257,0.3633413336158419,0.7603119974147262,0.6536267318663407,0.5152503669874409,0.43867232099168163,0.10892481802195682,0.357971120227512,1.7942193478603203e-10,3.849518759313497e-10,1.0000408213844225,5.5192353458790797e-05,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,fold_2021,2019,2020,2021,validation,isotonic,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,10.338196992874146
122616,16408,0.13381614144972923,0.2001890359168242,33126,0.2701605010765316,0.2726559198212884,0.5504631886884447,0.3646788064763597,0.3004705569913372,0.7351470196899997,0.5273023634881826,0.43190344152666776,0.3681291795791877,0.10606873730620961,0.35247572823711004,0.015097400933673736,0.16693647289673774,0.8757572244958255,-0.3208044376900694,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,fold_2021,2019,2020,2021,test,isotonic,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,10.338196992874146
122616,16408,0.13381614144972923,0.6336242029158122,30654,0.25,0.2756247145560123,0.5149317406143344,0.3590582635672092,0.3086481801192863,0.733009453467591,0.5664221678891606,0.43190344152666776,0.36209427499592234,0.2295844975739585,0.6468369267489622,0.32841926237236646,0.47513276678095445,0.9450163642072612,-1.9904811401876823,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,fold_2022,2020,2021,2022,validation,uncalibrated,none,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,11.840262413024902
122616,15441,0.1259297318457624,0.6336242029158122,31511,0.2569892999282312,0.25572022468344385,0.521857392655916,0.343244164252854,0.2789242375795961,0.7267486975374046,0.4710676446617767,0.38248246615560266,0.33420322948947967,0.2354099482154717,0.6615022666393442,0.3421941321797982,0.48689990482267426,0.9138037232906011,-2.0731813780036186,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,fold_2022,2020,2021,2022,test,uncalibrated,none,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,11.840262413024902
122616,16408,0.13381614144972923,0.1951589997183171,30654,0.25,0.2756247145560123,0.5149317406143344,0.3590582635672092,0.3086481801192863,0.733009453467591,0.5664221678891606,0.43190344152666776,0.36209427499592234,0.10562798977879674,0.3519122982864475,0.007641272547926218,0.22723531152888266,1.00133076126042,0.0013046438525710097,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,fold_2022,2020,2021,2022,validation,platt,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,11.840262413024902
122616,15441,0.1259297318457624,0.1951589997183171,31511,0.2569892999282312,0.25572022468344385,0.521857392655916,0.343244164252854,0.2789242375795961,0.7267486975374046,0.4710676446617767,0.38248246615560266,0.33420322948947967,0.10157694316268419,0.34204947435305083,0.010734341903384478,0.187335180483018,0.9726486774469432,-0.13844568752794492,T0_current_reference,count_t+1 > mu_8w + 1.5 sigma_8w,fold_2022,2020,2021,2022,test,platt,validation,lightgbm_no_8w_formula_features,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean",57,69,11.840262413024902
