target_definition,calibration_method,folds,brier_mean,brier_std,log_loss_mean,log_loss_std,ece_mean,ece_std,mce_mean,mce_std,pr_auc_mean,pr_auc_std,precision_at_5pct_mean,precision_at_5pct_std,f1_mean,f1_std,threshold_mean,threshold_std
T0_current_reference,isotonic,5,0.10225436109493673,0.0022313849486942823,0.34279031926664,0.006090932398991646,0.0078027569018664115,0.004750228230657982,0.3592428443720448,0.330318236460823,0.28942607431249245,0.01474634305811591,0.405824373426416,0.023488883327375157,0.35206602787612284,0.010025371055853284,0.18087272298889928,0.013398330749946823
T0_current_reference,platt,5,0.10225157743584826,0.0021625906603671098,0.34294644372692673,0.0059829312371322985,0.008348011149114447,0.0057553505096116925,0.23668973148837996,0.17537523869572413,0.2959486177601608,0.015339753255847124,0.4061530484251155,0.02189276446116201,0.3520121666595263,0.009310110842404398,0.18573508350105475,0.023041952010971117
T0_current_reference,uncalibrated,5,0.19552788357776976,0.023582949865301597,0.5699794772384817,0.0540447530894608,0.2820042272690763,0.035823435173664535,0.4209702220793436,0.040729715676398506,0.2959486177601608,0.015339753255847124,0.4061530484251155,0.02189276446116201,0.3520121666595263,0.009310110842404398,0.5625321353391186,0.04806656701728768
T1_min_count_2,isotonic,5,0.09302604152191249,0.0016478525350658321,0.31309847883751224,0.004596065178739216,0.007279753620882295,0.0038750681347726594,0.25266537104065023,0.07609866026555828,0.29260003430917625,0.018132399699059935,0.4045607740885582,0.023553969711811434,0.35510540131672014,0.013354948394095423,0.1810458878743777,0.015140550574060992
T1_min_count_2,platt,5,0.0930210596059198,0.0015864927615715152,0.3136745731573971,0.004552583336361302,0.00829653495118356,0.004418197430332378,0.1739815430046303,0.15714248036813727,0.29906675433698693,0.018321830842585603,0.40595916974509105,0.02511400538889615,0.35498180258615164,0.013278476678897482,0.19664497244108106,0.026623943461039808
T1_min_count_2,uncalibrated,5,0.1891027625572133,0.022829674801823244,0.5473339355639604,0.053080398389599916,0.27583736111188284,0.033511447590847995,0.44361467790634634,0.03751364852387067,0.29906675433698693,0.018321830842585603,0.40595916974509105,0.02511400538889615,0.35498180258615164,0.013278476678897482,0.6024534148172468,0.04405569295344269
T2_min_count_3,isotonic,5,0.08763957306572474,0.001406148646677905,0.2950186086927213,0.0037297585407354067,0.007008816028817541,0.004212175630665016,0.2263370036708566,0.14226392571380503,0.29311396302667164,0.01703838372173482,0.40153317109435926,0.023337596986433312,0.3587214120055341,0.01319744091119561,0.17772316005158137,0.018623610443482916
T2_min_count_3,platt,5,0.0876540749982145,0.0013620320472079316,0.29607274538402395,0.0036557945169174745,0.00845149764118629,0.004927250490750198,0.13498890758793816,0.09281338704470582,0.29974605433208723,0.01740223849464315,0.4014642329724314,0.023446443144119974,0.3582548542696049,0.013772487145852639,0.1918667959048519,0.023974468290769217
T2_min_count_3,uncalibrated,5,0.18515199715210978,0.026292968929853597,0.533075166970362,0.06205563552633675,0.27010824597779204,0.03623075003479896,0.4558133362529599,0.04535117968011094,0.29974605433208723,0.01740223849464315,0.4014642329724314,0.023446443144119974,0.3582548542696049,0.013772487145852639,0.610472507754136,0.05208948393906485
T3_mu8w_ge_1_eligible,isotonic,5,0.10817325505985557,0.002267181745692445,0.3586989502113123,0.0061413540749382795,0.009711274461660263,0.005423336087204676,0.41711083199367033,0.34225354047432244,0.2996069390133152,0.017881128056930488,0.4207684954791663,0.027118973577106454,0.36283152325366247,0.011559951644672288,0.18521711404757898,0.01063580037964382
T3_mu8w_ge_1_eligible,platt,5,0.10811072049655339,0.0021549632654547816,0.35872818441016274,0.0058214374233794735,0.01035341938751512,0.005845815489248578,0.15135728094029355,0.1352851859223628,0.30635183335218735,0.018509830740689258,0.41988303293106244,0.02614700007872127,0.3630566519254882,0.011868841636361625,0.19220783509796804,0.027558613424827603
T3_mu8w_ge_1_eligible,uncalibrated,5,0.19123995073207173,0.025598813210194894,0.5600651900948383,0.05918214102568742,0.2644322366099317,0.0399425212230989,0.40187477201353705,0.04310535924492776,0.30635183335218735,0.018509830740689258,0.41988303293106244,0.02614700007872127,0.3630566519254882,0.011868841636361625,0.5472069649602134,0.061862793625662674
