complaint_category,total_complaint_count,share
noise,6713922,0.21699722066446459
parking_traffic,6521679,0.21078383351278207
sanitation,3090901,0.09989942188023844
housing,8061962,0.2605665283425289
water_sewer,1212939,0.03920277772597522
infrastructure,2673125,0.08639669860458565
environment,626930,0.020262682162702036
public_safety,1597023,0.05161655919404861
other,441648,0.014274277912674507
