candidate_id,experiment_id,model_name,param_id,feature_set,pos_weight_mode,pos_weight,split,threshold_strategy,threshold,tn,fp,fn,tp
003_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_half,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,half,3.4362846721074867,test,best_f1,0.361103,175083,40937,14995,16575
003_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_half,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,half,3.4362846721074867,validation,best_f2,0.215362,58577,48465,3033,12541
003_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_half,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,half,3.4362846721074867,test,best_f2,0.215362,125114,90906,6602,24968
003_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_half,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,half,3.4362846721074867,validation,best_balanced_accuracy,0.272255,70360,36682,4534,11040
003_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_half,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,half,3.4362846721074867,test,best_balanced_accuracy,0.272255,148152,67868,9819,21751
003_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_half,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,half,3.4362846721074867,validation,best_precision_at_min_recall,0.275153,70871,36171,4626,10948
003_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_half,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,half,3.4362846721074867,test,best_precision_at_min_recall,0.275153,149273,66747,9974,21596
003_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_half,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,half,3.4362846721074867,validation,best_recall_at_min_precision,0.313538,77604,29438,5744,9830
003_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_half,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,half,3.4362846721074867,test,best_recall_at_min_precision,0.313538,162091,53929,12246,19324
004_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_balanced,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,balanced,6.872569344214973,validation,default_0_5,0.5,84613,22429,7207,8367
004_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_balanced,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,balanced,6.872569344214973,test,default_0_5,0.5,174353,41667,15026,16544
004_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_balanced,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,balanced,6.872569344214973,validation,best_f1,0.51,85763,21279,7446,8128
004_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_balanced,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,balanced,6.872569344214973,test,best_f1,0.51,176603,39417,15543,16027
004_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_balanced,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,balanced,6.872569344214973,validation,best_f2,0.309459,56318,50724,2877,12697
004_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_balanced,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,balanced,6.872569344214973,test,best_f2,0.309459,120386,95634,6188,25382
004_E1_main_2015_2025_xgboost_xgb_current_depth8_lr005_pw_balanced,E1_main_2015_2025,xgboost,xgb_current_depth8_lr005,prospective_forecast_available,balanced,6.872569344214973,validation,best_balanced_accuracy,0.4,71103,35939,4782,10792
